label,n,total_pnl,top10_share,mean_ret,mean_ret_cap50,mean_ret_cap100,win_rate,avg_win,avg_loss,worst_mae,med_mae,p05_mae,med_hold_d,p95_hold_d
52W_OPT,949,190378512,44.5,7.582,4.841,6.342,46.0,25.67,-7.86,-33.7,-5.2,-14.6,84,273
52W_OPT_buf1,891,177982784,46.2,7.845,5.005,6.539,47.8,25.12,-7.98,-33.7,-5.2,-14.4,87,274
52W_OPT_s15,771,253542192,52.5,7.999,5.012,6.67,46.8,26.3,-8.11,-33.7,-5.3,-14.9,82,276
52W_OPT_L189,1004,204513488,44.7,7.571,4.591,6.121,44.8,26.6,-7.89,-33.7,-5.1,-15.4,79,279
52W_OPT_n500,1090,353391648,37.4,8.667,4.474,6.862,46.2,30.92,-10.47,-30.0,-6.8,-19.4,83,293
52W_OPT_pit100,1080,79329536,43.7,4.896,3.078,4.23,42.6,23.36,-8.81,-63.0,-5.6,-17.3,75,253
52W_SpecA,144,165597520,59.0,54.679,19.822,31.732,68.1,87.63,-15.52,-59.2,-10.3,-34.1,737,1701
52W_noexit,20,158151136,81.9,1580.797,50.0,99.142,100.0,1580.8,,-67.8,-29.7,-64.0,7555,7557
