# Top candidates by test Sharpe — passing both train and test gates
WIPRO	2.21	2.01	61.3
TCS	1.61	1.51	60.2
PNB	1.47	1.40	53.8
DLF	1.40	1.37	58.4
GAIL	1.10	1.40	43.3
HINDUNILVR	1.05	1.28	51.4
PAYTM	0.93	1.25	52.3
FEDERALBNK	0.87	1.20	50.5
COLPAL	0.80	1.20	47.6
NTPC	0.71	1.17	45.5
HEROMOTOCO	0.70	1.18	49.5
KOTAKBANK	0.64	1.18	47.4
HDFCBANK	0.61	1.14	49.1
HCLTECH	0.60	1.15	53.1
SIEMENS	0.60	1.16	44.8
JINDALSTEL	0.58	1.14	51.5
IDFCFIRSTB	0.58	1.14	51.0
