series,scope,start,dur,n_days,mean_exc_bp,med_exc_bp,p90_exc_bp,p95_exc_bp,max_exc_bp,pct_gt_30bp,pct_gt_50bp,mean_terminal_bp
SENSEX_1min,FRI,09:20,120,274,48.4,40.9,83.6,107.1,156.0,71.2,36.5,29.8
SENSEX_1min,FRI,09:20,45,274,34.8,29.6,61.2,71.3,133.9,49.3,17.9,21.3
SENSEX_1min,FRI,09:20,60,274,38.3,33.4,69.4,78.4,133.9,57.3,23.0,24.0
SENSEX_1min,FRI,09:20,90,274,44.4,38.1,79.0,94.0,148.8,66.8,30.7,28.4
SENSEX_1min,FRI,09:20,HOLD,274,77.8,66.2,136.2,157.1,257.2,90.5,68.6,52.5
SENSEX_1min,FRI,09:35,120,274,44.6,35.6,79.1,95.0,168.1,65.7,31.4,27.6
SENSEX_1min,FRI,09:35,45,274,32.0,27.7,54.8,67.3,125.8,44.2,12.0,20.8
SENSEX_1min,FRI,09:35,60,274,35.7,29.8,63.2,79.1,139.3,50.0,16.8,22.5
SENSEX_1min,FRI,09:35,90,274,41.2,32.9,76.8,93.4,151.5,56.6,25.5,26.2
SENSEX_1min,FRI,09:35,HOLD,274,74.3,62.6,128.8,161.1,262.1,91.2,63.5,50.7
SENSEX_1min,FRI,09:50,120,274,41.4,35.6,66.7,89.8,172.7,61.3,25.9,26.0
SENSEX_1min,FRI,09:50,45,274,28.5,24.4,48.6,64.1,94.7,36.1,9.1,17.9
SENSEX_1min,FRI,09:50,60,274,32.0,27.4,55.7,69.2,99.6,45.3,12.8,20.3
SENSEX_1min,FRI,09:50,90,274,37.3,32.2,61.7,79.5,141.0,54.7,20.8,22.9
SENSEX_1min,FRI,09:50,HOLD,274,70.9,59.3,122.5,151.3,263.4,89.8,61.3,48.2
SENSEX_1min,FRI,10:05,120,274,39.3,33.5,71.0,87.8,167.5,54.7,23.0,24.7
SENSEX_1min,FRI,10:05,45,274,27.1,22.4,47.4,61.0,97.7,34.7,8.8,17.4
SENSEX_1min,FRI,10:05,60,274,30.6,25.8,53.4,71.5,112.1,39.8,12.4,19.6
SENSEX_1min,FRI,10:05,90,274,35.5,29.3,62.0,79.5,154.4,48.9,18.2,22.0
SENSEX_1min,FRI,10:05,HOLD,274,68.8,62.3,116.8,142.2,245.2,88.0,62.4,45.9
SENSEX_1min,FRI,10:20,120,274,38.1,31.5,64.8,95.8,160.5,53.6,20.4,24.2
SENSEX_1min,FRI,10:20,45,274,26.2,21.4,49.4,59.0,120.4,27.0,9.9,16.2
SENSEX_1min,FRI,10:20,60,274,29.3,23.2,53.0,69.4,122.2,33.2,12.8,17.5
SENSEX_1min,FRI,10:20,90,274,34.0,27.6,58.4,76.7,126.8,44.2,17.9,21.0
SENSEX_1min,FRI,10:20,HOLD,274,66.3,56.9,122.3,146.8,224.2,84.3,56.9,43.9
SENSEX_1min,FRI,10:35,120,274,37.5,31.9,64.5,84.5,167.0,52.9,21.2,23.9
SENSEX_1min,FRI,10:35,45,274,23.5,18.8,44.6,52.0,109.8,22.3,6.9,14.3
SENSEX_1min,FRI,10:35,60,274,27.0,21.2,50.8,60.6,109.8,29.9,10.6,17.0
SENSEX_1min,FRI,10:35,90,274,32.4,26.0,57.5,71.3,159.6,41.2,14.6,20.6
SENSEX_1min,FRI,10:35,HOLD,274,65.1,55.0,118.7,147.4,246.9,85.8,54.7,44.0
SENSEX_1min,FRI,10:50,120,274,36.9,30.3,66.3,82.4,168.2,50.7,20.1,23.7
SENSEX_1min,FRI,10:50,45,274,22.5,18.3,42.5,52.4,106.3,19.7,5.8,14.2
SENSEX_1min,FRI,10:50,60,274,25.9,21.9,46.3,56.6,106.3,25.5,8.0,16.4
SENSEX_1min,FRI,10:50,90,274,31.3,26.0,55.3,67.8,161.5,40.9,12.8,20.4
SENSEX_1min,FRI,10:50,HOLD,274,62.8,52.0,119.9,144.2,248.1,83.2,53.3,41.8
SENSEX_1min,FRI,11:05,120,274,36.6,30.5,65.9,90.7,186.6,51.5,19.0,23.9
SENSEX_1min,FRI,11:05,45,274,22.4,18.4,43.2,53.1,90.7,21.5,5.5,14.6
SENSEX_1min,FRI,11:05,60,274,25.2,20.0,46.0,56.6,147.9,27.4,6.6,16.0
SENSEX_1min,FRI,11:05,90,274,31.2,25.4,53.7,67.6,155.3,39.8,11.3,19.9
SENSEX_1min,FRI,11:05,HOLD,274,60.7,50.9,110.5,143.5,235.1,80.7,51.5,40.8
SENSEX_1min,FRI,11:20,120,274,34.7,28.6,63.4,81.1,161.2,45.3,18.2,22.2
SENSEX_1min,FRI,11:20,45,274,20.8,16.6,38.6,45.4,122.5,17.2,4.0,12.5
SENSEX_1min,FRI,11:20,60,274,24.1,19.5,43.0,56.1,123.2,24.5,6.6,15.1
SENSEX_1min,FRI,11:20,90,274,30.3,24.4,58.0,70.1,129.9,36.1,12.4,19.7
SENSEX_1min,FRI,11:20,HOLD,274,58.6,48.0,109.0,136.7,209.5,77.7,47.8,39.0
SENSEX_1min,FRI,11:35,120,273,34.8,27.2,65.9,79.5,146.5,44.7,20.5,23.0
SENSEX_1min,FRI,11:35,45,273,20.2,16.6,36.4,42.5,98.0,17.6,3.3,12.6
SENSEX_1min,FRI,11:35,60,273,24.2,19.6,43.0,55.8,106.2,24.9,6.2,15.5
SENSEX_1min,FRI,11:35,90,273,30.3,24.4,55.7,67.7,135.9,37.0,13.6,19.2
SENSEX_1min,FRI,11:35,HOLD,273,57.1,46.1,106.4,133.0,216.7,75.1,45.1,37.9
SENSEX_1min,FRI,11:50,120,274,36.2,27.2,65.9,77.5,175.8,45.3,22.3,24.5
SENSEX_1min,FRI,11:50,45,274,21.1,16.2,40.2,45.3,112.1,19.7,4.4,13.5
SENSEX_1min,FRI,11:50,60,274,24.9,19.9,48.3,56.2,116.4,27.4,8.8,15.9
SENSEX_1min,FRI,11:50,90,274,29.8,22.7,58.4,66.9,130.4,36.5,15.0,19.3
SENSEX_1min,FRI,11:50,HOLD,274,55.5,43.5,110.5,130.3,219.2,74.5,40.1,36.6
SENSEX_1min,FRI,12:05,120,274,38.2,31.0,70.3,93.2,169.2,52.2,22.3,25.7
SENSEX_1min,FRI,12:05,45,274,22.1,17.1,40.7,48.5,134.2,20.1,4.7,14.3
SENSEX_1min,FRI,12:05,60,274,25.4,20.1,48.0,61.2,151.4,27.7,8.0,16.2
SENSEX_1min,FRI,12:05,90,274,30.6,24.2,54.0,68.5,156.7,40.1,12.4,20.0
SENSEX_1min,FRI,12:05,HOLD,274,54.3,43.3,98.6,126.8,212.7,74.8,40.5,35.4
SENSEX_1min,FRI,12:20,120,274,39.5,31.6,71.0,95.1,184.9,52.6,24.5,25.8
SENSEX_1min,FRI,12:20,45,274,22.0,18.3,39.5,45.6,152.4,19.3,4.0,13.8
SENSEX_1min,FRI,12:20,60,274,24.7,19.7,44.8,54.3,154.6,24.5,7.3,15.8
