series,weekday,bucket,n_bars,mean_abs_move_bp,bar_vol_bp,p95_abs_bp
SENSEX_1min,Mon,09:15,2800,4.33,6.16,11.73
SENSEX_1min,Mon,09:30,4200,3.57,4.93,9.92
SENSEX_1min,Mon,09:45,4200,2.98,4.05,8.4
SENSEX_1min,Mon,10:00,4200,2.65,3.61,7.37
SENSEX_1min,Mon,10:15,4200,2.43,3.35,6.79
SENSEX_1min,Mon,10:30,4200,2.27,3.1,6.26
SENSEX_1min,Mon,10:45,4200,2.09,2.89,5.9
SENSEX_1min,Mon,11:00,4200,2.06,2.92,6.0
SENSEX_1min,Mon,11:15,4200,2.0,2.8,5.77
SENSEX_1min,Mon,11:30,4200,1.93,2.65,5.49
SENSEX_1min,Mon,11:45,4200,1.84,2.5,5.01
SENSEX_1min,Mon,12:00,4200,1.89,2.77,5.37
SENSEX_1min,Mon,12:15,4200,1.94,2.75,5.65
SENSEX_1min,Mon,12:30,4200,1.93,2.7,5.57
SENSEX_1min,Mon,12:45,4196,1.91,2.84,5.6
SENSEX_1min,Mon,13:00,4200,1.97,2.84,5.81
SENSEX_1min,Mon,13:15,4200,1.96,2.79,5.64
SENSEX_1min,Mon,13:30,4199,2.06,2.99,5.94
SENSEX_1min,Mon,13:45,4200,2.02,2.89,5.98
SENSEX_1min,Mon,14:00,4200,2.19,3.18,6.3
SENSEX_1min,Mon,14:15,4200,2.17,3.18,6.57
SENSEX_1min,Mon,14:30,4200,2.32,3.31,6.9
SENSEX_1min,Mon,14:45,4199,2.28,3.26,6.57
SENSEX_1min,Mon,15:00,4200,2.73,3.97,8.32
SENSEX_1min,Mon,15:15,1678,2.08,2.87,5.88
SENSEX_1min,Tue,09:15,2790,3.72,5.36,10.4
SENSEX_1min,Tue,09:30,4185,3.15,4.51,8.78
SENSEX_1min,Tue,09:45,4185,2.74,3.81,7.83
SENSEX_1min,Tue,10:00,4185,2.44,3.39,6.89
SENSEX_1min,Tue,10:15,4185,2.33,3.35,6.59
SENSEX_1min,Tue,10:30,4185,2.19,3.08,6.3
SENSEX_1min,Tue,10:45,4185,2.06,3.14,5.88
SENSEX_1min,Tue,11:00,4185,2.02,3.46,5.52
SENSEX_1min,Tue,11:15,4185,1.98,3.13,5.39
SENSEX_1min,Tue,11:30,4185,1.96,2.89,5.86
SENSEX_1min,Tue,11:45,4185,1.89,2.96,5.53
SENSEX_1min,Tue,12:00,4185,1.92,3.44,5.21
SENSEX_1min,Tue,12:15,4185,1.91,3.18,5.48
SENSEX_1min,Tue,12:30,4185,2.09,3.71,6.02
SENSEX_1min,Tue,12:45,4185,2.0,3.16,5.87
SENSEX_1min,Tue,13:00,4185,2.05,3.31,6.05
SENSEX_1min,Tue,13:15,4185,2.03,3.09,6.05
SENSEX_1min,Tue,13:30,4185,2.11,3.18,6.2
SENSEX_1min,Tue,13:45,4199,2.08,3.08,6.12
SENSEX_1min,Tue,14:00,4200,2.18,3.14,6.18
SENSEX_1min,Tue,14:15,4203,2.2,3.25,6.52
SENSEX_1min,Tue,14:30,4200,2.27,3.29,6.73
SENSEX_1min,Tue,14:45,4185,2.3,3.32,6.89
SENSEX_1min,Tue,15:00,4185,2.9,4.22,8.55
SENSEX_1min,Tue,15:15,1674,2.19,3.06,5.91
SENSEX_1min,Wed,09:15,2770,3.6,4.9,9.8
SENSEX_1min,Wed,09:30,4155,2.97,4.01,8.04
SENSEX_1min,Wed,09:45,4155,2.65,3.55,7.24
SENSEX_1min,Wed,10:00,4155,2.51,3.5,6.81
SENSEX_1min,Wed,10:15,4155,2.32,3.15,6.35
SENSEX_1min,Wed,10:30,4155,2.15,2.92,6.0
SENSEX_1min,Wed,10:45,4155,1.98,2.74,5.44
SENSEX_1min,Wed,11:00,4155,1.97,2.69,5.46
SENSEX_1min,Wed,11:15,4155,1.88,2.63,5.19
SENSEX_1min,Wed,11:30,4154,1.89,2.61,5.3
SENSEX_1min,Wed,11:45,4140,1.85,2.7,5.11
SENSEX_1min,Wed,12:00,4140,1.79,2.49,5.03
SENSEX_1min,Wed,12:15,4140,1.84,2.54,5.25
SENSEX_1min,Wed,12:30,4136,1.84,2.56,5.35
SENSEX_1min,Wed,12:45,4136,1.88,2.68,5.49
SENSEX_1min,Wed,13:00,4140,1.87,2.63,5.38
SENSEX_1min,Wed,13:15,4140,1.93,2.73,5.54
SENSEX_1min,Wed,13:30,4140,2.06,2.96,6.17
SENSEX_1min,Wed,13:45,4140,2.04,2.88,5.99
SENSEX_1min,Wed,14:00,4140,2.14,3.19,6.04
SENSEX_1min,Wed,14:15,4140,2.18,3.11,6.33
SENSEX_1min,Wed,14:30,4140,2.26,3.23,6.64
SENSEX_1min,Wed,14:45,4139,2.2,3.25,6.32
SENSEX_1min,Wed,15:00,4140,2.63,3.79,7.62
SENSEX_1min,Wed,15:15,1656,1.95,2.69,5.37
SENSEX_1min,Thu,09:15,2420,3.46,4.59,9.48
SENSEX_1min,Thu,09:30,3630,3.04,4.15,8.32
SENSEX_1min,Thu,09:45,3630,2.7,3.64,7.28
SENSEX_1min,Thu,10:00,3630,2.49,3.41,6.85
SENSEX_1min,Thu,10:15,3630,2.37,3.19,6.42
SENSEX_1min,Thu,10:30,3630,2.12,3.01,5.97
SENSEX_1min,Thu,10:45,3630,1.98,2.8,5.5
SENSEX_1min,Thu,11:00,3630,1.96,2.75,5.47
SENSEX_1min,Thu,11:15,3630,1.95,2.79,5.63
SENSEX_1min,Thu,11:30,3630,1.87,2.62,5.23
SENSEX_1min,Thu,11:45,3630,1.85,2.63,5.26
SENSEX_1min,Thu,12:00,3630,1.87,2.63,5.31
SENSEX_1min,Thu,12:15,3630,1.88,2.63,5.36
SENSEX_1min,Thu,12:30,3630,1.9,2.71,5.41
SENSEX_1min,Thu,12:45,3630,1.92,2.69,5.58
SENSEX_1min,Thu,13:00,3630,2.04,2.95,6.0
SENSEX_1min,Thu,13:15,3630,2.11,3.19,6.23
SENSEX_1min,Thu,13:30,3630,2.2,3.27,6.48
SENSEX_1min,Thu,13:45,3630,2.18,3.15,6.45
SENSEX_1min,Thu,14:00,3630,2.32,3.4,6.81
SENSEX_1min,Thu,14:15,3630,2.34,3.24,6.74
SENSEX_1min,Thu,14:30,3630,2.42,3.35,7.03
SENSEX_1min,Thu,14:45,3630,2.42,3.45,6.81
SENSEX_1min,Thu,15:00,3630,3.22,4.53,9.36
SENSEX_1min,Thu,15:15,1452,2.33,3.22,6.83
SENSEX_1min,Fri,09:15,2740,3.83,5.19,10.68
SENSEX_1min,Fri,09:30,4110,3.34,4.55,8.93
SENSEX_1min,Fri,09:45,4110,2.99,4.09,8.23
SENSEX_1min,Fri,10:00,4110,2.72,3.83,7.73
SENSEX_1min,Fri,10:15,4110,2.57,3.58,7.28
SENSEX_1min,Fri,10:30,4110,2.33,3.31,6.78
SENSEX_1min,Fri,10:45,4110,2.18,3.06,6.11
SENSEX_1min,Fri,11:00,4110,2.17,3.03,6.03
SENSEX_1min,Fri,11:15,4109,2.05,2.89,5.79
SENSEX_1min,Fri,11:30,4095,2.0,2.79,5.62
SENSEX_1min,Fri,11:45,4106,1.89,2.64,5.33
SENSEX_1min,Fri,12:00,4110,1.93,2.71,5.59
SENSEX_1min,Fri,12:15,4110,1.95,2.77,5.7
SENSEX_1min,Fri,12:30,4110,2.08,3.02,6.13
SENSEX_1min,Fri,12:45,4110,1.99,2.88,5.79
SENSEX_1min,Fri,13:00,4110,2.03,2.85,5.74
SENSEX_1min,Fri,13:15,4110,2.09,2.94,6.0
SENSEX_1min,Fri,13:30,4110,2.31,3.47,6.89
SENSEX_1min,Fri,13:45,4110,2.29,3.45,6.75
SENSEX_1min,Fri,14:00,4110,2.41,3.47,7.07
SENSEX_1min,Fri,14:15,4110,2.64,3.91,8.32
SENSEX_1min,Fri,14:30,4110,2.65,3.76,8.0
SENSEX_1min,Fri,14:45,4110,2.59,3.66,7.98
SENSEX_1min,Fri,15:00,4110,3.38,5.02,10.49
SENSEX_1min,Fri,15:15,1644,2.52,3.57,7.63
SENSEX_5min,Mon,09:15,560,9.72,13.86,28.34
SENSEX_5min,Mon,09:30,840,8.66,11.83,23.82
SENSEX_5min,Mon,09:45,840,6.82,9.15,17.48
