book,venue,day,entry,exit,sl,strike,credit,exit_hm,reason,net,mae_rs,und_exc_bp
COMB_NIFTY_full,NIFTY,2026-05-08,09:16,15:20,0.2,24200,327.95,15:20,TIME,2051,955,35.9
COMB_NIFTY_full,NIFTY,2026-05-15,09:16,15:20,0.2,23700,347.8,15:20,TIME,1749,1485,49.2
COMB_NIFTY_full,NIFTY,2026-05-22,09:16,15:20,0.2,23700,319.75,15:20,TIME,2392,640,58.3
COMB_NIFTY_full,NIFTY,2026-05-29,09:16,15:20,0.2,23950,278.2,15:02,SL,-5853,6552,188.0
COMB_NIFTY_full,NIFTY,2026-06-05,09:16,15:20,0.2,23500,311.95,15:20,TIME,1707,2779,81.3
COMB_NIFTY_full,NIFTY,2026-06-12,09:16,15:20,0.2,23450,275.2,15:03,SL,-3903,4823,93.0
COMB_NIFTY_full,NIFTY,2026-06-19,09:16,15:20,0.2,23950,243.55,15:20,TIME,1586,952,32.3
COMB_NIFTY_full,NIFTY,2026-07-03,09:16,15:20,0.2,24300,217.15,15:20,TIME,2262,283,24.2
COMB_NIFTY_full,NIFTY,2026-07-10,09:16,15:20,0.2,24150,234.35,15:20,TIME,1651,572,31.9
COMB_NIFTY_full,NIFTY,2026-07-17,09:16,15:20,0.2,24150,259.1,14:17,SL,-4585,4335,87.8
COMB_NIFTY_full,NIFTY,2026-07-24,09:16,15:20,0.2,23700,255.25,15:20,TIME,88,1505,53.1
COMB_NIFTY_full,NIFTY,2026-07-31,09:16,15:20,0.2,24350,197.2,15:20,TIME,1034,679,26.6
COMB_NIFTY_full,NIFTY,2026-08-07,09:16,15:20,0.2,24600,249.55,15:20,TIME,1843,1238,22.9
COMB_NIFTY_full,NIFTY,2026-08-14,09:16,15:20,0.2,24350,192.1,15:20,TIME,654,91,30.0
A_LIVE_TimeB_N_10_12,NIFTY,2026-05-08,10:00,12:00,0.2,24200,330.95,12:00,TIME,611,85,17.6
A_LIVE_TimeB_N_10_12,NIFTY,2026-05-15,10:00,12:00,0.2,23800,344.95,12:00,TIME,290,185,50.4
A_LIVE_TimeB_N_10_12,NIFTY,2026-05-22,10:00,12:00,0.2,23800,310.35,12:00,TIME,562,0,16.6
A_LIVE_TimeB_N_10_12,NIFTY,2026-05-29,10:00,12:00,0.2,23900,279.65,12:00,TIME,634,371,18.2
A_LIVE_TimeB_N_10_12,NIFTY,2026-06-05,10:00,12:00,0.2,23450,315.7,12:00,TIME,832,507,45.5
A_LIVE_TimeB_N_10_12,NIFTY,2026-06-12,10:00,12:00,0.2,23350,280.5,12:00,TIME,504,302,17.9
A_LIVE_TimeB_N_10_12,NIFTY,2026-06-19,10:00,12:00,0.2,24000,247.75,12:00,TIME,130,471,20.1
A_LIVE_TimeB_N_10_12,NIFTY,2026-07-03,10:00,12:00,0.2,24350,204.35,12:00,TIME,312,0,8.8
A_LIVE_TimeB_N_10_12,NIFTY,2026-07-10,10:00,12:00,0.2,24200,233.15,12:00,TIME,923,88,26.1
A_LIVE_TimeB_N_10_12,NIFTY,2026-07-17,10:00,12:00,0.2,24250,257.55,11:59,TIME,-344,1271,23.3
A_LIVE_TimeB_N_10_12,NIFTY,2026-07-24,10:00,12:00,0.2,23650,262.3,12:00,TIME,286,569,26.4
A_LIVE_TimeB_N_10_12,NIFTY,2026-07-31,10:00,12:00,0.2,24350,192.1,12:00,TIME,202,140,8.4
A_LIVE_TimeB_N_10_12,NIFTY,2026-08-07,10:00,12:00,0.2,24650,264.9,12:00,TIME,247,20,29.9
A_LIVE_TimeB_N_10_12,NIFTY,2026-08-14,10:00,12:00,0.2,24350,183.75,12:00,TIME,403,13,16.4
B_N_1200_1300,NIFTY,2026-05-08,12:00,13:00,0.2,24200,317.7,13:00,TIME,-234,305,21.3
B_N_1200_1300,NIFTY,2026-05-15,12:00,13:00,0.2,23750,332.05,13:00,TIME,595,0,28.6
B_N_1200_1300,NIFTY,2026-05-22,12:00,13:00,0.2,23800,297.85,13:00,TIME,-81,75,17.4
B_N_1200_1300,NIFTY,2026-05-29,12:00,13:00,0.2,23900,266.05,13:00,TIME,-468,715,29.8
B_N_1200_1300,NIFTY,2026-06-05,12:00,13:00,0.2,23400,300.2,13:00,TIME,-208,143,22.4
B_N_1200_1300,NIFTY,2026-06-12,12:00,13:00,0.2,23400,266.05,13:00,TIME,-360,367,25.7
B_N_1200_1300,NIFTY,2026-06-19,12:00,13:00,0.2,23950,241.5,13:00,TIME,-179,0,8.0
B_N_1200_1300,NIFTY,2026-07-03,12:00,13:00,0.2,24350,195.7,13:00,TIME,150,65,7.4
B_N_1200_1300,NIFTY,2026-07-10,12:00,13:00,0.2,24150,219.1,12:59,TIME,-52,71,11.0
B_N_1200_1300,NIFTY,2026-07-17,12:00,13:00,0.2,24250,258.65,13:00,TIME,-218,270,9.6
B_N_1200_1300,NIFTY,2026-07-24,12:00,13:00,0.2,23700,247.7,13:00,TIME,-1680,1995,45.7
B_N_1200_1300,NIFTY,2026-07-31,12:00,13:00,0.2,24350,185.15,13:00,TIME,-868,829,23.5
B_N_1200_1300,NIFTY,2026-08-07,12:00,13:00,0.2,24550,255.15,13:00,TIME,225,36,10.5
B_N_1200_1300,NIFTY,2026-08-14,12:00,13:00,0.2,24350,173.7,13:00,TIME,-123,101,9.6
B_N_1230_1330,NIFTY,2026-05-08,12:30,13:30,0.2,24200,315.35,13:30,TIME,95,458,17.2
B_N_1230_1330,NIFTY,2026-05-15,12:30,13:30,0.2,23700,324.8,13:30,TIME,-45,543,30.7
B_N_1230_1330,NIFTY,2026-05-22,12:30,13:30,0.2,23750,298.35,13:30,TIME,-55,640,23.9
B_N_1230_1330,NIFTY,2026-05-29,12:30,13:30,0.2,23850,271.25,13:30,TIME,-1017,968,39.8
B_N_1230_1330,NIFTY,2026-06-05,12:30,13:30,0.2,23450,291.1,13:30,TIME,-2333,2083,53.9
B_N_1230_1330,NIFTY,2026-06-12,12:30,13:30,0.2,23350,263.8,13:30,TIME,36,156,20.5
B_N_1230_1330,NIFTY,2026-06-19,12:30,13:30,0.2,23950,236.3,13:30,TIME,-468,611,23.3
B_N_1230_1330,NIFTY,2026-07-03,12:30,13:30,0.2,24350,193.55,13:30,TIME,-221,0,23.9
B_N_1230_1330,NIFTY,2026-07-10,12:30,13:30,0.2,24200,213.75,13:30,TIME,49,3,11.7
B_N_1230_1330,NIFTY,2026-07-17,12:30,13:30,0.2,24300,262.3,13:30,TIME,179,39,6.7
B_N_1230_1330,NIFTY,2026-07-24,12:30,13:30,0.2,23800,255.65,13:30,TIME,579,0,10.4
B_N_1230_1330,NIFTY,2026-07-31,12:30,13:30,0.2,24400,183.95,13:30,TIME,-487,371,16.9
B_N_1230_1330,NIFTY,2026-08-07,12:30,13:30,0.2,24550,251.25,13:30,TIME,26,29,8.9
B_N_1230_1330,NIFTY,2026-08-14,12:30,13:30,0.2,24350,173.0,13:30,TIME,30,0,5.2
B_N_1300_1400_SL25,NIFTY,2026-05-08,13:00,14:00,0.25,24150,318.0,14:00,TIME,94,65,13.2
B_N_1300_1400_SL25,NIFTY,2026-05-15,13:00,14:00,0.25,23800,314.75,14:00,TIME,-1007,1047,34.3
B_N_1300_1400_SL25,NIFTY,2026-05-22,13:00,14:00,0.25,23850,291.7,14:00,TIME,225,0,17.4
B_N_1300_1400_SL25,NIFTY,2026-05-29,13:00,14:00,0.25,23850,271.1,14:00,TIME,-1384,1427,38.8
B_N_1300_1400_SL25,NIFTY,2026-06-05,13:00,14:00,0.25,23350,301.1,14:00,TIME,-321,994,33.8
B_N_1300_1400_SL25,NIFTY,2026-06-12,13:00,14:00,0.25,23350,263.2,14:00,TIME,-3786,3595,78.4
B_N_1300_1400_SL25,NIFTY,2026-06-19,13:00,14:00,0.25,23950,240.4,14:00,TIME,348,344,12.0
B_N_1300_1400_SL25,NIFTY,2026-07-03,13:00,14:00,0.25,24350,189.55,14:00,TIME,-877,913,32.5
B_N_1300_1400_SL25,NIFTY,2026-07-10,13:00,14:00,0.25,24200,211.95,14:00,TIME,55,52,10.3
B_N_1300_1400_SL25,NIFTY,2026-07-17,13:00,14:00,0.25,24300,259.25,14:00,TIME,302,0,27.8
B_N_1300_1400_SL25,NIFTY,2026-07-24,13:00,14:00,0.25,23800,245.85,14:00,TIME,16,0,23.8
B_N_1300_1400_SL25,NIFTY,2026-07-31,13:00,14:00,0.25,24400,187.1,14:00,TIME,-32,166,8.2
B_N_1300_1400_SL25,NIFTY,2026-08-07,13:00,14:00,0.25,24550,247.85,14:00,TIME,280,46,12.4
B_N_1300_1400_SL25,NIFTY,2026-08-14,13:00,14:00,0.25,24350,171.75,14:00,TIME,-1212,1274,19.0
B_N_1300_1520,NIFTY,2026-05-08,13:00,15:20,0.2,24150,318.0,15:20,TIME,1031,65,30.9
B_N_1300_1520,NIFTY,2026-05-15,13:00,15:20,0.2,23800,314.75,15:20,TIME,-1979,3218,71.4
B_N_1300_1520,NIFTY,2026-05-22,13:00,15:20,0.2,23850,291.7,15:20,TIME,-318,1111,51.5
B_N_1300_1520,NIFTY,2026-05-29,13:00,15:20,0.2,23850,271.1,15:03,SL,-4062,3962,136.3
B_N_1300_1520,NIFTY,2026-06-05,13:00,15:20,0.2,23350,301.1,15:20,TIME,1044,994,33.8
B_N_1300_1520,NIFTY,2026-06-12,13:00,15:20,0.2,23350,263.2,13:58,SL,-3845,9545,135.6
B_N_1300_1520,NIFTY,2026-06-19,13:00,15:20,0.2,23950,240.4,15:20,TIME,1381,344,41.3
B_N_1300_1520,NIFTY,2026-07-03,13:00,15:20,0.2,24350,189.55,15:20,TIME,160,913,39.9
B_N_1300_1520,NIFTY,2026-07-10,13:00,15:20,0.2,24200,211.95,15:20,TIME,615,52,19.2
B_N_1300_1520,NIFTY,2026-07-17,13:00,15:20,0.2,24300,259.25,15:20,TIME,680,751,32.8
B_N_1300_1520,NIFTY,2026-07-24,13:00,15:20,0.2,23800,245.85,15:20,TIME,832,0,23.8
B_N_1300_1520,NIFTY,2026-07-31,13:00,15:20,0.2,24400,187.1,15:20,TIME,667,166,22.4
B_N_1300_1520,NIFTY,2026-08-07,13:00,15:20,0.2,24550,247.85,15:20,TIME,1459,46,12.4
B_N_1300_1520,NIFTY,2026-08-14,13:00,15:20,0.2,24350,171.75,15:20,TIME,-669,1287,21.6
B_N_1400_1520,NIFTY,2026-05-08,14:00,15:20,0.2,24150,312.7,15:20,TIME,686,370,41.8
B_N_1400_1520,NIFTY,2026-05-15,14:00,15:20,0.2,23700,319.35,15:20,TIME,-100,1170,41.7
B_N_1400_1520,NIFTY,2026-05-22,14:00,15:20,0.2,23800,283.15,15:20,TIME,-149,819,36.8
B_N_1400_1520,NIFTY,2026-05-29,14:00,15:20,0.2,23750,289.6,15:20,TIME,394,1072,103.1
B_N_1400_1520,NIFTY,2026-06-05,14:00,15:20,0.2,23350,302.2,15:20,TIME,1115,117,36.8
B_N_1400_1520,NIFTY,2026-06-12,14:00,15:20,0.2,23500,274.6,15:20,TIME,-1638,3377,56.8
B_N_1400_1520,NIFTY,2026-06-19,14:00,15:20,0.2,23950,231.2,15:20,TIME,783,162,29.3
B_N_1400_1520,NIFTY,2026-07-03,14:00,15:20,0.2,24300,196.65,15:20,TIME,930,26,12.3
B_N_1400_1520,NIFTY,2026-07-10,14:00,15:20,0.2,24200,207.25,15:20,TIME,309,211,13.9
B_N_1400_1520,NIFTY,2026-07-17,14:00,15:20,0.2,24250,244.05,15:20,TIME,-692,2574,47.4
B_N_1400_1520,NIFTY,2026-07-24,14:00,15:20,0.2,23800,241.75,15:20,TIME,566,159,22.0
B_N_1400_1520,NIFTY,2026-07-31,14:00,15:20,0.2,24400,183.75,15:20,TIME,449,16,22.5
B_N_1400_1520,NIFTY,2026-08-07,14:00,15:20,0.2,24550,239.7,15:20,TIME,930,13,15.0
B_N_1400_1520,NIFTY,2026-08-14,14:00,15:20,0.2,24400,174.4,15:20,TIME,185,286,16.8
B_N_1405_1535cap,NIFTY,2026-05-08,14:05,15:20,0.2,24150,312.7,15:20,TIME,686,370,38.3
B_N_1405_1535cap,NIFTY,2026-05-15,14:05,15:20,0.2,23700,325.3,15:20,TIME,286,783,33.6
B_N_1405_1535cap,NIFTY,2026-05-22,14:05,15:20,0.2,23750,284.75,15:20,TIME,205,267,24.0
B_N_1405_1535cap,NIFTY,2026-05-29,14:05,15:20,0.2,23750,290.35,15:20,TIME,442,1024,98.7
B_N_1405_1535cap,NIFTY,2026-06-05,14:05,15:20,0.2,23350,303.3,15:20,TIME,1186,0,37.9
B_N_1405_1535cap,NIFTY,2026-06-12,14:05,15:20,0.2,23500,275.5,15:20,TIME,-1579,3318,52.4
