venue,arm,start,dur,real_min,n,mean_net,med_net,total_net,win_pct,worst,best,t_net,mean_credit,mean_mae,p90_mae,max_mae,mean_und_bp,p90_und_bp,sl_hits,excess_vs_allstart,t_excess,mae_vs_allstart,ret_per_mae,nbr_mean_net,nbr_n
NIFTY,NOSTOP,09:20,120,120,14,146,241,2048,64,-715,1255,0.97,264.9,926,1703,1947,33.7,50.7,0,227,1.05,204,0.158,477,5
NIFTY,NOSTOP,09:20,45,45,14,-487,-324,-6822,14,-1582,576,-2.93,264.9,774,1392,1485,28.1,48.3,0,-318,-1.95,406,-0.629,-131,3
NIFTY,NOSTOP,09:20,60,60,14,-442,-336,-6191,29,-1875,569,-2.42,264.9,926,1703,1947,31.1,50.1,0,-295,-1.78,471,-0.477,-71,5
NIFTY,NOSTOP,09:20,90,90,14,-247,-239,-3464,29,-1225,666,-1.78,264.9,926,1703,1947,33.5,50.7,0,-120,-0.65,321,-0.267,141,5
NIFTY,NOSTOP,09:20,HOLD,360,14,799,1624,11190,71,-3175,2772,1.56,264.9,1849,4268,6552,56.6,80.1,0,697,2.41,397,0.432,548,3
NIFTY,NOSTOP,09:35,120,120,14,572,629,8015,93,-448,1294,4.67,269.0,345,936,1931,26.0,35.6,0,653,3.48,-376,1.657,431,8
NIFTY,NOSTOP,09:35,45,45,14,-50,228,-704,71,-1758,634,-0.28,269.0,344,936,1931,22.3,34.0,0,119,0.74,-24,-0.146,-153,5
NIFTY,NOSTOP,09:35,60,60,14,98,239,1366,79,-1842,1323,0.47,269.0,344,936,1931,22.9,34.0,0,245,1.27,-111,0.283,-62,8
NIFTY,NOSTOP,09:35,90,90,14,333,344,4658,79,-770,1235,2.35,269.0,345,936,1931,25.7,35.6,0,460,2.65,-260,0.963,123,8
NIFTY,NOSTOP,09:35,HOLD,345,14,926,1409,12962,79,-4488,2838,1.72,269.0,1297,3852,6451,55.3,92.4,0,824,4.8,-154,0.714,535,5
NIFTY,NOSTOP,09:50,120,120,14,434,396,6078,93,-68,1128,5.12,266.3,300,551,1144,23.0,38.7,0,515,2.7,-422,1.446,450,8
NIFTY,NOSTOP,09:50,45,45,14,-22,58,-313,57,-1102,1079,-0.17,266.3,272,551,1144,17.4,24.5,0,147,1.18,-96,-0.082,25,5
NIFTY,NOSTOP,09:50,60,60,14,89,118,1240,64,-282,381,1.6,266.3,295,551,1144,18.9,27.9,0,236,2.72,-160,0.3,116,8
NIFTY,NOSTOP,09:50,90,90,14,332,241,4651,93,-52,1076,4.36,266.3,300,551,1144,21.1,30.9,0,459,3.16,-305,1.106,262,8
NIFTY,NOSTOP,09:50,HOLD,330,14,724,993,10133,71,-4469,2870,1.32,266.3,1404,4095,6432,56.1,101.3,0,622,3.89,-47,0.516,479,5
NIFTY,NOSTOP,10:05,120,120,14,280,358,3923,79,-968,988,1.91,264.6,353,793,2083,26.2,46.8,0,361,1.71,-369,0.793,324,8
NIFTY,NOSTOP,10:05,45,45,14,-58,50,-810,57,-812,335,-0.66,264.6,311,752,2083,17.6,26.8,0,112,1.03,-57,-0.186,59,5
NIFTY,NOSTOP,10:05,60,60,14,47,194,664,79,-923,345,0.54,264.6,323,752,2083,18.3,27.7,0,195,1.64,-133,0.147,122,8
NIFTY,NOSTOP,10:05,90,90,14,245,286,3427,79,-601,653,2.61,264.6,341,764,2083,23.4,44.2,0,372,2.32,-264,0.717,231,8
NIFTY,NOSTOP,10:05,HOLD,315,14,185,1183,2589,64,-6132,2844,0.27,264.6,1937,6004,8196,58.9,115.8,0,83,0.28,486,0.095,381,5
NIFTY,NOSTOP,10:20,120,120,14,299,319,4180,79,-555,871,2.69,263.4,367,705,2028,27.4,46.8,0,379,1.89,-355,0.814,183,8
NIFTY,NOSTOP,10:20,45,45,14,28,42,394,64,-643,572,0.37,263.4,252,515,2028,16.8,22.2,0,198,1.74,-116,0.112,47,5
NIFTY,NOSTOP,10:20,60,60,14,155,166,2176,79,-370,751,1.94,263.4,262,522,2028,19.7,29.0,0,303,2.17,-193,0.592,94,8
NIFTY,NOSTOP,10:20,90,90,14,209,132,2924,79,-247,774,2.44,263.4,314,610,2028,23.4,40.0,0,336,1.92,-291,0.665,176,8
NIFTY,NOSTOP,10:20,HOLD,300,14,166,1019,2325,64,-6214,2509,0.25,263.4,1957,5958,8278,58.6,120.7,0,64,0.24,506,0.085,191,5
NIFTY,NOSTOP,10:35,120,120,14,117,302,1643,79,-2415,959,0.56,262.6,486,1356,3162,26.8,47.0,0,198,0.79,-236,0.242,125,8
NIFTY,NOSTOP,10:35,45,45,14,17,2,233,50,-253,348,0.31,262.6,207,304,1648,16.0,33.8,0,186,1.79,-161,0.08,21,5
NIFTY,NOSTOP,10:35,60,60,14,74,144,1031,64,-630,429,0.93,262.6,234,564,1648,18.5,35.5,0,221,1.64,-221,0.314,65,8
NIFTY,NOSTOP,10:35,90,90,14,187,220,2616,86,-517,592,2.6,262.6,261,564,1648,20.8,41.4,0,314,2.0,-344,0.715,110,8
NIFTY,NOSTOP,10:35,HOLD,285,14,73,1019,1017,64,-6266,2291,0.12,262.6,1785,4742,8330,57.7,113.8,0,-30,-0.15,334,0.041,115,5
NIFTY,NOSTOP,10:50,120,120,14,6,332,91,71,-2684,696,0.03,259.9,585,1639,2723,26.3,52.5,0,87,0.35,-137,0.011,52,8
NIFTY,NOSTOP,10:50,45,45,14,-101,14,-1416,50,-1504,299,-0.86,259.9,332,1157,1674,16.8,39.7,0,68,0.52,-36,-0.304,12,5
NIFTY,NOSTOP,10:50,60,60,14,-49,-34,-686,50,-1010,442,-0.53,259.9,349,1202,1674,18.1,40.1,0,98,0.78,-107,-0.14,34,8
NIFTY,NOSTOP,10:50,90,90,14,72,-92,1009,43,-211,524,0.94,259.9,366,1202,1674,22.0,43.5,0,199,1.28,-239,0.197,53,8
NIFTY,NOSTOP,10:50,HOLD,270,14,-15,652,-205,64,-6584,2259,-0.02,259.9,1868,4679,8648,55.9,115.7,0,-117,-0.59,417,-0.008,36,5
NIFTY,NOSTOP,11:05,120,120,14,33,34,464,50,-1443,1050,0.19,259.1,462,717,2658,26.0,40.6,0,114,0.49,-260,0.072,-59,8
NIFTY,NOSTOP,11:05,45,45,14,-34,-86,-471,36,-295,316,-0.74,259.1,166,478,757,15.5,26.1,0,136,1.66,-202,-0.202,-41,5
NIFTY,NOSTOP,11:05,60,60,14,53,8,741,50,-256,442,0.94,259.1,170,478,757,16.4,31.0,0,200,2.07,-286,0.312,-60,8
NIFTY,NOSTOP,11:05,90,90,14,4,150,52,57,-1751,650,0.02,259.1,381,681,2340,22.0,36.8,0,131,0.65,-224,0.01,-45,8
NIFTY,NOSTOP,11:05,HOLD,255,14,-51,596,-715,64,-6575,2259,-0.08,259.1,1902,4638,8639,56.4,109.8,0,-153,-1.02,451,-0.027,-40,5
NIFTY,NOSTOP,11:20,120,120,14,-193,31,-2703,57,-2220,660,-0.84,257.1,592,1355,2984,26.5,53.6,0,-112,-0.45,-130,-0.326,-96,8
NIFTY,NOSTOP,11:20,45,45,14,-90,-108,-1254,36,-578,212,-1.51,257.1,185,381,812,12.9,21.1,0,80,1.11,-183,-0.484,-61,5
NIFTY,NOSTOP,11:20,60,60,14,-19,14,-262,57,-442,390,-0.25,257.1,223,478,812,15.9,26.0,0,129,1.24,-233,-0.084,-103,8
NIFTY,NOSTOP,11:20,90,90,14,-263,-80,-3678,43,-2938,446,-1.16,257.1,454,751,2977,21.6,31.8,0,-136,-0.56,-151,-0.578,-82,8
NIFTY,NOSTOP,11:20,HOLD,240,14,-33,502,-464,71,-6864,2269,-0.05,257.1,1852,4768,8928,52.4,105.1,0,-135,-0.82,401,-0.018,-96,5
NIFTY,NOSTOP,11:35,120,120,14,-184,47,-2574,57,-1488,946,-0.97,256.7,627,1365,3071,28.3,48.5,0,-103,-0.51,-95,-0.293,-168,8
NIFTY,NOSTOP,11:35,45,45,14,-141,-180,-1975,29,-669,485,-1.75,256.7,232,428,1154,15.2,25.3,0,29,0.28,-136,-0.609,-148,5
NIFTY,NOSTOP,11:35,60,60,14,-166,-1,-2319,50,-2164,624,-0.95,256.7,408,937,2753,18.3,25.3,0,-18,-0.1,-47,-0.405,-176,8
NIFTY,NOSTOP,11:35,90,90,14,-186,-39,-2608,43,-1855,556,-1.1,256.7,481,1058,3071,24.5,32.0,0,-59,-0.28,-124,-0.387,-219,8
