cpr_threshold,buffer_pct,entry_window,volume_filter,exit_strategy,total_trades,winners,losers,win_rate,total_pnl,total_pnl_pct,profit_factor,avg_win,avg_loss,max_dd,final_capital,exit_reasons
0.1,0.0,morning,False,EOD_ONLY,541,243,298,44.91682070240296,-98828.34374996356,-9.882834374996264,0.9242690978607087,4963.643091563852,-4379.173204697918,15.422370860316581,901171.6562500374,{'EOD': 541}
0.1,0.0,morning,False,SL_0.5,541,206,335,38.07763401109057,10831.766904034585,1.0831766904034652,1.010372106568694,5122.081246966085,-3117.3640894656087,9.886819625753233,1010831.7669040347,"{'EOD': 257, 'SL': 284}"
0.1,0.0,morning,False,SL_0.75,541,229,312,42.329020332717185,-41189.85909260055,-4.1189859092599015,0.9656728744052782,5059.9638864629505,-3845.902529143,14.47924593254433,958810.140907401,"{'EOD': 341, 'SL': 200}"
0.1,0.0,morning,False,SL_1.0,541,235,306,43.438077634011094,-140315.54368303387,-14.03155436830325,0.8935662366276851,5012.856276595811,-4308.290093735456,19.588178926293818,859684.4563169675,"{'EOD': 401, 'SL': 140}"
0.1,0.0,morning,False,SL0.5_TP1.0,541,214,327,39.55637707948244,-113232.33957783008,-11.323233957783145,0.8897097306375535,4268.426921120981,-3139.681041889052,16.273874809202063,886767.6604221686,"{'EOD': 138, 'TARGET': 122, 'SL': 281}"
0.1,0.0,morning,False,SL0.5_TP1.5,541,208,333,38.447319778188536,-41016.97173003571,-4.101697173003631,0.960531686119598,4799.139577212543,-3120.834846216951,11.372359431091853,958983.0282699637,"{'EOD': 199, 'SL': 283, 'TARGET': 59}"
0.1,0.0,morning,False,SL0.75_TP1.5,541,231,310,42.69870609981516,-98750.86416409917,-9.87508641640984,0.9174419948783858,4750.59874969055,-3858.513468847149,16.50271241381298,901249.1358359016,"{'EOD': 277, 'SL': 200, 'TARGET': 64}"
0.1,0.0,morning,False,SL0.75_TP2.0,541,229,312,42.329020332717185,-77698.03899375079,-7.769803899374941,0.9352474030803078,4900.539520082381,-3845.902529143,15.099904516217194,922301.9610062506,"{'EOD': 310, 'SL': 200, 'TARGET': 31}"
0.1,0.0,morning,False,SL1.0_TP1.5,541,237,304,43.80776340110906,-186871.70658328256,-18.687170658328185,0.8578440626041669,4758.154634387204,-4324.191957016611,23.50958853862722,813128.2934167181,"{'EOD': 336, 'SL': 140, 'TARGET': 65}"
0.1,0.0,morning,False,SL1.0_TP2.0,541,235,306,43.438077634011094,-161713.88243918415,-16.171388243918294,0.8773349220922301,4921.799515931343,-4308.290093735456,21.838110095955585,838286.117560817,"{'EOD': 369, 'SL': 140, 'TARGET': 32}"
0.1,0.0,morning,False,SL1.0_TP3.0,541,235,306,43.438077634011094,-118737.53166257772,-11.873753166257684,0.9099338389983688,5104.677604342433,-4308.290093735456,17.820634506185232,881262.4683374232,"{'EOD': 389, 'SL': 140, 'TARGET': 12}"
0.1,0.0,morning,False,TRAIL_0.3,541,130,411,24.029574861367838,-526424.3641018466,-52.64243641018458,0.22104887197059753,1149.1341238366442,-1644.3109493932125,52.68602711615311,473575.6358981543,"{'TRAIL': 491, 'SL': 43, 'EOD': 7}"
0.1,0.0,morning,False,TRAIL_0.5,541,174,367,32.16266173752311,-397111.7023459358,-39.71117023459356,0.5371107415499136,2648.196284824086,-2337.596337616694,41.27337842000258,602888.2976540644,"{'EOD': 55, 'TRAIL': 440, 'SL': 46}"
0.1,0.0,morning,False,TRAIL_0.75,541,216,325,39.92606284658041,-126558.03660997684,-12.655803660997666,0.8748345685738503,4095.2225925275557,-3111.157281833627,21.724072605466315,873441.9633900233,"{'EOD': 188, 'TRAIL': 327, 'SL': 26}"
0.1,0.0,morning,False,CPR_PIVOT,541,234,307,43.253234750462106,-60334.3687458127,-6.033436874581186,0.9512212616314762,5028.053632478699,-4028.98670601247,16.17159978203832,939665.6312541881,"{'EOD': 360, 'SL': 81, 'BELOW_PIVOT': 58, 'ABOVE_PIVOT': 42}"
0.1,0.0,morning,False,TRAIL0.5_TP1.5,541,174,367,32.16266173752311,-393446.628131084,-39.344662813108386,0.5413828984152366,2669.2599297370275,-2337.596337616694,40.91370427047508,606553.3718689161,"{'EOD': 51, 'TRAIL': 431, 'TARGET': 13, 'SL': 46}"
0.1,0.0,morning,False,TRAIL0.5_TP2.0,541,174,367,32.16266173752311,-393701.43045987334,-39.370143045987305,0.541085890645564,2667.7955485370885,-2337.596337616694,40.938709442412254,606298.569540127,"{'EOD': 54, 'TRAIL': 438, 'SL': 46, 'TARGET': 3}"
0.1,0.0,morning,True,EOD_ONLY,310,138,172,44.516129032258064,-116572.61499997874,-11.65726149999781,0.8495251055709482,4769.025262681225,-4504.058728197604,14.525817407080163,883427.3850000219,{'EOD': 310}
0.1,0.0,morning,True,SL_0.5,310,110,200,35.483870967741936,-88624.6820088579,-8.86246820088583,0.8559254541732522,4786.418710227337,-3075.6537006693247,12.74726806021107,911375.3179911417,"{'EOD': 143, 'SL': 167}"
