label,regime_filter,period,n_symbols,total_trades,win_rate,total_pnl,pnl_pct,profit_factor,max_drawdown,sharpe,sortino,avg_trades_per_day,days_with_trades,total_trading_days,exit_reasons
NONE,none,2024-01-01 to 2025-10-27,79,30,53.33,47507.0,4.75,1.6681,4.1773,0.7545,0.2939,0.0674,28,445,"{""EOD"": 25, ""SL"": 3, ""TARGET"": 2}"
ABOVE_SMA50,above_sma50,2024-01-01 to 2025-10-27,79,21,52.38,28970.0,2.9,1.5608,4.2188,0.5146,0.1628,0.0472,20,445,"{""EOD"": 17, ""SL"": 2, ""TARGET"": 2}"
BELOW_SMA50,below_sma50,2024-01-01 to 2025-10-27,79,6,50.0,4039.0,0.4,1.231,1.0735,0.1778,0.0298,0.0135,5,445,"{""EOD"": 5, ""SL"": 1}"
ABOVE_SMA200,above_sma200,2024-01-01 to 2025-10-27,79,12,66.67,60732.0,6.07,5.2655,1.0765,1.2686,0.4377,0.027,12,445,"{""EOD"": 9, ""SL"": 1, ""TARGET"": 2}"
BELOW_SMA200,below_sma200,2024-01-01 to 2025-10-27,79,4,50.0,4226.0,0.42,1.6363,0.3985,0.4094,0.0,0.009,3,445,"{""EOD"": 4}"
RVOL_HIGH_10,rvol_high,2024-01-01 to 2025-10-27,79,20,45.0,-9031.0,-0.9,0.8607,4.5208,-0.1954,-0.0533,0.0449,19,445,"{""EOD"": 17, ""SL"": 3}"
RVOL_HIGH_12,rvol_high,2024-01-01 to 2025-10-27,79,12,50.0,7070.0,0.71,1.2482,2.1787,0.2271,0.0493,0.027,12,445,"{""EOD"": 11, ""SL"": 1}"
RVOL_HIGH_15,rvol_high,2024-01-01 to 2025-10-27,79,4,75.0,10381.0,1.04,5.4715,0.2294,0.8259,0.0,0.009,4,445,"{""EOD"": 4}"
RVOL_LOW_10,rvol_low,2024-01-01 to 2025-10-27,79,10,70.0,56537.0,5.65,10.0202,0.26,1.3238,1.8246,0.0225,9,445,"{""EOD"": 8, ""TARGET"": 2}"
RVOL_LOW_12,rvol_low,2024-01-01 to 2025-10-27,79,18,55.56,40437.0,4.04,1.9485,2.4099,0.7386,0.2157,0.0404,16,445,"{""EOD"": 14, ""SL"": 2, ""TARGET"": 2}"
