label,use_bb,bb_period,bb_std,use_kc,kc_period,kc_mult,total_trades,win_rate,total_pnl,pnl_pct,profit_factor,max_drawdown,sharpe,avg_trades_per_day,exit_reasons
BB_p20_s2.5,True,20,2.5,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
BB_p20_s3.0,True,20,3.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
BB_p10_s1.5,True,10,1.5,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
BB_p30_s1.5,True,30,1.5,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
BB_p10_s2.0,True,10,2.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
BB_p10_s2.5,True,10,2.5,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
BB_p30_s2.0,True,30,2.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
BB_p10_s3.0,True,10,3.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
BB_p20_s1.5,True,20,1.5,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
BB_p20_s2.0,True,20,2.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
BB_p30_s2.5,True,30,2.5,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
BB_p30_s3.0,True,30,3.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
KC_p10_m1.0,False,,,True,10,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
KC_p10_m1.5,False,,,True,10,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
KC_p10_m2.0,False,,,True,10,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
KC_p10_m2.5,False,,,True,10,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
KC_p20_m1.0,False,,,True,20,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
KC_p20_m1.5,False,,,True,20,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
KC_p20_m2.0,False,,,True,20,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
KC_p20_m2.5,False,,,True,20,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
KC_p30_m1.0,False,,,True,30,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
KC_p30_m1.5,False,,,True,30,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
KC_p30_m2.0,False,,,True,30,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
KC_p30_m2.5,False,,,True,30,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
SQZ_bb10s2.0_kc10m1.5,True,10,2.0,True,10,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
SQZ_bb20s2.0_kc20m1.5,True,20,2.0,True,20,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
SQZ_bb20s2.5_kc20m2.0,True,20,2.5,True,20,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
SQZ_bb30s2.0_kc30m1.5,True,30,2.0,True,30,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
SQZ_bb20s1.5_kc20m1.0,True,20,1.5,True,20,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
SQZ_bb10s1.5_kc10m1.0,True,10,1.5,True,10,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
