date,invested_pct
2005-12-19,94.0418
2005-12-20,94.0073
2005-12-21,94.0093
2005-12-22,94.0208
2005-12-23,93.9692
2005-12-26,93.804
2005-12-27,93.933
2005-12-28,93.9607
2005-12-29,93.9867
2005-12-30,94.0524
2006-01-02,94.0687
2006-01-03,94.1522
2006-01-04,94.2231
2006-01-05,94.1847
2006-01-06,94.1783
2006-01-09,94.188
2006-01-10,94.1231
2006-01-12,94.1428
2006-01-13,94.174
2006-01-16,94.1234
2006-01-17,94.116
2006-01-18,94.0553
2006-01-19,94.152
2006-01-20,94.1684
2006-01-23,94.1001
2006-01-24,94.1067
2006-01-25,94.0762
2006-01-27,87.3185
2006-01-30,87.2628
2006-01-31,93.6125
2006-02-01,93.5855
2006-02-02,88.2578
2006-02-03,88.2011
2006-02-06,88.3775
2006-02-07,94.7516
2006-02-08,94.8209
2006-02-10,94.857
2006-02-13,94.9531
2006-02-14,94.9266
2006-02-15,94.9776
2006-02-16,95.0355
2006-02-17,94.9264
2006-02-20,94.9914
2006-02-21,90.6541
2006-02-22,90.6922
2006-02-23,90.6822
2006-02-24,90.6157
2006-02-27,90.6122
2006-02-28,90.6182
2006-03-01,90.8308
2006-03-02,90.8753
2006-03-03,97.1409
2006-03-06,97.225
2006-03-07,97.2407
2006-03-08,97.163
2006-03-09,97.1878
2006-03-10,97.2269
2006-03-13,97.2197
2006-03-14,97.2033
2006-03-16,97.2416
2006-03-17,97.2639
2006-03-20,97.2871
2006-03-21,97.2543
2006-03-22,97.2489
2006-03-23,97.2835
2006-03-24,97.332
2006-03-27,97.3519
2006-03-28,97.3491
2006-03-29,97.3638
2006-03-30,97.3535
2006-03-31,97.3868
2006-04-03,97.4715
2006-04-04,97.4857
2006-04-05,97.5489
2006-04-07,97.5165
2006-04-10,97.5408
2006-04-12,97.4706
2006-04-13,97.3969
2006-04-17,97.4785
2006-04-18,97.5253
2006-04-19,97.5587
2006-04-20,97.5896
2006-04-21,97.5838
2006-04-24,97.5765
2006-04-25,97.5216
2006-04-26,89.3515
2006-04-27,89.2744
2006-04-28,90.2357
2006-04-29,90.2455
2006-05-02,90.5489
2006-05-03,96.8566
2006-05-04,96.8722
2006-05-05,96.8965
2006-05-08,96.934
2006-05-09,96.9843
2006-05-10,97.0208
2006-05-11,96.9565
2006-05-12,96.9021
2006-05-15,96.7683
