,Open Alpha - Base Age,True North,IPO Base - First Base,NIFTYBEES (index)
2006-04-03,1.0,1.0,1.0,1.0
2006-04-04,1.0058529338945283,1.000193630506544,1.000198412698413,1.0111587982832615
2006-04-05,1.0319973478919517,1.000387298505861,1.0003968647644244,1.0100143061516451
2006-04-07,1.0187483896416716,1.000581004005211,1.000595356205846,1.0045779685264662
2006-04-10,1.0290004657974579,1.0007747470118549,1.0007938870304898,1.0022889842632332
2006-04-12,1.0006240007385618,1.0009685275330553,1.0009924572461706,0.9799713876967096
2006-04-13,0.9725017519859338,1.0011623455760759,1.0011910668607036,0.9719599427753932
2006-04-17,1.004166411387279,1.0013562011481825,1.0013897158819065,0.98140200286123
2006-04-18,1.023342411487992,1.0015500942566418,1.001588404317597,1.0228898426323318
2006-04-19,1.0375479750399705,1.0017440249087217,1.0017871321755965,1.0185979971387695
2006-04-20,1.0510693618574827,1.0019379931116925,1.0353910362267815,1.0303290414878397
2006-04-21,1.0487279533027558,1.0021319988728243,1.0729956122485218,1.0286123032904149
2006-04-24,1.045794856085371,1.0023260421993898,1.073208508203333,1.027181688125894
2006-04-25,1.02279587580413,1.0025201230986633,1.073421446399405,1.000286123032904
2006-04-26,1.0465841100121276,1.0027142415779196,1.0675473096489494,1.0243204577968523
2006-04-27,1.039263704306738,1.002908397644435,1.0728216575903653,1.019456366237482
2006-04-28,1.0427726278949732,1.003102591305488,1.064584355144884,1.0103004291845494
2006-04-29,1.0440204615171569,1.0031087044141263,1.073650240863386,1.0014306151645207
2006-05-02,1.077754856253226,1.0043074645955818,1.0680326775764186,1.0414878397711014
2006-05-03,1.0813006240007386,1.0049918520123684,1.073238128213452,1.0515021459227467
2006-05-04,1.0869184770521316,1.0106145667935116,1.0801671227068943,1.0515021459227467
2006-05-05,1.0956071522989832,1.0131508804629883,1.0886127221998552,1.0629470672389123
2006-05-08,1.109234875220834,1.0201111158376208,1.0783075128479236,1.065808297567954
2006-05-09,1.1279503652943126,1.0201783481409177,1.073655216195897,1.0801144492131616
2006-05-10,1.1420022576489397,1.0223032360711604,1.076448149932696,1.090128755364807
2006-05-11,1.1180858661944348,1.0151688548518587,1.086341457120792,1.072961373390558
2006-05-12,1.0986609372180562,1.0099892481378694,1.086239098939191,1.061516452074392
2006-05-15,1.0533881939228118,1.00460391211339,1.0849648692237286,1.0185979971387695
2006-05-16,1.0542377077729426,1.007500540371952,1.0931350029710305,1.015736766809728
2006-05-17,1.0937750156314912,1.0128663488269205,1.1043383467173686,1.052646638054363
2006-05-18,1.0080337891993738,1.0030572229368455,1.074800047389867,1.028898426323319
2006-05-19,0.9816455659019475,0.9998069823899227,1.065184551912991,0.935050071530758
2006-05-22,0.9606253435780798,1.000000575522369,1.0408145530834594,0.8987124463519313
2006-05-23,0.9583044972534736,1.0001942061403517,1.041021063907484,0.9218884120171672
2006-05-24,0.9517339834914667,1.000387874251129,1.0412276157058782,0.9184549356223176
2006-05-25,0.9490772594323985,1.0005815798619606,1.0414342084867725,0.915593705293276
2006-05-26,0.9525313783828016,1.000775322980108,1.0416408422582972,0.9296137339055792
2006-05-29,0.9529557995979874,1.000969103612833,1.0418475170285868,0.927038626609442
2006-05-30,0.9533899563996794,1.0011629217674005,1.0420542328057751,0.931330472103004
2006-05-31,0.946124271404652,1.0013567774510754,1.0422609895979984,0.8832618025751072
2006-06-01,0.9439596980289634,1.0015506706711244,1.042467787413395,0.8675250357653791
2006-06-02,0.9427477014364186,1.0017446014348161,1.042674626260104,0.896137339055794
2006-06-05,0.9399561059332525,1.0019385697494194,1.0428815061462668,0.8898426323319026
2006-06-06,0.9363577995895946,1.0021325756222061,1.0430884270800258,0.8706723891273247
2006-06-07,0.9278945535268421,1.002326619060448,1.0432953890695258,0.8260371959942775
2006-06-08,0.9249832774516263,1.0025207000714194,1.0435023921229123,0.7965665236051501
2006-06-09,0.9251623786723514,1.002714818662395,1.0437094362483337,0.8291845493562231
2006-06-12,0.9253414798930764,1.002908974840652,1.0439165214539383,0.8143061516452074
2006-06-13,0.9255205811138014,1.003103168613468,1.044123647747878,0.7748211731044348
2006-06-14,0.9256997662619963,1.0032973999881223,1.044330815138304,0.7639484978540771
2006-06-15,0.9258789514101913,1.0034916689718962,1.0445380236333708,0.8045779685264663
2006-06-16,0.9260582204858562,1.003685975572072,1.044745273241235,0.8371959942775393
2006-06-19,0.926237489561521,1.0038803197959327,1.0449525639700523,0.8446351931330471
2006-06-20,0.9264168425646556,1.0040747016507645,1.0451598958279833,0.8297567954220314
2006-06-21,0.9265961955677903,1.0042691211438532,1.045367268823187,0.8497854077253219
2006-06-22,0.926775548570925,1.004463578282487,1.0455746829638264,0.8698140200286122
2006-06-23,0.9269549855015295,1.0046580730739547,1.0457821382580652,0.8818311874105865
2006-06-25,0.9271344224321342,1.0048526055255476,1.045989634714069,0.8881258941344777
2006-06-26,0.9273139432902086,1.0050471756445576,1.046197172340004,0.8695278969957081
2006-06-27,0.927493464148283,1.005241783438278,1.0464047511440395,0.8626609442060085
2006-06-28,0.9276729850063575,1.0054364289140045,1.0466123711343462,0.8669527896995708
2006-06-29,0.9278525897919019,1.0056311120790329,1.046820032319095,0.8721030042918454
2006-06-30,0.9280321945774461,1.005825832940661,1.0470277347064598,0.9024320457796852
2006-07-03,0.9282118832904603,1.0060205915061884,1.047235478304616,0.9127324749642344
2006-07-04,0.9283915720034746,1.0062153877829154,1.04744326312174,0.9141630901287552
2006-07-05,0.9285713446439587,1.006410221778144,1.0476510891660102,0.9256080114449212
2006-07-06,0.9287511172844428,1.006605093499178,1.047858956445607,0.9236051502145922
2006-07-07,0.9289308899249269,1.006800002953322,1.0480668649687108,0.894420600858369
2006-07-10,0.9291107464928808,1.0069949501478823,1.048274814743506,0.9092989985693848
2006-07-11,0.9292906030608348,1.007189935090167,1.0484828057781777,0.9070100143061516
2006-07-12,0.9294705435562587,1.0073849577874843,1.0486908380809117,0.9227467811158796
2006-07-13,0.927312264740811,1.0075800182471455,1.0488989116598957,0.9241773962804004
2006-07-14,0.9263831876492336,1.0077751164764623,1.0491070265233202,0.9070100143061516
2006-07-17,0.9251128614651218,1.007970252482748,1.049315182679376,0.8841201716738196
2006-07-18,0.9260859165509167,1.0081654262733175,1.0495233801362571,0.8755364806866952
2006-07-19,0.9254268341299449,1.008360637855487,1.049731618902157,0.8572246065808297
2006-07-20,0.9270268274157473,1.008555887236574,1.0499398989852724,0.8806866952789699
2006-07-21,0.9256825611306708,1.0087511744238975,1.0501482203938013,0.855793991416309
2006-07-24,0.9261557442058573,1.008946499424778,1.0503565831359432,0.8738197424892703
2006-07-25,0.9263062261593531,1.0091418622465376,1.0505649872198983,0.8812589413447782
