,OA v3 (gated),TN incumbent,NIFTYBEES,OA v2,IPO (honest)
2016-01-01,1.0,1.0,1.0,1.0,1.0
2016-01-04,0.9997819126789368,1.000193630506544,0.9819876,0.9875783309528788,0.9663336307286028
2016-01-05,0.9989348787758908,1.0003872985058608,0.98136646,0.994812566196994,0.9714040252243744
2016-01-06,1.0004594897956824,1.000581004005211,0.9751553,0.993186275568196,0.9562908452249688
2016-01-07,0.9840666240826534,1.0007747470118546,0.9552795,0.9675756364893654,0.95488599495419
2016-01-08,0.9928198703114898,1.000968527533055,0.9571429,0.9807152129528274,0.9680482575320556
2016-01-11,0.997188242486848,1.0011623455760756,0.95217395,0.9802139569660755,0.9669723569371204
2016-01-12,0.9890984467669728,1.0013562011481825,0.9465838,0.9723404151485046,0.974187003615173
2016-01-13,0.9712516655801888,1.0015500942566418,0.95155275,0.9462036754138634,0.9609742361723728
2016-01-14,0.9592197962030552,1.0017440249087217,0.9465838,0.9258957464447722,0.9401680355645105
2016-01-15,0.9412016205094342,1.001937993111692,0.9378882,0.8946760536136128,0.9269839927407072
2016-01-18,0.9319884469351168,1.0021319988728241,0.926087,0.8694096906631663,0.9271679181360925
2016-01-19,0.9320458284658524,1.0023260421993898,0.9341614,0.8772414549866356,0.9273518800246112
2016-01-20,0.9303793888041882,1.0025201230986631,0.91925466,0.8691398745994906,0.9275358784135052
2016-01-21,0.9302253712750682,1.0027142415779193,0.9167702,0.8729791153937274,0.9277199133100156
2016-01-22,0.9350786111344296,1.002908397644435,0.93540376,0.8835911164928082,0.9279039847213868
2016-01-25,0.9365318390299296,1.003102591305488,0.936646,0.8883683914289441,0.9280880926548633
2016-01-27,0.93480251721149,1.003296822568358,0.9347826,0.888809014592398,0.9282722371176916
2016-01-28,0.932438873199256,1.0034910914403259,0.9322982,0.889011616953174,0.9284564181171194
2016-01-29,0.9314933280844028,1.0036853979286735,0.9465838,0.8915558293727283,0.9286406356603968
2016-02-01,0.9317552953995576,1.0038797420406855,0.94906837,0.8988485531085857,0.9288248897547738
2016-02-02,0.935548352096823,1.0040741237836461,0.9391304,0.8974645719455772,0.9290091804075028
2016-02-03,0.9295805478861064,1.0042685431648422,0.92360246,0.8936680698975187,0.929193507625838
2016-02-04,0.9298332016412618,1.0044630001915613,0.9285714,0.89327661847491,0.9293778714170332
2016-02-05,0.939735078598633,1.0046574948710931,0.9391304,0.9019459291270323,0.9295622717883464
2016-02-08,0.92099919622102,1.0048520272107282,0.92795026,0.8957357970569123,0.9297467087470344
2016-02-09,0.9145899667705932,1.005046597217759,0.91552794,0.8928471606240389,0.9299311823003572
2016-02-10,0.9050991991025978,1.0052412048994783,0.9086957,0.8866552184009083,0.9301156924555756
2016-02-11,0.884748570446674,1.005435850263182,0.8801242,0.8672362997178059,0.9303002392199518
2016-02-12,0.8838024002606797,1.005630533316166,0.878882,0.8668061024422605,0.9304848226007494
2016-02-15,0.8941201995552118,1.005825254065728,0.8981367,0.87626437922193,0.9306694426052337
2016-02-16,0.8868390583703307,1.0060200125191672,0.8869565,0.869096396428638,0.9341497395759396
2016-02-17,0.8867062932600016,1.006214808683785,0.8925466,0.8665274872249599,0.9365473845527932
2016-02-18,0.8902768246311034,1.0064096425668825,0.9024845,0.8693103859293991,0.9380543802448484
2016-02-19,0.8896287508722086,1.0066045141757634,0.90434784,0.867150748282982,0.9400704329088632
2016-02-22,0.8915662213805708,1.0067994235177329,0.9080745,0.8681191727789975,0.9361492913118604
2016-02-23,0.8887012078062134,1.0069943706000966,0.89316773,0.8655670485154275,0.9373171829107838
2016-02-24,0.8900596124096374,1.0071893554301627,0.88509315,0.8627138305244562,0.9328873183687062
2016-02-25,0.8927469182586343,1.0073843780152405,0.878882,0.8605971534516196,0.9343096716482324
2016-02-26,0.8918247508044509,1.00757943836264,0.88571435,0.8605652842481545,0.932763528005315
2016-02-29,0.8919328881118282,1.0077745364796733,0.8801242,0.8608858248444916,0.932574468788695
2016-03-01,0.8918576295464627,1.0079696723736542,0.90559006,0.8684527272496034,0.9331487946138832
2016-03-02,0.8945748137959951,1.0081648460518968,0.9273292,0.8740153451323821,0.9384304945167816
2016-03-03,0.896074046927466,1.0083600575217175,0.936646,0.8757626795803736,0.9472744575319888
2016-03-04,0.895990912465725,1.0085553067904343,0.9416149,0.8757707393093241,0.9334641159928398
2016-03-08,0.8966886793803219,1.0087505938653658,0.94037265,0.8752782824761972,0.92767469522552
2016-03-09,0.8976109093416195,1.0089459187538323,0.9453416,0.878422464076531,0.9397635290073956
2016-03-10,0.8970535959123848,1.0091412814631562,0.93975157,0.8790880202259268,0.936024432062439
2016-03-11,0.8986384012830461,1.0093366820006604,0.94285715,0.8796642538746592,0.935483842952584
2016-03-14,0.9017028750584676,1.0095321203736696,0.9503106,0.8816584822214211,0.946998551325402
2016-03-15,0.8953112726142144,1.0097275965895098,0.94037265,0.8791611493262215,0.9536748134710372
2016-03-16,0.8930569535445253,1.009923110655509,0.9453416,0.8769899027124167,0.9378174883783696
2016-03-17,0.8955462993631963,1.0101186625789955,0.9459627,0.8773477842548093,0.9525256273776452
2016-03-18,0.8947525215213556,1.0103142523673003,0.9559006,0.8815048297740881,0.9626398946345596
2016-03-21,0.8965831048646224,1.0105098800277545,0.9689441,0.8881008675817589,0.95395145453677
2016-03-22,0.8892498327465894,1.010705545567692,0.97577643,0.8870035613650016,0.9729827030858408
2016-03-23,0.8965150346173774,1.0109012489944473,0.9745341,0.8943772521027019,0.9572420869866132
2016-03-28,0.8814515702068342,1.011096990315356,0.9689441,0.8856621710632365,0.9694938590827424
2016-03-29,0.8762656674862808,1.011292769537756,0.9602485,0.8804944059565686,0.9688097720233112
2016-03-30,0.886957446844419,1.0114885866689858,0.97577643,0.885466593236867,0.9666118751233812
2016-03-31,0.8867768012846963,1.010169187934484,0.9826087,0.8835873454269689,0.95880159170491
2016-04-01,0.8859249543338651,1.0146675966393028,0.9708075,0.8710116542201776,0.9699959682955042
2016-04-04,0.890553606132298,1.0055409833192988,0.9763975,0.8696575458140134,1.0159934744507846
2016-04-05,0.8781972623259184,0.9927839927916249,0.95962733,0.8720264406432758,1.0182724062728914
2016-04-06,0.8703096771201272,1.003799876040244,0.9602485,0.8708851386583938,1.0214427222389422
