,nav
2005-01-03,1000212.4859327639
2005-01-04,1000425.0170157994
2005-01-05,1000637.5932587003
2005-01-06,1000850.2146710625
2005-01-07,1001062.8812624839
2005-01-10,1001275.5930425642
2005-01-11,1001488.3500209056
2005-01-12,1001701.1522071119
2005-01-13,1001913.9996107894
2005-01-14,1002126.8922415458
2005-01-17,1002339.8301089916
2005-01-18,1002552.8132227387
2005-01-19,1002765.8415924014
2005-01-20,1002978.915227596
2005-01-24,1003192.0341379406
2005-01-25,1003405.1983330557
2005-01-27,1003618.4078225637
2005-01-28,1003831.6626160889
2005-01-31,1004044.9627232578
2005-02-01,1004258.308153699
2005-02-02,1004471.6989170429
2005-02-03,1004685.1350229223
2005-02-04,1004898.6164809717
2005-02-07,1005112.1433008278
2005-02-08,1005325.7154921294
2005-02-09,1005539.3330645174
2005-02-10,1005752.9960276344
2005-02-11,1005966.7043911254
2005-02-14,1006180.4581646373
2005-02-15,1006394.2573578192
2005-02-16,1006608.1019803222
2005-02-17,1006821.9920417991
2005-02-18,1007035.9275519054
2005-02-21,1007249.9085202981
2005-02-22,1007463.9349566364
2005-02-23,1006962.25
2005-02-24,1008438.875
2005-02-25,1008103.9375
2005-02-28,1011022.125
2005-03-01,1009469.75
2005-03-02,1010664.125
2005-03-03,1011848.8125
2005-03-04,1011718.5625
2005-03-07,1013127.3125
2005-03-08,1013094.625
2005-03-09,1013003.5
2005-03-10,1015152.625
2005-03-11,1014876.5625
2005-03-14,1014824.5
2005-03-15,1014801.75
2005-03-16,1014662.125
2005-03-17,1014697.875
2005-03-18,1015045.375
2005-03-21,1014779.25
2005-03-22,1012273.0
2005-03-23,1009211.5625
2005-03-24,1009663.5625
2005-03-28,1009878.0625
2005-03-29,1010092.5625
2005-03-30,1010307.125
2005-03-31,1010521.75
2005-04-01,1010736.4375
2005-04-04,1010951.125
2005-04-05,1011165.875
2005-04-06,1011380.6875
2005-04-07,1011595.5625
2005-04-08,1011810.4375
2005-04-11,1012025.375
2005-04-12,1012240.375
2005-04-13,1012455.375
2005-04-15,1012670.4375
2005-04-18,1012885.5625
2005-04-19,1013100.75
2005-04-20,1013315.9375
2005-04-21,1013531.1875
2005-04-22,1013746.5
2005-04-25,1013961.875
