date,nav
2006-04-03,1.000193630506544
2006-04-04,1.000387298505861
2006-04-05,1.000581004005211
2006-04-07,1.0007747470118549
2006-04-10,1.000968527533055
2006-04-12,1.0011623455760759
2006-04-13,1.0013562011481825
2006-04-17,1.0015500942566418
2006-04-18,1.001744024908722
2006-04-19,1.0019379931116925
2006-04-20,1.0021319988728243
2006-04-21,1.00232604219939
2006-04-24,1.0025201230986633
2006-04-25,1.0027142415779196
2006-04-26,1.002908397644435
2006-04-27,1.003102591305488
2006-04-28,1.003296822568358
2006-04-29,1.0033029368606807
2006-05-02,1.0045019291586774
2006-05-03,1.0051864490937459
2006-05-04,1.0108102526040006
2006-05-05,1.0133470573811778
2006-05-08,1.0203086404697117
2006-05-09,1.0203758857912337
2006-05-10,1.0225011851646024
2006-05-11,1.0153654225114512
2006-05-12,1.0101848128675905
2006-05-15,1.0047984340777687
2006-05-16,1.0076956232119274
2006-05-17,1.013062470651105
2006-05-18,1.0032514454150154
2006-05-19,1.000000575522369
2006-05-22,1.0001942061403517
2006-05-23,1.000387874251129
2006-05-24,1.0005815798619606
2006-05-25,1.000775322980108
2006-05-26,1.0009691036128332
2006-05-29,1.0011629217674005
2006-05-30,1.0013567774510754
2006-05-31,1.0015506706711246
2006-06-01,1.0017446014348161
2006-06-02,1.0019385697494196
2006-06-05,1.0021325756222061
2006-06-06,1.002326619060448
2006-06-07,1.0025207000714194
2006-06-08,1.002714818662395
2006-06-09,1.002908974840652
2006-06-12,1.0031031686134677
2006-06-13,1.0032973999881223
2006-06-14,1.0034916689718962
2006-06-15,1.003685975572072
2006-06-16,1.003880319795933
2006-06-19,1.0040747016507645
2006-06-20,1.0042691211438532
2006-06-21,1.004463578282487
2006-06-22,1.0046580730739547
2006-06-23,1.0048526055255476
2006-06-25,1.0050471756445576
2006-06-26,1.0052417834382783
2006-06-27,1.0054364289140045
2006-06-28,1.0056311120790329
2006-06-29,1.005825832940661
2006-06-30,1.0060205915061884
2006-07-03,1.0062153877829154
2006-07-04,1.006410221778144
2006-07-05,1.006605093499178
2006-07-06,1.006800002953322
2006-07-07,1.0069949501478823
2006-07-10,1.0071899350901667
2006-07-11,1.0073849577874843
2006-07-12,1.0075800182471455
2006-07-13,1.0077751164764623
2006-07-14,1.007970252482748
2006-07-17,1.0081654262733175
2006-07-18,1.008360637855487
2006-07-19,1.008555887236574
2006-07-20,1.0087511744238975
2006-07-21,1.008946499424778
2006-07-24,1.0091418622465376
2006-07-25,1.0093372628964992
2006-07-26,1.0095327013819875
2006-07-27,1.0097281777103289
2006-07-28,1.0099236918888506
2006-07-31,1.0101192439248818
2006-08-01,1.0103148338257528
2006-08-02,1.0105104615987954
2006-08-03,1.0107061272513427
2006-08-04,1.0109018307907294
2006-08-07,1.0110975722242916
2006-08-08,1.0112933515593667
2006-08-09,1.0114891688032936
2006-08-10,1.0116850239634128
2006-08-11,1.0118809170470657
2006-08-14,1.0120768480615958
2006-08-16,1.0122728170143473
2006-08-17,1.0124688239126665
2006-08-18,1.0126648687639006
2006-08-21,1.0128609515753986
2006-08-22,1.0130570723545107
2006-08-23,1.0132532311085887
2006-08-24,1.0134494278449855
2006-08-25,1.0136456625710557
2006-08-28,1.0138419352941554
2006-08-29,1.014038246021642
2006-08-30,1.0142345947608742
2006-08-31,1.012911614098065
2006-09-01,1.0188792828937931
2006-09-04,1.027711877589027
2006-09-05,1.0234885109121719
2006-09-06,1.0278507835161992
2006-09-07,1.0241654069830308
2006-09-08,1.030521270107059
2006-09-11,1.0080670862347323
2006-09-12,1.0091818870484404
2006-09-13,1.0157147595396698
2006-09-14,1.0201507463845056
2006-09-15,1.0263265967735764
2006-09-18,1.0392156349923147
2006-09-19,1.0352607005942933
2006-09-20,1.0387200660231675
2006-09-21,1.0403368762441243
2006-09-22,1.041390806772628
2006-09-25,1.0400499786932982
2006-09-26,1.0562037487664249
2006-09-27,1.0576547965953662
2006-09-28,1.0535523400979667
2006-09-29,1.0556844925672912
2006-10-03,1.0608863681143355
2006-10-04,1.056778976804977
2006-10-05,1.086541558558275
2006-10-06,1.0827738176038275
2006-10-09,1.0856621664702606
2006-10-10,1.0675070945987035
2006-10-11,1.0547178671264912
2006-10-12,1.0580183568632093
2006-10-13,1.068373747205511
2006-10-16,1.0655038219023547
2006-10-17,1.054175920036121
2006-10-18,1.0507942496648695
2006-10-19,1.0534749546474511
2006-10-20,1.066832256727276
2006-10-21,1.0668619534861499
2006-10-23,1.0605542989280965
2006-10-26,1.0586271310772322
2006-10-27,1.0598545523228693
2006-10-30,1.0596369216140107
2006-10-31,1.052790572170954
2006-11-01,1.0647102828298192
2006-11-02,1.0846175261175537
2006-11-03,1.0763774606140342
2006-11-06,1.0893298179027242
2006-11-07,1.0745544058509653
2006-11-08,1.0614612620796495
2006-11-09,1.0614879887777806
2006-11-10,1.063348671738814
2006-11-13,1.0993961262749452
2006-11-14,1.099172383192038
2006-11-15,1.1053860705392526
2006-11-16,1.107208511600991
2006-11-17,1.0884244881610354
2006-11-20,1.0751441856566426
2006-11-21,1.084406056540823
2006-11-22,1.0977785414631447
