date,spike_2x,spike_3x,spike_2x_rsi,spike_3x_rsi
2024-03-18,-498.33,0.00,-498.33,0.00
2024-03-19,646.08,0.00,646.08,0.00
2024-03-20,-5730.57,-4381.99,-5730.57,-4381.99
2024-03-22,-1771.13,-2157.04,-1771.13,-2157.04
2024-04-02,1096.77,0.00,1096.77,0.00
2024-04-03,2755.51,2755.51,2755.51,2755.51
2024-04-04,3080.24,420.26,1216.14,420.26
2024-04-05,-2627.85,-2627.85,-2627.85,-2627.85
2024-04-09,-439.74,-1691.62,-439.74,-1691.62
2024-04-10,-1172.43,-102.29,-1172.43,-102.29
2024-04-12,-1881.96,-563.63,-1881.96,-563.63
2024-04-15,-5306.18,-3724.37,-4154.17,-2572.36
2024-04-18,-535.91,-169.42,-535.91,-169.42
2024-04-19,-5051.72,-6870.14,-2523.26,-6870.14
2024-04-22,-1881.34,-1477.06,0.00,0.00
2024-04-29,-4307.76,-4307.76,-2869.70,-2869.70
2024-04-30,4466.79,4466.79,4466.79,4466.79
2024-05-03,-3173.70,-1271.39,-3173.70,-1271.39
2024-05-06,-1618.63,0.00,-1618.63,0.00
2024-05-07,4979.19,2025.90,1874.03,2052.96
2024-05-08,-6772.51,-6422.37,-6772.51,-6422.37
2024-05-09,-2397.89,-825.78,-2397.89,-825.78
2024-05-13,441.01,-1396.97,2253.84,-1396.97
2024-05-14,33.13,0.00,33.13,0.00
2024-05-15,-660.96,-660.96,-660.96,-660.96
2024-05-16,-4510.61,-278.06,-3407.56,-278.06
2024-05-17,437.51,437.51,437.51,437.51
2024-05-21,1219.96,0.00,1219.96,0.00
2024-05-23,-1311.59,-1311.59,-1311.59,-1311.59
2024-05-28,1788.33,0.00,1788.33,0.00
2024-05-29,1956.10,1956.10,1956.10,1956.10
2024-05-31,2026.05,2026.05,2026.05,2026.05
2024-06-04,3234.69,-4727.21,3234.69,-4727.21
2024-06-05,7963.63,1584.72,6795.75,1584.72
2024-06-06,-4056.74,-613.12,-4056.74,-613.12
2024-06-07,-1320.70,0.00,-1320.70,0.00
2024-06-10,-1399.28,-1399.28,0.00,0.00
2024-06-18,-1720.70,-1720.70,-1720.70,-1720.70
2024-06-20,668.70,668.70,668.70,668.70
2024-06-21,-1480.58,-1480.58,3351.86,3351.86
2024-06-26,-282.31,0.00,-282.31,0.00
2024-06-28,-1055.24,-1055.24,-1055.24,-1055.24
2024-07-02,-5646.17,-3073.25,-5646.17,-3073.25
2024-07-03,-1429.79,-1429.79,-1429.79,-1429.79
2024-07-10,-1706.43,0.00,-1706.43,0.00
2024-07-12,-667.39,31.15,-667.39,31.15
2024-07-16,-1733.20,0.00,-1733.20,0.00
2024-07-19,16.33,0.00,16.33,0.00
2024-07-23,150.54,6756.16,150.54,6756.16
2024-07-24,-1767.63,-1767.63,-1767.63,-1767.63
2024-08-01,-1825.50,0.00,0.00,0.00
2024-08-02,-1293.59,0.00,0.00,0.00
2024-08-05,-7885.77,1583.83,-8609.73,1214.05
2024-08-07,-1004.13,-1004.13,-1004.13,-1004.13
