config,score,N,buffer,gate,donchian,cagr,net20,maxdd,sharpe,sortino,calmar,net_calmar,fills,donch_exits,gate_derisk,avg_turn,cost_pct
rsblend_N8_buf18_g0_d30,rsblend,8,18,0,30,30.3,25.9,-42.3,1.29,1.68,0.72,0.61,147,401,0,0.199,204.5
rsblend_N8_buf18_g100_d0,rsblend,8,18,100,0,33.2,27.7,-32.3,1.48,1.64,1.03,0.86,108,0,23,0.161,200.1
rsblend_N8_buf18_g100_d15,rsblend,8,18,100,15,32.9,28.6,-16.8,1.76,1.92,1.96,1.7,109,453,23,0.321,315.2
rsblend_N8_buf18_g100_d20,rsblend,8,18,100,20,33.2,28.8,-19.2,1.7,1.89,1.73,1.5,109,355,23,0.276,296.5
rsblend_N8_buf18_g100_d30,rsblend,8,18,100,30,34.2,29.2,-23.3,1.67,1.88,1.47,1.25,109,239,23,0.227,287.1
rsblend_N8_buf18_g200_d0,rsblend,8,18,200,0,30.7,25.9,-41.8,1.27,1.44,0.74,0.62,118,0,18,0.137,131.3
rsblend_N8_buf18_g200_d15,rsblend,8,18,200,15,30.8,26.4,-27.7,1.58,1.8,1.11,0.95,119,517,18,0.322,287.3
rsblend_N8_buf18_g200_d20,rsblend,8,18,200,20,29.5,25.3,-31.5,1.46,1.68,0.94,0.8,118,411,18,0.276,220.8
rsblend_N8_buf18_g200_d30,rsblend,8,18,200,30,30.4,25.8,-33.9,1.44,1.69,0.9,0.76,118,278,18,0.224,207.4
rsblend_N8_buf22_g0_d0,rsblend,8,22,0,0,31.2,28.2,-50.9,1.13,1.44,0.61,0.55,147,0,0,0.081,113.7
rsblend_N8_buf22_g0_d15,rsblend,8,22,0,15,34.0,29.2,-38.5,1.53,1.96,0.88,0.76,147,686,0,0.301,370.6
rsblend_N8_buf22_g0_d20,rsblend,8,22,0,20,31.5,27.1,-44.2,1.38,1.78,0.71,0.61,147,560,0,0.251,248.0
rsblend_N8_buf22_g0_d30,rsblend,8,22,0,30,30.9,26.4,-41.9,1.3,1.71,0.74,0.63,147,400,0,0.193,209.6
rsblend_N8_buf22_g100_d0,rsblend,8,22,100,0,33.6,28.4,-32.1,1.5,1.68,1.05,0.88,108,0,23,0.152,201.4
rsblend_N8_buf22_g100_d15,rsblend,8,22,100,15,33.4,29.0,-17.0,1.78,1.96,1.97,1.71,109,454,23,0.318,325.6
rsblend_N8_buf22_g100_d20,rsblend,8,22,100,20,33.0,28.6,-19.5,1.69,1.89,1.69,1.46,109,356,23,0.274,286.8
rsblend_N8_buf22_g100_d30,rsblend,8,22,100,30,35.1,30.0,-23.3,1.73,1.97,1.51,1.29,109,236,23,0.222,300.5
rsblend_N8_buf22_g200_d0,rsblend,8,22,200,0,29.6,25.1,-45.5,1.23,1.41,0.65,0.55,118,0,18,0.129,118.0
rsblend_N8_buf22_g200_d15,rsblend,8,22,200,15,31.1,26.7,-27.7,1.58,1.81,1.12,0.96,119,520,18,0.319,291.0
rsblend_N8_buf22_g200_d20,rsblend,8,22,200,20,29.6,25.4,-31.7,1.46,1.68,0.93,0.8,118,410,18,0.272,216.2
rsblend_N8_buf22_g200_d30,rsblend,8,22,200,30,32.1,27.4,-33.9,1.51,1.81,0.95,0.81,118,277,18,0.217,234.0
rsblend_N8_buf26_g0_d0,rsblend,8,26,0,0,32.8,29.6,-47.0,1.16,1.49,0.7,0.63,147,0,0,0.071,107.4
rsblend_N8_buf26_g0_d15,rsblend,8,26,0,15,33.0,28.2,-38.5,1.5,1.92,0.86,0.73,147,687,0,0.301,337.1
rsblend_N8_buf26_g0_d20,rsblend,8,26,0,20,31.0,26.6,-44.2,1.36,1.75,0.7,0.6,147,562,0,0.251,236.4
rsblend_N8_buf26_g0_d30,rsblend,8,26,0,30,29.7,25.6,-40.5,1.27,1.66,0.73,0.63,147,403,0,0.191,193.9
rsblend_N8_buf26_g100_d0,rsblend,8,26,100,0,32.6,27.6,-32.1,1.47,1.63,1.02,0.86,108,0,23,0.148,182.9
rsblend_N8_buf26_g100_d15,rsblend,8,26,100,15,32.7,28.4,-17.0,1.75,1.92,1.93,1.67,109,454,23,0.318,305.2
rsblend_N8_buf26_g100_d20,rsblend,8,26,100,20,32.7,28.4,-19.9,1.68,1.87,1.64,1.42,109,357,23,0.274,279.5
rsblend_N8_buf26_g100_d30,rsblend,8,26,100,30,33.9,29.0,-23.5,1.68,1.9,1.45,1.23,109,238,23,0.222,272.9
rsblend_N8_buf26_g200_d0,rsblend,8,26,200,0,28.3,23.6,-45.2,1.18,1.37,0.62,0.52,118,0,18,0.123,104.7
rsblend_N8_buf26_g200_d15,rsblend,8,26,200,15,30.3,25.9,-27.7,1.55,1.77,1.09,0.93,119,520,18,0.319,268.9
rsblend_N8_buf26_g200_d20,rsblend,8,26,200,20,29.5,25.3,-32.0,1.45,1.67,0.92,0.79,118,410,18,0.271,213.9
rsblend_N8_buf26_g200_d30,rsblend,8,26,200,30,30.9,26.3,-34.1,1.47,1.74,0.91,0.77,118,278,18,0.216,211.5
rsblend_N10_buf18_g0_d0,rsblend,10,18,0,0,33.0,29.4,-42.6,1.2,1.49,0.78,0.69,147,0,0,0.093,138.9
rsblend_N10_buf18_g0_d15,rsblend,10,18,0,15,32.2,27.6,-35.9,1.53,1.89,0.9,0.77,147,852,0,0.304,357.5
rsblend_N10_buf18_g0_d20,rsblend,10,18,0,20,30.1,25.9,-39.7,1.39,1.72,0.76,0.65,147,692,0,0.259,262.8
rsblend_N10_buf18_g0_d30,rsblend,10,18,0,30,30.4,26.0,-40.4,1.33,1.68,0.75,0.64,147,495,0,0.202,214.0
rsblend_N10_buf18_g100_d0,rsblend,10,18,100,0,31.6,26.7,-31.3,1.45,1.54,1.01,0.85,108,0,23,0.169,177.3
rsblend_N10_buf18_g100_d15,rsblend,10,18,100,15,31.1,27.0,-20.8,1.76,1.86,1.5,1.3,108,563,23,0.324,275.0
rsblend_N10_buf18_g100_d20,rsblend,10,18,100,20,31.6,27.5,-20.3,1.7,1.81,1.56,1.36,108,437,23,0.28,260.2
rsblend_N10_buf18_g100_d30,rsblend,10,18,100,30,32.1,27.6,-23.6,1.65,1.76,1.36,1.17,108,295,23,0.232,241.3
rsblend_N10_buf18_g200_d0,rsblend,10,18,200,0,29.4,24.9,-41.1,1.27,1.41,0.71,0.61,118,0,18,0.144,119.4
rsblend_N10_buf18_g200_d15,rsblend,10,18,200,15,29.9,25.6,-30.1,1.6,1.74,0.99,0.85,119,646,18,0.323,286.8
rsblend_N10_buf18_g200_d20,rsblend,10,18,200,20,29.0,24.9,-33.0,1.48,1.62,0.88,0.75,118,511,18,0.279,227.9
rsblend_N10_buf18_g200_d30,rsblend,10,18,200,30,30.0,25.7,-34.3,1.47,1.64,0.88,0.75,118,354,18,0.229,204.4
rsblend_N10_buf22_g0_d0,rsblend,10,22,0,0,32.4,29.3,-45.2,1.19,1.48,0.72,0.65,147,0,0,0.083,116.2
rsblend_N10_buf22_g0_d15,rsblend,10,22,0,15,32.0,27.6,-35.5,1.54,1.88,0.9,0.78,147,853,0,0.301,346.2
rsblend_N10_buf22_g0_d20,rsblend,10,22,0,20,29.7,25.6,-39.8,1.38,1.71,0.75,0.64,147,697,0,0.254,255.7
rsblend_N10_buf22_g0_d30,rsblend,10,22,0,30,28.9,24.7,-40.9,1.29,1.63,0.71,0.6,147,500,0,0.196,187.7
rsblend_N10_buf22_g100_d0,rsblend,10,22,100,0,34.3,29.2,-29.2,1.55,1.66,1.18,1.0,108,0,23,0.157,207.5
rsblend_N10_buf22_g100_d15,rsblend,10,22,100,15,30.4,26.5,-19.7,1.76,1.84,1.55,1.35,108,565,23,0.321,261.6
rsblend_N10_buf22_g100_d20,rsblend,10,22,100,20,30.9,26.9,-19.9,1.68,1.78,1.55,1.35,108,442,23,0.277,250.1
rsblend_N10_buf22_g100_d30,rsblend,10,22,100,30,32.3,27.7,-22.2,1.67,1.81,1.46,1.25,108,297,23,0.226,243.7
rsblend_N10_buf22_g200_d0,rsblend,10,22,200,0,29.9,25.7,-42.9,1.3,1.44,0.7,0.6,118,0,18,0.133,113.6
rsblend_N10_buf22_g200_d15,rsblend,10,22,200,15,29.6,25.3,-29.9,1.59,1.72,0.99,0.85,119,648,18,0.32,275.6
rsblend_N10_buf22_g200_d20,rsblend,10,22,200,20,28.5,24.4,-33.2,1.47,1.62,0.86,0.74,118,516,18,0.276,221.1
rsblend_N10_buf22_g200_d30,rsblend,10,22,200,30,29.1,24.8,-34.3,1.45,1.64,0.85,0.72,118,358,18,0.224,185.7
rsblend_N10_buf26_g0_d0,rsblend,10,26,0,0,35.3,32.1,-46.8,1.26,1.59,0.75,0.69,147,0,0,0.073,120.2
rsblend_N10_buf26_g0_d15,rsblend,10,26,0,15,32.0,27.5,-35.5,1.53,1.88,0.9,0.77,147,853,0,0.3,345.4
rsblend_N10_buf26_g0_d20,rsblend,10,26,0,20,29.4,25.1,-40.1,1.36,1.7,0.73,0.63,147,699,0,0.253,247.6
rsblend_N10_buf26_g0_d30,rsblend,10,26,0,30,28.6,24.6,-41.1,1.27,1.61,0.7,0.6,147,509,0,0.195,185.6
rsblend_N10_buf26_g100_d0,rsblend,10,26,100,0,32.3,27.3,-29.2,1.47,1.58,1.1,0.93,108,0,23,0.153,170.3
rsblend_N10_buf26_g100_d15,rsblend,10,26,100,15,30.6,26.6,-19.7,1.76,1.84,1.55,1.35,108,565,23,0.32,265.6
rsblend_N10_buf26_g100_d20,rsblend,10,26,100,20,29.9,25.9,-20.1,1.64,1.73,1.49,1.29,108,445,23,0.276,227.2
rsblend_N10_buf26_g100_d30,rsblend,10,26,100,30,31.0,26.5,-21.5,1.62,1.74,1.44,1.23,108,301,23,0.226,217.8
rsblend_N10_buf26_g200_d0,rsblend,10,26,200,0,29.6,25.3,-44.7,1.28,1.44,0.66,0.57,118,0,18,0.127,109.0
rsblend_N10_buf26_g200_d15,rsblend,10,26,200,15,29.6,25.3,-29.9,1.59,1.72,0.99,0.84,119,648,18,0.319,276.7
rsblend_N10_buf26_g200_d20,rsblend,10,26,200,20,28.3,24.2,-33.2,1.46,1.61,0.85,0.73,118,517,18,0.275,217.5
rsblend_N10_buf26_g200_d30,rsblend,10,26,200,30,28.4,24.2,-34.4,1.42,1.59,0.83,0.7,118,361,18,0.223,177.1
rsblend_N15_buf18_g0_d0,rsblend,15,18,0,0,31.9,28.1,-46.7,1.22,1.46,0.68,0.6,147,0,0,0.119,136.6
rsblend_N15_buf18_g0_d15,rsblend,15,18,0,15,29.6,25.6,-32.8,1.54,1.8,0.9,0.78,147,1283,0,0.315,280.4
rsblend_N15_buf18_g0_d20,rsblend,15,18,0,20,29.9,26.0,-34.0,1.47,1.73,0.88,0.77,147,1030,0,0.27,249.4
rsblend_N15_buf18_g0_d30,rsblend,15,18,0,30,29.6,25.7,-36.8,1.37,1.62,0.8,0.7,147,734,0,0.218,221.8
rsblend_N15_buf18_g100_d0,rsblend,15,18,100,0,30.6,26.0,-33.5,1.48,1.52,0.91,0.78,108,0,23,0.191,165.1
rsblend_N15_buf18_g100_d15,rsblend,15,18,100,15,25.6,22.4,-25.0,1.6,1.53,1.02,0.89,108,863,23,0.334,188.0
rsblend_N15_buf18_g100_d20,rsblend,15,18,100,20,27.1,23.6,-27.2,1.58,1.54,1.0,0.87,108,667,23,0.292,191.1
rsblend_N15_buf18_g100_d30,rsblend,15,18,100,30,29.2,25.2,-29.9,1.59,1.56,0.98,0.84,108,442,23,0.248,203.9
rsblend_N15_buf18_g200_d0,rsblend,15,18,200,0,30.9,26.4,-43.5,1.39,1.5,0.71,0.61,118,0,18,0.166,132.8
rsblend_N15_buf18_g200_d15,rsblend,15,18,200,15,26.7,23.0,-30.2,1.56,1.6,0.88,0.76,119,982,18,0.332,210.4
rsblend_N15_buf18_g200_d20,rsblend,15,18,200,20,27.8,24.1,-34.5,1.52,1.57,0.81,0.7,118,761,18,0.289,199.1
rsblend_N15_buf18_g200_d30,rsblend,15,18,200,30,29.3,25.2,-37.8,1.5,1.56,0.77,0.67,118,525,18,0.242,200.2
rsblend_N15_buf22_g0_d0,rsblend,15,22,0,0,31.9,28.9,-48.2,1.23,1.49,0.66,0.6,147,0,0,0.099,118.9
rsblend_N15_buf22_g0_d15,rsblend,15,22,0,15,28.7,24.9,-32.9,1.5,1.75,0.87,0.76,147,1285,0,0.308,253.7
rsblend_N15_buf22_g0_d20,rsblend,15,22,0,20,28.3,24.6,-34.6,1.4,1.65,0.82,0.71,147,1036,0,0.261,208.2
rsblend_N15_buf22_g0_d30,rsblend,15,22,0,30,27.1,23.5,-37.2,1.28,1.52,0.73,0.63,147,748,0,0.208,170.4
rsblend_N15_buf22_g100_d0,rsblend,15,22,100,0,30.6,26.1,-33.3,1.49,1.54,0.92,0.78,108,0,23,0.176,156.4
rsblend_N15_buf22_g100_d15,rsblend,15,22,100,15,24.9,21.7,-24.7,1.57,1.5,1.01,0.88,108,862,23,0.329,179.0
rsblend_N15_buf22_g100_d20,rsblend,15,22,100,20,25.7,22.4,-26.9,1.52,1.47,0.96,0.83,108,670,23,0.286,167.9
rsblend_N15_buf22_g100_d30,rsblend,15,22,100,30,27.3,23.6,-29.4,1.52,1.49,0.93,0.8,108,450,23,0.239,170.3
rsblend_N15_buf22_g200_d0,rsblend,15,22,200,0,28.6,24.7,-43.3,1.32,1.43,0.66,0.57,118,0,18,0.151,105.2
rsblend_N15_buf22_g200_d15,rsblend,15,22,200,15,26.0,22.4,-29.9,1.52,1.56,0.87,0.75,119,983,18,0.326,195.8
rsblend_N15_buf22_g200_d20,rsblend,15,22,200,20,26.4,22.8,-34.8,1.46,1.51,0.76,0.66,118,766,18,0.281,172.8
rsblend_N15_buf22_g200_d30,rsblend,15,22,200,30,27.0,23.2,-38.8,1.41,1.47,0.69,0.6,118,535,18,0.232,161.1
rsblend_N15_buf26_g0_d0,rsblend,15,26,0,0,30.9,27.9,-47.1,1.2,1.45,0.66,0.59,147,0,0,0.085,97.5
rsblend_N15_buf26_g0_d15,rsblend,15,26,0,15,29.0,25.3,-32.9,1.53,1.79,0.88,0.77,147,1282,0,0.303,262.0
rsblend_N15_buf26_g0_d20,rsblend,15,26,0,20,28.4,24.7,-34.2,1.41,1.67,0.83,0.72,147,1043,0,0.256,212.1
rsblend_N15_buf26_g0_d30,rsblend,15,26,0,30,27.1,23.6,-36.6,1.29,1.54,0.74,0.64,147,760,0,0.201,167.0
rsblend_N15_buf26_g100_d0,rsblend,15,26,100,0,28.0,23.7,-32.8,1.4,1.45,0.85,0.72,108,0,23,0.167,123.3
rsblend_N15_buf26_g100_d15,rsblend,15,26,100,15,24.6,21.6,-24.8,1.57,1.52,0.99,0.87,108,863,23,0.326,174.0
rsblend_N15_buf26_g100_d20,rsblend,15,26,100,20,25.3,22.0,-27.6,1.51,1.46,0.92,0.8,108,678,23,0.283,162.0
rsblend_N15_buf26_g100_d30,rsblend,15,26,100,30,27.3,23.6,-29.5,1.53,1.51,0.93,0.8,108,458,23,0.235,164.6
rsblend_N15_buf26_g200_d0,rsblend,15,26,200,0,26.8,23.1,-42.1,1.26,1.37,0.64,0.55,118,0,18,0.14,86.8
rsblend_N15_buf26_g200_d15,rsblend,15,26,200,15,26.4,22.7,-29.9,1.56,1.6,0.88,0.76,119,980,18,0.322,201.0
rsblend_N15_buf26_g200_d20,rsblend,15,26,200,20,26.5,22.8,-35.5,1.47,1.51,0.75,0.64,118,772,18,0.277,174.2
rsblend_N15_buf26_g200_d30,rsblend,15,26,200,30,26.7,22.9,-38.9,1.41,1.48,0.69,0.59,118,545,18,0.228,152.4
