scope,w_top200,cagr,maxdd,sharpe,calmar,corr
GROSS,1.0,34.4,-15.6,1.82,2.21,0.69
GROSS,0.9,33.1,-16.1,1.85,2.05,0.69
GROSS,0.8,31.8,-16.7,1.86,1.9,0.69
GROSS,0.7,30.4,-17.3,1.87,1.76,0.69
GROSS,0.6,29.1,-17.9,1.87,1.62,0.69
GROSS,0.5,27.7,-18.5,1.86,1.49,0.69
