scope,w_top200,cagr,maxdd,sharpe,calmar,corr
NET@10cr,1.0,23.7,-33.3,1.3,0.71,0.69
NET@10cr,0.9,22.8,-32.9,1.31,0.69,0.69
NET@10cr,0.8,21.8,-32.4,1.32,0.67,0.69
NET@10cr,0.7,20.8,-31.9,1.32,0.65,0.69
NET@10cr,0.6,19.8,-31.5,1.31,0.63,0.69
NET@10cr,0.5,18.8,-31.1,1.3,0.6,0.69
