date,NIFTYBEES,plain_ETF_top30,BASE_mom30_N10_buf22,mom30_N10_donch20,mom30_N10_donch50,mom30_N10_GATE100,mom30_N10_GATE100_donch20,mom30_N10_GATE100_donch50,SANITY_rsblend_N10_buf22
2014,31.6,83.3,108.4,77.6,87.5,98.0,84.9,90.7,122.0
2015,-4.3,-1.1,-17.3,-15.4,-16.7,-11.9,-0.7,-4.5,9.9
2016,4.0,7.4,23.0,5.2,16.7,36.9,27.3,33.8,5.5
2017,29.9,56.9,70.7,65.6,69.3,45.5,51.4,48.5,97.4
2018,4.8,-7.9,-14.0,0.6,-16.9,-7.1,0.5,-9.6,-15.0
2019,13.6,5.3,3.5,3.5,-0.1,-7.3,-5.2,-9.2,3.9
2020,15.4,31.3,53.4,65.0,60.5,57.9,52.6,54.4,52.7
2021,26.0,71.4,98.5,80.9,79.2,95.7,85.6,80.1,93.2
2022,5.5,8.9,17.3,17.0,6.5,20.3,15.0,15.4,6.4
2023,21.0,59.7,77.4,68.5,68.7,37.2,37.3,36.6,81.9
2024,10.4,40.6,19.2,21.2,20.5,22.3,21.7,22.1,50.8
2025,11.7,-5.2,-20.5,-8.0,-22.8,-1.3,0.6,-3.1,-17.4
2026,-9.5,-0.2,-14.9,-10.7,-8.8,-10.6,-10.4,-10.2,1.1
