universe,cagr,post_tax20,maxdd,sharpe,calmar,fills,donch_exits,gate_derisk
nifty200,34.5,30.0,-15.6,1.83,2.22,110,452,23
combo,34.0,28.9,-39.2,1.81,0.87,112,484,23
mid,28.3,24.0,-34.5,1.59,0.82,109,454,23
