band,N,aum,cagr,maxdd,sharpe,calmar,avg_part,maxpart
mid,8,gross,27.5,-28.3,1.5,0.97,0.0,0.0
mid,8,1cr,21.8,-34.5,1.22,0.63,0.011,0.3
mid,8,10cr,12.2,-49.3,0.73,0.25,0.111,3.0
mid,15,gross,25.0,-25.7,1.6,0.97,0.0,0.0
mid,15,1cr,20.7,-29.6,1.35,0.7,0.006,0.2
mid,15,10cr,14.2,-40.2,0.95,0.35,0.063,1.6
mid,20,gross,24.3,-24.7,1.67,0.98,0.0,0.0
mid,20,1cr,20.6,-28.1,1.43,0.73,0.005,0.1
mid,20,10cr,15.1,-35.2,1.07,0.43,0.048,1.2
mid,30,gross,20.9,-23.6,1.58,0.88,0.0,0.0
mid,30,1cr,17.7,-26.6,1.36,0.67,0.003,0.1
mid,30,10cr,13.5,-30.7,1.05,0.44,0.033,0.8
