gate,gross_cagr,gross_dd,gross_calmar,net_cagr,net_dd,net_calmar,derisk_events
NO-GATE,35.3,-39.1,0.9,30.4,-39.5,0.77,0
100-DMA (current),34.7,-15.6,2.23,30.2,-17.6,1.71,23
50-DMA,25.5,-18.6,1.37,20.9,-21.1,0.99,36
"dST(7,3)",29.2,-16.9,1.73,24.6,-18.5,1.33,30
"dST(10,3)",27.2,-16.4,1.66,22.9,-18.3,1.25,32
"dST(14,3)",27.7,-23.2,1.2,23.2,-24.8,0.94,32
