cell,x_bars,depth_min,vol_K,saucer,exit,hard_stop,liq_cr,n_events,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,sharpe_med,trades,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,trades_per_yr,final_med
x0|d0|k0|s0|ST_14_4|h0|L2,0,0.0,0.0,0,ST_14_4,0,2.0,10293,10,18.88,17.93,19.57,-41.59,-41.62,0.454,1.05,812,47.1,34.51,-11.49,10.251,18,37.5,42762104.0
x0|d0|k0|s0|SMA15|h1|L2,0,0.0,0.0,0,SMA15,1,2.0,10293,10,9.96,7.4,12.8,-39.97,-42.96,0.245,0.628,4063,36.8,12.04,-5.5,0.913,25,187.4,7875457.0
x0|d0|k0|s1|ST_14_4|h0|L2,0,0.0,0.0,1,ST_14_4,0,2.0,123,10,5.9,5.9,5.9,-18.34,-18.34,0.322,1.055,121,40.5,28.95,-11.98,4.591,7,5.6,3466917.0
x0|d0|k0|s1|SMA15|h1|L2,0,0.0,0.0,1,SMA15,1,2.0,123,10,5.28,5.28,5.28,-3.18,-3.18,1.661,2.756,123,38.2,9.98,-6.06,0.067,9,5.7,3055414.0
x0|d0|k2|s0|ST_14_4|h0|L2,0,0.0,2.0,0,ST_14_4,0,2.0,9064,10,18.36,17.63,20.15,-42.3,-42.32,0.438,1.039,791,47.3,34.1,-11.36,10.285,19,36.5,38709140.0
x0|d0|k2|s0|SMA15|h1|L2,0,0.0,2.0,0,SMA15,1,2.0,9064,10,8.48,7.53,10.09,-38.03,-43.83,0.218,0.58,3786,37.8,11.47,-5.68,0.811,24,174.6,5842279.0
x0|d0|k2|s1|ST_14_4|h0|L2,0,0.0,2.0,1,ST_14_4,0,2.0,98,10,6.17,6.17,6.17,-17.76,-17.76,0.347,1.166,97,44.3,30.25,-12.73,6.321,6,4.5,3662671.0
x0|d0|k2|s1|SMA15|h1|L2,0,0.0,2.0,1,SMA15,1,2.0,98,10,5.42,5.42,5.42,-2.98,-2.98,1.822,3.006,98,38.8,11.28,-6.27,0.54,9,4.5,3143642.0
x0|d0|k3|s0|ST_14_4|h0|L2,0,0.0,3.0,0,ST_14_4,0,2.0,7743,10,19.55,17.99,20.7,-37.29,-39.33,0.529,1.067,753,49.9,33.57,-11.67,11.146,19,34.7,48142180.0
x0|d0|k3|s0|SMA15|h1|L2,0,0.0,3.0,0,SMA15,1,2.0,7743,10,9.07,6.87,10.0,-40.2,-51.17,0.217,0.534,3506,36.8,12.97,-5.96,1.0,19,161.7,6582414.0
x0|d0|k3|s1|ST_14_4|h0|L2,0,0.0,3.0,1,ST_14_4,0,2.0,79,10,6.05,6.05,6.05,-15.86,-15.86,0.382,1.227,79,45.6,30.1,-13.51,6.367,5,3.6,3576845.0
x0|d0|k3|s1|SMA15|h1|L2,0,0.0,3.0,1,SMA15,1,2.0,79,10,5.43,5.43,5.43,-2.75,-2.75,1.974,3.323,79,41.8,10.39,-6.44,0.589,8,3.6,3145546.0
x0|d0|k5|s0|ST_14_4|h0|L2,0,0.0,5.0,0,ST_14_4,0,2.0,5572,10,19.0,17.38,20.34,-36.05,-36.06,0.527,1.063,729,48.8,35.47,-12.71,10.885,19,33.6,43525612.0
x0|d0|k5|s0|SMA15|h1|L2,0,0.0,5.0,0,SMA15,1,2.0,5572,10,8.84,7.79,9.87,-40.3,-44.16,0.213,0.528,2968,37.1,13.59,-6.35,1.041,19,136.9,6277201.0
x0|d0|k5|s1|ST_14_4|h0|L2,0,0.0,5.0,1,ST_14_4,0,2.0,50,10,6.28,6.28,6.28,-12.52,-12.52,0.501,1.43,50,46.0,40.08,-14.45,10.63,6,2.3,3747267.0
x0|d0|k5|s1|SMA15|h1|L2,0,0.0,5.0,1,SMA15,1,2.0,50,10,5.48,5.48,5.48,-2.61,-2.61,2.097,4.252,50,44.0,11.14,-6.75,1.119,7,2.3,3183406.0
x0|d10|k0|s0|ST_14_4|h0|L2,0,10.0,0.0,0,ST_14_4,0,2.0,7161,10,18.12,17.65,19.22,-37.08,-37.15,0.489,1.046,797,46.6,34.47,-11.35,9.914,18,36.8,37038078.0
x0|d10|k0|s0|SMA15|h1|L2,0,10.0,0.0,0,SMA15,1,2.0,7161,10,9.46,8.27,10.0,-36.07,-41.09,0.247,0.665,3510,37.5,11.89,-5.64,0.928,22,161.9,7100464.0
x0|d10|k0|s1|ST_14_4|h0|L2,0,10.0,0.0,1,ST_14_4,0,2.0,123,10,5.9,5.9,5.9,-18.34,-18.34,0.322,1.055,121,40.5,28.95,-11.98,4.591,7,5.6,3466917.0
x0|d10|k0|s1|SMA15|h1|L2,0,10.0,0.0,1,SMA15,1,2.0,123,10,5.28,5.28,5.28,-3.18,-3.18,1.661,2.756,123,38.2,9.98,-6.06,0.067,9,5.7,3055414.0
x0|d10|k2|s0|ST_14_4|h0|L2,0,10.0,2.0,0,ST_14_4,0,2.0,5442,10,19.8,18.89,20.76,-41.58,-41.58,0.476,1.074,770,49.2,34.81,-12.07,11.026,22,35.5,50371772.0
x0|d10|k2|s0|SMA15|h1|L2,0,10.0,2.0,0,SMA15,1,2.0,5442,10,7.0,6.15,7.76,-29.79,-33.54,0.229,0.537,3036,38.0,11.69,-6.1,0.678,21,140.0,4340960.0
x0|d10|k2|s1|ST_14_4|h0|L2,0,10.0,2.0,1,ST_14_4,0,2.0,98,10,6.17,6.17,6.17,-17.76,-17.76,0.347,1.166,97,44.3,30.25,-12.73,6.321,6,4.5,3662671.0
x0|d10|k2|s1|SMA15|h1|L2,0,10.0,2.0,1,SMA15,1,2.0,98,10,5.42,5.42,5.42,-2.98,-2.98,1.822,3.006,98,38.8,11.28,-6.27,0.54,9,4.5,3143642.0
x0|d10|k3|s0|ST_14_4|h0|L2,0,10.0,3.0,0,ST_14_4,0,2.0,4317,10,18.91,18.5,19.75,-39.0,-39.0,0.485,1.074,729,48.8,35.21,-11.99,11.01,17,33.7,42832932.0
x0|d10|k3|s0|SMA15|h1|L2,0,10.0,3.0,0,SMA15,1,2.0,4317,10,8.14,7.51,8.55,-28.13,-31.33,0.29,0.655,2614,38.0,12.6,-6.31,0.896,17,120.5,5460497.0
x0|d10|k3|s1|ST_14_4|h0|L2,0,10.0,3.0,1,ST_14_4,0,2.0,79,10,6.05,6.05,6.05,-15.86,-15.86,0.382,1.227,79,45.6,30.1,-13.51,6.367,5,3.6,3576845.0
x0|d10|k3|s1|SMA15|h1|L2,0,10.0,3.0,1,SMA15,1,2.0,79,10,5.43,5.43,5.43,-2.75,-2.75,1.974,3.323,79,41.8,10.39,-6.44,0.589,8,3.6,3145546.0
x0|d10|k5|s0|ST_14_4|h0|L2,0,10.0,5.0,0,ST_14_4,0,2.0,2967,10,18.76,18.15,19.11,-37.24,-37.24,0.504,1.077,648,47.5,39.28,-12.98,11.976,13,29.9,41626356.0
x0|d10|k5|s0|SMA15|h1|L2,0,10.0,5.0,0,SMA15,1,2.0,2967,10,7.72,7.28,8.14,-25.23,-28.99,0.307,0.671,2014,37.4,13.51,-6.56,0.942,22,92.8,5016862.0
x0|d10|k5|s1|ST_14_4|h0|L2,0,10.0,5.0,1,ST_14_4,0,2.0,50,10,6.28,6.28,6.28,-12.52,-12.52,0.501,1.43,50,46.0,40.08,-14.45,10.63,6,2.3,3747267.0
x0|d10|k5|s1|SMA15|h1|L2,0,10.0,5.0,1,SMA15,1,2.0,50,10,5.48,5.48,5.48,-2.61,-2.61,2.097,4.252,50,44.0,11.14,-6.75,1.119,7,2.3,3183406.0
x0|d20|k0|s0|ST_14_4|h0|L2,0,20.0,0.0,0,ST_14_4,0,2.0,4055,10,20.8,20.05,21.69,-35.04,-37.48,0.587,1.147,728,46.2,39.96,-12.1,12.075,14,33.6,60247330.0
