w3,sleeve,cagr,dd,calmar,calmar_worst,paired_dCalmar,wins
0.0,TN+OA 50-50 BASELINE,29.63,-16.1,1.79,1.61,0.0,0/30
0.1,MYB,30.09,-14.45,2.03,1.84,0.24,30/30
0.1,GOLD,28.36,-13.37,2.08,1.86,0.282,30/30
0.1,cash-null,27.1,-14.07,1.87,1.7,0.095,30/30
0.15,MYB,30.31,-13.59,2.17,1.96,0.376,30/30
0.15,GOLD,27.7,-11.92,2.26,2.01,0.474,30/30
0.15,cash-null,25.84,-13.0,1.93,1.75,0.157,30/30
0.2,MYB,30.52,-12.73,2.31,2.08,0.525,30/30
0.2,GOLD,27.03,-10.54,2.49,2.18,0.712,30/30
0.2,cash-null,24.58,-11.94,2.0,1.82,0.233,30/30
