cell,n_years,level,athvar,age_m,window,signals_raw,signals,blackout_cost_pct,signals_yr,uniq_syms,oa_overlap_pct,oa_share_of_oa_pct
N2_close_incl_age0,2,close,incl,0,W2,20067,19963,0.52,1197.9,1112,75.6,91.6
N2_close_incl_age0,2,close,incl,0,W1,12613,12525,0.7,2088.0,1012,74.1,91.0
N2_close_incl_age6,2,close,incl,6,W2,883,877,0.68,52.6,556,55.3,2.9
N2_close_incl_age6,2,close,incl,6,W1,503,500,0.6,83.4,396,50.0,2.5
N2_close_incl_age12,2,close,incl,12,W2,533,530,0.56,31.8,401,43.6,1.4
N2_close_incl_age12,2,close,incl,12,W1,286,284,0.7,47.3,251,35.9,1.0
N2_close_excl_age0,2,close,excl,0,W2,4910,4875,0.71,292.5,636,0.0,0.0
N2_close_excl_age0,2,close,excl,0,W1,3282,3248,1.04,541.5,535,0.0,0.0
N2_close_excl_age6,2,close,excl,6,W2,394,392,0.51,23.5,285,0.0,0.0
N2_close_excl_age6,2,close,excl,6,W1,251,250,0.4,41.7,212,0.0,0.0
N2_close_excl_age12,2,close,excl,12,W2,301,299,0.66,17.9,240,0.0,0.0
N2_close_excl_age12,2,close,excl,12,W1,183,182,0.55,30.3,164,0.0,0.0
N2_close_athonly_age0,2,close,athonly,0,W2,14960,14893,0.45,893.7,968,100.0,90.4
N2_close_athonly_age0,2,close,athonly,0,W1,9196,9144,0.57,1524.3,820,100.0,89.7
N2_close_athonly_age6,2,close,athonly,6,W2,477,473,0.84,28.4,359,100.0,2.9
N2_close_athonly_age6,2,close,athonly,6,W1,245,243,0.82,40.5,213,100.0,2.4
N2_close_athonly_age12,2,close,athonly,12,W2,223,222,0.45,13.3,200,100.0,1.3
N2_close_athonly_age12,2,close,athonly,12,W1,98,97,1.02,16.2,93,100.0,1.0
N2_high_incl_age0,2,high,incl,0,W2,18003,17905,0.54,1074.4,1075,31.1,33.9
N2_high_incl_age0,2,high,incl,0,W1,11356,11272,0.74,1879.1,971,30.4,33.7
N2_high_incl_age6,2,high,incl,6,W2,412,409,0.73,24.5,331,44.3,1.1
N2_high_incl_age6,2,high,incl,6,W1,241,240,0.41,40.0,212,37.5,0.9
N2_high_incl_age12,2,high,incl,12,W2,246,245,0.41,14.7,223,35.5,0.5
N2_high_incl_age12,2,high,incl,12,W1,140,140,0.0,23.3,132,28.6,0.4
N2_high_excl_age0,2,high,excl,0,W2,4038,3993,1.11,239.6,581,0.0,0.0
N2_high_excl_age0,2,high,excl,0,W1,2765,2722,1.56,453.8,493,0.0,0.0
N2_high_excl_age6,2,high,excl,6,W2,182,181,0.55,10.9,156,0.0,0.0
N2_high_excl_age6,2,high,excl,6,W1,120,120,0.0,20.0,105,0.0,0.0
N2_high_excl_age12,2,high,excl,12,W2,135,134,0.74,8.0,124,0.0,0.0
N2_high_excl_age12,2,high,excl,12,W1,86,86,0.0,14.3,80,0.0,0.0
N2_high_athonly_age0,2,high,athonly,0,W2,13784,13731,0.38,823.9,947,39.3,32.8
N2_high_athonly_age0,2,high,athonly,0,W1,8468,8427,0.48,1404.8,792,39.3,32.4
N2_high_athonly_age6,2,high,athonly,6,W2,226,224,0.88,13.4,193,79.0,1.1
N2_high_athonly_age6,2,high,athonly,6,W1,119,118,0.84,19.7,111,74.6,0.9
N2_high_athonly_age12,2,high,athonly,12,W2,108,108,0.0,6.5,106,77.8,0.5
N2_high_athonly_age12,2,high,athonly,12,W1,52,52,0.0,8.7,52,73.1,0.4
N3_close_incl_age0,3,close,incl,0,W2,17840,17716,0.7,1063.0,1027,80.2,86.3
N3_close_incl_age0,3,close,incl,0,W1,11167,11079,0.79,1846.9,936,78.1,84.9
N3_close_incl_age6,3,close,incl,6,W2,927,921,0.65,55.3,559,60.0,3.4
N3_close_incl_age6,3,close,incl,6,W1,546,543,0.55,90.5,422,53.4,2.8
N3_close_incl_age12,3,close,incl,12,W2,612,609,0.49,36.5,438,51.4,1.9
N3_close_incl_age12,3,close,incl,12,W1,346,344,0.58,57.3,303,42.7,1.4
N3_close_excl_age0,3,close,excl,0,W2,3548,3511,1.04,210.7,505,0.0,0.0
N3_close_excl_age0,3,close,excl,0,W1,2451,2425,1.06,404.3,428,0.0,0.0
N3_close_excl_age6,3,close,excl,6,W2,369,368,0.27,22.1,267,0.0,0.0
N3_close_excl_age6,3,close,excl,6,W1,254,253,0.39,42.2,214,0.0,0.0
N3_close_excl_age12,3,close,excl,12,W2,297,296,0.34,17.8,230,0.0,0.0
N3_close_excl_age12,3,close,excl,12,W1,198,197,0.51,32.8,178,0.0,0.0
N3_close_athonly_age0,3,close,athonly,0,W2,14145,14060,0.6,843.7,900,100.0,85.4
N3_close_athonly_age0,3,close,athonly,0,W1,8608,8548,0.7,1425.0,767,100.0,83.8
N3_close_athonly_age6,3,close,athonly,6,W2,549,544,0.91,32.6,392,100.0,3.3
N3_close_athonly_age6,3,close,athonly,6,W1,286,284,0.7,47.3,242,100.0,2.8
N3_close_athonly_age12,3,close,athonly,12,W2,308,306,0.65,18.4,255,100.0,1.9
N3_close_athonly_age12,3,close,athonly,12,W1,143,142,0.7,23.7,133,100.0,1.4
N3_high_incl_age0,3,high,incl,0,W2,15870,15749,0.76,945.0,986,33.1,31.6
N3_high_incl_age0,3,high,incl,0,W1,9989,9903,0.86,1650.9,892,32.3,31.3
N3_high_incl_age6,3,high,incl,6,W2,448,445,0.67,26.7,342,45.8,1.2
N3_high_incl_age6,3,high,incl,6,W1,276,275,0.36,45.8,235,40.4,1.1
N3_high_incl_age12,3,high,incl,12,W2,302,301,0.33,18.1,256,38.5,0.7
N3_high_incl_age12,3,high,incl,12,W1,187,187,0.0,31.2,170,33.7,0.6
N3_high_excl_age0,3,high,excl,0,W2,2851,2807,1.54,168.4,450,0.0,0.0
N3_high_excl_age0,3,high,excl,0,W1,2014,1982,1.59,330.4,383,0.0,0.0
N3_high_excl_age6,3,high,excl,6,W2,184,184,0.0,11.0,152,0.0,0.0
N3_high_excl_age6,3,high,excl,6,W1,131,131,0.0,21.8,112,0.0,0.0
N3_high_excl_age12,3,high,excl,12,W2,150,150,0.0,9.0,130,0.0,0.0
N3_high_excl_age12,3,high,excl,12,W1,106,106,0.0,17.7,95,0.0,0.0
N3_high_athonly_age0,3,high,athonly,0,W2,12883,12806,0.6,768.4,876,39.6,30.8
N3_high_athonly_age0,3,high,athonly,0,W1,7877,7823,0.69,1304.1,740,39.6,30.4
N3_high_athonly_age6,3,high,athonly,6,W2,261,258,1.15,15.5,217,77.9,1.2
N3_high_athonly_age6,3,high,athonly,6,W1,144,143,0.69,23.8,130,76.9,1.1
N3_high_athonly_age12,3,high,athonly,12,W2,150,149,0.67,8.9,139,76.5,0.7
N3_high_athonly_age12,3,high,athonly,12,W1,80,80,0.0,13.3,77,77.5,0.6
N5_close_incl_age0,5,close,incl,0,W2,15100,14929,1.13,895.8,891,86.7,78.6
