year,ret_med,dd_med
2010,11.3,-2.1
2011,-3.6,-5.6
2012,3.5,-3.0
2013,11.9,-2.8
2014,-0.1,-11.4
2015,7.8,-9.0
2016,13.6,-13.5
2017,88.3,-14.3
2018,2.1,-16.2
2019,1.2,-2.1
2020,50.5,-7.8
2021,93.7,-18.7
2022,28.6,-18.4
2023,95.4,-10.2
2024,21.7,-25.3
2025,15.4,-8.6
2026,8.5,-11.3
