cell,n_years,level,athvar,age_m,window,start,end,signals,seeds,cagr_med,cagr_min,cagr_max,dd_med,dd_worst,calmar_med,x_med,trades_med,trades_yr,win_med,mean_tr,avg_win,avg_loss,streak,avg_hold,bench_cagr,elapsed_s
N10_close_incl_age12,10,close,incl,12,W1,2020-01-01,2025-12-31,295,10,22.38,22.23,22.49,-21.52,-21.86,1.04,3.36,241,40.2,51.5,10.039,26.72,-7.64,8,61.1,14.74,0.8
N10_close_excl_age0,10,close,excl,0,W2,2015-01-01,2026-09-04,671,10,20.46,19.58,20.86,-31.8,-31.8,0.64,8.78,346,29.6,40.8,13.791,45.22,-7.71,17,54.7,10.65,1.2
N10_close_excl_age0,10,close,excl,0,W1,2020-01-01,2025-12-31,598,10,37.39,35.47,38.31,-31.81,-31.81,1.18,6.72,276,46.0,42.5,16.852,50.84,-7.97,17,57.3,14.74,0.9
N10_close_excl_age6,10,close,excl,6,W2,2015-01-01,2026-09-04,85,10,9.72,9.72,9.72,-18.62,-18.62,0.52,2.95,85,7.3,47.1,14.607,39.87,-7.85,8,64.4,10.65,0.5
N10_close_excl_age6,10,close,excl,6,W1,2020-01-01,2025-12-31,70,10,13.41,13.41,13.41,-18.59,-18.59,0.72,2.13,70,11.7,48.6,16.208,41.74,-7.9,8,67.6,14.74,0.3
N10_close_excl_age12,10,close,excl,12,W2,2015-01-01,2026-09-04,70,10,9.11,9.11,9.11,-17.3,-17.3,0.53,2.77,70,6.0,48.6,15.617,40.75,-8.12,6,66.6,10.65,0.6
N10_close_excl_age12,10,close,excl,12,W1,2020-01-01,2025-12-31,58,10,12.33,12.33,12.33,-17.26,-17.26,0.71,2.01,58,9.7,50.0,17.163,42.66,-8.34,6,69.3,14.74,0.5
N10_close_athonly_age0,10,close,athonly,0,W2,2015-01-01,2026-09-04,9242,10,23.28,19.51,25.96,-34.85,-41.87,0.65,11.51,944,80.9,43.2,6.331,23.32,-6.44,27,57.3,10.65,3.9
N10_close_athonly_age0,10,close,athonly,0,W1,2020-01-01,2025-12-31,6293,10,29.36,25.15,34.79,-30.14,-31.94,0.98,4.69,543,90.6,43.4,6.784,23.95,-6.72,27,53.0,14.74,2.1
N10_close_athonly_age6,10,close,athonly,6,W2,2015-01-01,2026-09-04,534,10,18.45,17.76,18.71,-28.69,-28.69,0.64,7.22,443,37.9,50.8,8.305,23.08,-7.06,8,62.0,10.65,1.5
N10_close_athonly_age6,10,close,athonly,6,W1,2020-01-01,2025-12-31,337,10,20.28,19.61,20.56,-21.09,-21.18,0.96,3.03,280,46.7,55.1,7.514,19.55,-7.28,6,60.9,14.74,1.0
N10_close_athonly_age12,10,close,athonly,12,W2,2015-01-01,2026-09-04,375,10,14.74,14.69,14.79,-23.97,-23.97,0.61,4.98,340,29.1,50.7,8.147,23.44,-7.61,17,59.8,10.65,1.2
N10_close_athonly_age12,10,close,athonly,12,W1,2020-01-01,2025-12-31,234,10,16.85,16.85,16.85,-18.72,-18.72,0.9,2.54,214,35.7,53.3,7.931,21.54,-7.58,6,60.4,14.74,0.7
N10_high_incl_age0,10,high,incl,0,W2,2015-01-01,2026-09-04,8725,10,29.26,26.24,30.75,-37.13,-39.57,0.78,20.01,876,75.1,45.2,8.053,25.72,-7.07,23,59.7,10.65,3.5
N10_high_incl_age0,10,high,incl,0,W1,2020-01-01,2025-12-31,6059,10,39.72,35.2,43.61,-32.42,-34.61,1.26,7.44,491,81.9,48.7,9.831,27.55,-7.22,23,57.2,14.74,1.9
N10_high_incl_age6,10,high,incl,6,W2,2015-01-01,2026-09-04,284,10,14.12,13.77,14.28,-19.93,-20.18,0.71,4.67,270,23.1,47.0,9.287,28.39,-7.69,9,60.1,10.65,1.0
N10_high_incl_age6,10,high,incl,6,W1,2020-01-01,2025-12-31,193,10,15.27,14.92,15.97,-18.68,-20.16,0.81,2.35,186,31.0,47.3,8.109,26.34,-8.26,9,57.4,14.74,0.5
N10_high_incl_age12,10,high,incl,12,W2,2015-01-01,2026-09-04,205,10,12.98,12.87,12.98,-18.66,-18.66,0.7,4.16,202,17.3,47.5,10.801,31.94,-8.34,9,60.5,10.65,0.8
N10_high_incl_age12,10,high,incl,12,W1,2020-01-01,2025-12-31,142,10,14.53,14.53,14.53,-18.64,-18.64,0.78,2.26,140,23.3,47.9,9.95,30.28,-8.71,9,59.6,14.74,0.5
N10_high_excl_age0,10,high,excl,0,W2,2015-01-01,2026-09-04,533,10,22.72,22.56,22.89,-28.63,-28.63,0.79,10.91,279,23.9,47.8,17.597,45.34,-7.98,19,60.9,10.65,0.9
N10_high_excl_age0,10,high,excl,0,W1,2020-01-01,2025-12-31,479,10,39.0,38.65,39.38,-28.63,-28.63,1.36,7.21,225,37.6,46.8,20.133,51.89,-8.06,19,63.0,14.74,0.8
N10_high_excl_age6,10,high,excl,6,W2,2015-01-01,2026-09-04,47,10,6.08,6.08,6.08,-9.1,-9.1,0.67,1.99,47,4.0,34.0,6.588,36.1,-8.65,9,53.3,10.65,0.3
N10_high_excl_age6,10,high,excl,6,W1,2020-01-01,2025-12-31,41,10,6.35,6.35,6.35,-9.12,-9.12,0.7,1.45,41,6.8,31.7,5.456,35.71,-8.59,9,52.1,14.74,0.3
N10_high_excl_age12,10,high,excl,12,W2,2015-01-01,2026-09-04,43,10,5.61,5.61,5.61,-7.09,-7.09,0.79,1.89,43,3.7,32.6,4.677,32.23,-8.62,10,50.0,10.65,0.3
N10_high_excl_age12,10,high,excl,12,W1,2020-01-01,2025-12-31,37,10,5.43,5.43,5.43,-6.96,-6.96,0.78,1.37,37,6.2,29.7,3.112,30.7,-8.56,10,48.3,14.74,0.2
N10_high_athonly_age0,10,high,athonly,0,W2,2015-01-01,2026-09-04,8166,10,27.04,24.16,28.66,-38.39,-42.25,0.69,16.35,876,75.0,45.5,7.543,24.72,-6.96,26,59.7,10.65,2.8
N10_high_athonly_age0,10,high,athonly,0,W1,2020-01-01,2025-12-31,5562,10,34.62,29.91,39.6,-33.75,-36.72,1.04,5.95,487,81.3,50.0,8.631,24.48,-7.22,23,57.5,14.74,1.6
N10_high_athonly_age6,10,high,athonly,6,W2,2015-01-01,2026-09-04,234,10,12.83,12.83,12.83,-14.59,-14.59,0.88,4.09,229,19.6,48.9,9.318,26.82,-7.44,8,60.3,10.65,0.8
N10_high_athonly_age6,10,high,athonly,6,W1,2020-01-01,2025-12-31,151,10,13.89,13.89,13.89,-14.62,-14.62,0.95,2.18,149,24.8,51.7,8.543,24.11,-8.1,8,58.8,14.74,0.5
N10_high_athonly_age12,10,high,athonly,12,W2,2015-01-01,2026-09-04,160,10,11.52,11.52,11.52,-14.23,-14.23,0.81,3.57,160,13.7,50.6,11.122,29.91,-8.14,8,61.6,10.65,0.7
N10_high_athonly_age12,10,high,athonly,12,W1,2020-01-01,2025-12-31,104,10,13.23,13.23,13.23,-14.22,-14.22,0.93,2.11,104,17.3,52.9,11.092,28.65,-8.62,7,61.5,14.74,0.4
