cell,n_years,level,athvar,age_m,window,start,end,signals,seeds,cagr_med,cagr_min,cagr_max,dd_med,dd_worst,calmar_med,x_med,trades_med,trades_yr,win_med,mean_tr,avg_win,avg_loss,streak,avg_hold,bench_cagr,elapsed_s
N2_high_excl_age0,2,high,excl,0,W2,2010-01-01,2026-09-04,3993,10,19.57,18.17,20.45,-43.15,-43.23,0.45,19.67,955,57.3,41.5,7.163,27.94,-7.77,20,58.9,10.42,3.7
N2_high_excl_age0,2,high,excl,0,W1,2020-01-01,2025-12-31,2722,10,29.32,26.01,33.4,-33.74,-36.4,0.87,4.68,469,78.3,41.7,7.725,29.97,-8.05,21,52.4,14.74,1.6
N2_high_excl_age6,2,high,excl,6,W2,2010-01-01,2026-09-04,181,10,8.27,8.23,8.27,-14.75,-14.75,0.56,3.76,178,10.7,45.5,7.624,26.49,-8.13,6,59.7,10.42,0.9
N2_high_excl_age6,2,high,excl,6,W1,2020-01-01,2025-12-31,120,10,11.02,10.9,11.04,-14.75,-14.75,0.75,1.87,117,19.5,46.2,7.444,25.62,-8.12,5,56.0,14.74,0.4
N2_high_excl_age12,2,high,excl,12,W2,2010-01-01,2026-09-04,134,10,7.4,7.4,7.4,-12.9,-12.9,0.57,3.29,134,8.0,47.0,7.377,24.86,-8.14,6,58.9,10.42,0.7
N2_high_excl_age12,2,high,excl,12,W1,2020-01-01,2025-12-31,86,10,10.63,10.63,10.63,-12.9,-12.9,0.82,1.83,86,14.3,48.8,9.053,27.41,-8.47,6,57.7,14.74,0.4
N2_high_athonly_age0,2,high,athonly,0,W2,2010-01-01,2026-09-04,13731,10,22.31,21.04,24.53,-35.74,-39.44,0.62,28.69,1181,70.9,42.7,6.692,25.12,-7.02,34,63.0,10.42,5.0
N2_high_athonly_age0,2,high,athonly,0,W1,2020-01-01,2025-12-31,8427,10,40.05,35.56,47.75,-33.06,-35.29,1.26,7.54,502,83.8,45.7,9.022,29.22,-7.5,39,57.1,14.74,2.1
N2_high_athonly_age6,2,high,athonly,6,W2,2010-01-01,2026-09-04,224,10,9.98,9.95,10.03,-7.52,-7.52,1.33,4.88,206,12.4,47.6,9.094,26.46,-6.6,8,61.5,10.42,0.9
N2_high_athonly_age6,2,high,athonly,6,W1,2020-01-01,2025-12-31,118,10,13.75,13.75,13.75,-7.51,-7.51,1.83,2.17,114,19.0,47.4,9.904,28.7,-7.01,5,58.2,14.74,0.5
N2_high_athonly_age12,2,high,athonly,12,W2,2010-01-01,2026-09-04,108,10,8.53,8.47,8.53,-7.68,-7.68,1.11,3.91,107,6.4,54.2,11.378,27.48,-7.68,9,60.2,10.42,0.7
N2_high_athonly_age12,2,high,athonly,12,W1,2020-01-01,2025-12-31,52,10,11.31,11.31,11.31,-6.56,-6.56,1.72,1.9,52,8.7,55.8,14.539,32.69,-8.34,6,63.3,14.74,0.3
N3_close_incl_age0,3,close,incl,0,W2,2010-01-01,2026-09-04,17716,10,24.49,18.43,25.85,-33.0,-36.29,0.76,38.5,1273,76.4,43.5,6.666,23.84,-6.66,25,60.9,10.42,5.8
N3_close_incl_age0,3,close,incl,0,W1,2020-01-01,2025-12-31,11079,10,34.82,31.15,43.25,-30.2,-32.84,1.17,6.01,550,91.7,45.5,7.601,24.89,-7.17,32,53.5,14.74,2.3
N3_close_incl_age6,3,close,incl,6,W2,2010-01-01,2026-09-04,921,10,22.34,22.14,22.81,-32.27,-32.27,0.69,28.8,595,35.7,48.1,10.951,30.6,-7.16,9,67.9,10.42,2.3
N3_close_incl_age6,3,close,incl,6,W1,2020-01-01,2025-12-31,543,10,34.73,31.04,36.55,-27.01,-27.41,1.28,5.98,314,52.3,51.8,11.549,29.15,-7.28,6,62.6,14.74,1.0
N3_close_incl_age12,3,close,incl,12,W2,2010-01-01,2026-09-04,609,10,17.87,17.35,18.82,-30.22,-30.22,0.59,15.48,465,27.9,50.1,10.47,28.61,-7.54,10,67.2,10.42,1.8
N3_close_incl_age12,3,close,incl,12,W1,2020-01-01,2025-12-31,344,10,31.33,30.92,33.28,-23.88,-24.95,1.34,5.13,254,42.3,55.0,12.433,29.23,-7.7,8,63.3,14.74,0.8
N3_close_excl_age0,3,close,excl,0,W2,2010-01-01,2026-09-04,3511,10,22.86,21.38,24.37,-38.08,-42.02,0.6,30.89,944,56.7,41.4,8.341,30.49,-7.34,20,57.0,10.42,3.2
