metric,value,seed,myb_holddays,oa_holddays,both,pct_of_myb
signal_date_overlap_pct_of_myb,0.0,,,,,
,,1.0,16287.0,36155.0,612.0,3.8
,,2.0,16420.0,36476.0,669.0,4.1
,,3.0,16141.0,36401.0,710.0,4.4
,,4.0,16329.0,36292.0,693.0,4.2
,,5.0,16517.0,36241.0,719.0,4.4
