family,arm,axis,value,window,signals,seeds,cagr_med,cagr_min,cagr_max,dd_med,dd_worst,calmar_med,x_med,trades_med,trades_yr,win_med,mean_tr,avg_win,avg_loss,streak,avg_hold,bench_cagr,elapsed_s
N5_close_excl_age0,risk1.5pct,sizing,risk1.5%,W2,1993,10,23.86,22.42,25.18,-40.28,-40.88,0.59,35.39,280,16.8,41.5,11.007,37.42,-7.93,16,57.8,10.42,1.3
N5_close_excl_age0,risk1.5pct,sizing,risk1.5%,W1,1360,10,41.4,39.77,44.75,-32.04,-33.83,1.33,7.99,143,23.9,43.6,13.364,41.52,-8.09,10,53.1,14.74,0.6
N5_close_excl_age0,risk2pct,sizing,risk2%,W2,1993,10,18.97,18.18,20.27,-47.52,-47.52,0.4,18.09,210,12.6,37.7,9.087,37.24,-7.85,12,54.2,10.42,1.0
N5_close_excl_age0,risk2pct,sizing,risk2%,W1,1360,10,32.32,29.54,35.5,-34.63,-37.23,0.94,5.37,106,17.8,39.9,10.745,38.62,-7.94,12,49.5,14.74,0.5
N5_close_excl_age0,gateON,gate,on,W2,1993,10,21.05,19.92,22.47,-35.29,-36.65,0.6,24.14,551,33.1,42.0,12.805,40.68,-7.72,16,59.5,10.42,2.1
N5_close_excl_age0,gateON,gate,on,W1,1360,10,36.04,34.01,37.79,-35.54,-36.25,1.01,6.34,351,58.5,40.6,13.519,44.54,-7.75,16,52.5,14.74,1.3
N5_close_excl_age0,fillclose,fill,close,W2,1993,10,16.66,15.53,17.04,-36.09,-39.06,0.46,13.04,697,41.8,37.2,8.726,36.77,-8.22,24,53.1,10.42,2.4
N5_close_excl_age0,fillclose,fill,close,W1,1360,10,29.1,27.2,30.83,-36.62,-38.97,0.78,4.63,388,64.8,37.0,11.012,43.82,-8.44,17,49.0,14.74,1.2
N5_close_excl_age0,maxdist12,basequality,maxdist0.12,W2,1981,10,22.42,21.01,23.57,-31.52,-34.55,0.71,29.1,663,39.8,42.9,11.463,37.06,-7.72,17,56.9,10.42,2.1
N5_close_excl_age0,maxdist12,basequality,maxdist0.12,W1,1352,10,39.21,36.47,41.17,-31.48,-31.51,1.25,7.28,366,61.1,41.2,13.711,44.01,-7.78,17,52.5,14.74,1.1
N5_close_excl_age0,maxdist30,basequality,maxdist0.3,W2,1993,10,22.79,21.94,23.22,-32.57,-34.93,0.7,30.65,667,40.1,43.2,11.52,36.52,-7.73,17,57.0,10.42,2.1
N5_close_excl_age0,maxdist30,basequality,maxdist0.3,W1,1360,10,38.81,36.54,41.13,-31.48,-31.51,1.23,7.15,370,61.8,41.8,13.351,42.81,-7.84,17,52.3,14.74,1.1
N5_close_excl_age0,tight35,basequality,tight0.35,W2,265,10,9.91,9.85,10.06,-23.97,-24.77,0.41,4.83,208,12.5,51.2,10.46,26.41,-6.37,15,61.1,10.42,0.9
N5_close_excl_age0,tight35,basequality,tight0.35,W1,168,10,17.67,17.37,18.05,-23.65,-24.78,0.75,2.65,116,19.3,54.3,15.632,34.43,-6.71,15,63.0,14.74,0.5
N5_close_excl_age0,tight25,basequality,tight0.25,W2,72,10,7.06,7.06,7.06,-10.63,-10.63,0.66,3.12,72,4.3,59.7,11.091,22.9,-6.42,5,58.3,10.42,0.5
N5_close_excl_age0,tight25,basequality,tight0.25,W1,39,10,10.5,10.5,10.5,-10.63,-10.63,0.99,1.82,39,6.5,61.5,17.86,32.71,-5.89,4,65.2,14.74,0.2
N5_close_excl_age0,cost40,cost,40bps,W2,1993,10,21.21,20.21,22.19,-32.38,-35.28,0.65,24.68,666,40.0,43.1,11.162,36.3,-7.74,17,57.1,10.42,2.1
N5_close_excl_age0,cost40,cost,40bps,W1,1360,10,36.81,34.96,39.39,-31.87,-31.9,1.16,6.55,370,61.8,41.6,13.154,43.09,-7.83,17,52.4,14.74,1.1
N5_close_excl_age0,cost60,cost,60bps,W2,1993,10,19.96,18.69,20.94,-32.88,-35.14,0.6,20.77,665,39.9,43.3,11.106,35.83,-7.74,17,57.0,10.42,2.3
N5_close_excl_age0,cost60,cost,60bps,W1,1360,10,34.0,32.27,36.04,-32.41,-34.75,1.04,5.79,370,61.8,41.3,12.909,42.69,-7.87,17,51.9,14.74,1.2
N3_close_excl_age0,base,base,base,W2,3511,10,22.86,21.38,24.37,-38.08,-42.02,0.6,30.89,944,56.7,41.4,8.341,30.49,-7.34,20,57.0,10.42,3.0
N3_close_excl_age0,base,base,base,W1,2425,10,31.64,28.14,35.32,-32.23,-33.29,1.01,5.21,487,81.2,41.2,8.041,29.9,-7.5,19,48.9,14.74,1.4
N3_close_excl_age0,stop7,stop,0.07,W2,3511,10,22.2,20.57,23.43,-37.16,-40.28,0.59,28.24,971,58.3,40.5,7.838,29.83,-7.01,20,54.8,10.42,2.8
N3_close_excl_age0,stop7,stop,0.07,W1,2425,10,32.5,28.07,34.67,-30.82,-32.29,1.05,5.41,498,83.0,40.3,7.946,30.16,-7.03,21,47.2,14.74,1.5
N3_close_excl_age0,stop10,stop,0.1,W2,3511,10,22.14,20.64,25.12,-37.24,-38.41,0.59,28.04,919,55.1,43.4,8.241,29.23,-7.86,17,59.8,10.42,3.0
N3_close_excl_age0,stop10,stop,0.1,W1,2425,10,36.16,31.12,39.12,-30.68,-35.14,1.14,6.37,457,76.3,44.6,9.401,31.15,-8.12,16,52.8,14.74,1.3
N3_close_excl_age0,trail15,exit,trail15,W2,3511,10,23.44,22.22,24.1,-25.04,-28.15,0.93,33.42,1931,115.9,45.1,3.777,13.73,-4.48,16,17.5,10.42,2.6
N3_close_excl_age0,trail15,exit,trail15,W1,2425,10,47.71,43.97,51.78,-24.42,-26.24,1.92,10.38,1065,177.6,46.5,4.736,15.57,-4.6,16,17.7,14.74,1.6
N3_close_excl_age0,trail30,exit,trail30,W2,3511,10,22.99,22.06,24.37,-33.13,-33.14,0.69,31.44,1323,79.4,43.2,5.792,22.0,-6.45,22,33.9,10.42,2.9
N3_close_excl_age0,trail30,exit,trail30,W1,2425,10,39.64,36.54,42.5,-32.93,-33.1,1.2,7.41,688,114.7,45.3,6.697,22.85,-6.67,17,32.3,14.74,1.4
N3_close_excl_age0,trail150,exit,trail150,W2,3511,10,10.47,9.74,13.98,-48.01,-48.01,0.22,5.26,505,30.3,30.3,8.576,49.47,-9.13,46,127.4,10.42,3.4
N3_close_excl_age0,trail150,exit,trail150,W1,2425,10,14.53,12.69,16.72,-36.49,-38.79,0.4,2.26,245,40.9,31.7,8.779,47.53,-9.33,19,102.5,14.74,1.5
N3_close_excl_age0,tp25_notrail,exit,tp25,W2,3511,10,16.64,14.18,19.03,-32.05,-33.12,0.52,13.05,1067,64.0,41.2,5.421,27.65,-10.16,39,60.3,10.42,2.7
N3_close_excl_age0,tp25_notrail,exit,tp25,W1,2425,10,30.73,24.48,34.3,-28.0,-38.25,1.04,4.99,568,94.8,44.2,6.253,27.45,-10.16,22,47.5,14.74,1.3
N3_close_excl_age0,tp25_trail50,exit,tp25+trail50,W2,3511,10,21.54,19.14,21.98,-28.33,-30.25,0.76,25.81,1452,87.2,43.1,4.796,20.92,-7.53,22,35.3,10.42,4.2
N3_close_excl_age0,tp25_trail50,exit,tp25+trail50,W1,2425,10,38.64,33.25,39.84,-27.21,-32.56,1.36,7.1,788,131.4,43.9,5.393,21.81,-7.55,19,30.9,14.74,2.4
N3_close_excl_age0,fixed3x30,sizing,3x0.3,W2,3511,10,21.54,16.75,26.92,-51.2,-60.16,0.38,25.85,254,15.2,39.0,7.47,30.94,-7.32,10,54.9,10.42,1.6
N3_close_excl_age0,fixed3x30,sizing,3x0.3,W1,2425,10,37.45,29.48,42.45,-41.1,-50.28,0.88,6.74,113,18.9,39.8,9.682,35.29,-7.62,8,49.2,14.74,0.7
N3_close_excl_age0,fixed5x20,sizing,5x0.2,W2,3511,10,20.81,18.11,26.43,-45.34,-48.62,0.47,23.54,342,20.5,39.5,7.439,29.78,-7.22,12,54.8,10.42,1.9
N3_close_excl_age0,fixed5x20,sizing,5x0.2,W1,2425,10,32.97,26.03,48.58,-36.48,-42.53,0.95,5.53,156,26.1,39.9,8.796,33.4,-7.26,10,49.3,14.74,0.8
N3_close_excl_age0,fixed8x18,sizing,8x0.1875,W2,3511,10,19.53,16.98,25.92,-43.13,-43.29,0.46,19.56,376,22.6,39.5,6.872,28.65,-7.2,14,55.3,10.42,1.7
N3_close_excl_age0,fixed8x18,sizing,8x0.1875,W1,2425,10,34.7,28.29,44.99,-34.51,-41.19,0.93,5.97,176,29.4,39.1,8.563,33.3,-7.18,12,47.7,14.74,0.9
N3_close_excl_age0,fixed10x10,sizing,10x0.1,W2,3511,10,21.74,18.72,25.11,-36.65,-38.16,0.58,26.55,667,40.0,40.1,7.653,29.99,-7.4,25,55.5,10.42,2.5
N3_close_excl_age0,fixed10x10,sizing,10x0.1,W1,2425,10,31.1,26.5,34.49,-33.88,-39.24,0.93,5.08,326,54.3,40.3,7.778,29.76,-7.39,17,48.3,14.74,1.3
N3_close_excl_age0,risk1pct,sizing,risk1%,W2,3511,10,22.88,20.33,27.2,-37.11,-42.86,0.6,31.07,541,32.5,39.3,7.923,30.96,-7.19,18,55.5,10.42,2.2
N3_close_excl_age0,risk1pct,sizing,risk1%,W1,2425,10,32.61,27.77,37.15,-34.17,-43.43,0.94,5.44,263,43.8,39.9,8.087,30.93,-7.3,16,48.3,14.74,1.0
N3_close_excl_age0,risk1.5pct,sizing,risk1.5%,W2,3511,10,19.53,16.98,25.92,-43.13,-43.29,0.46,19.56,376,22.6,39.5,6.872,28.65,-7.2,14,55.3,10.42,1.7
N3_close_excl_age0,risk1.5pct,sizing,risk1.5%,W1,2425,10,34.7,28.29,44.99,-34.51,-41.19,0.93,5.97,176,29.4,39.1,8.563,33.3,-7.18,12,47.7,14.74,0.7
N3_close_excl_age0,risk2pct,sizing,risk2%,W2,3511,10,18.64,12.8,27.37,-47.67,-51.1,0.39,17.32,265,15.9,39.3,7.011,28.87,-7.28,10,54.7,10.42,1.6
N3_close_excl_age0,risk2pct,sizing,risk2%,W1,2425,10,30.78,26.28,48.9,-36.14,-46.73,0.87,5.0,120,20.0,39.8,8.913,35.07,-7.71,8,48.8,14.74,0.6
N3_close_excl_age0,gateON,gate,on,W2,3511,10,23.03,19.99,23.69,-32.9,-35.39,0.7,31.64,760,45.6,42.0,10.027,33.86,-7.28,20,59.2,10.42,2.7
N3_close_excl_age0,gateON,gate,on,W1,2425,10,33.15,31.94,37.77,-30.93,-32.96,1.09,5.57,435,72.6,41.9,9.354,32.82,-7.32,20,50.1,14.74,1.4
N3_close_excl_age0,fillclose,fill,close,W2,3511,10,14.69,12.98,16.82,-37.65,-39.42,0.39,9.83,993,59.6,35.0,5.758,31.27,-7.87,31,53.0,10.42,3.0
N3_close_excl_age0,fillclose,fill,close,W1,2425,10,20.6,18.04,24.39,-36.68,-38.98,0.56,3.08,512,85.4,35.6,5.826,30.72,-7.95,21,46.1,14.74,1.6
N3_close_excl_age0,maxdist12,basequality,maxdist0.12,W2,3497,10,22.99,20.89,23.85,-38.48,-42.13,0.59,31.47,951,57.1,41.4,8.351,30.52,-7.32,20,56.8,10.42,3.1
N3_close_excl_age0,maxdist12,basequality,maxdist0.12,W1,2414,10,31.28,29.18,33.94,-31.97,-33.07,0.99,5.12,484,80.7,41.6,8.017,29.69,-7.49,19,49.1,14.74,1.5
N3_close_excl_age0,maxdist30,basequality,maxdist0.3,W2,3511,10,22.86,21.38,24.37,-38.08,-42.02,0.6,30.89,944,56.7,41.4,8.341,30.49,-7.34,20,57.0,10.42,2.9
N3_close_excl_age0,maxdist30,basequality,maxdist0.3,W1,2425,10,31.64,28.14,35.32,-32.23,-33.29,1.01,5.21,487,81.2,41.2,8.041,29.9,-7.5,19,48.9,14.74,1.5
N3_close_excl_age0,tight35,basequality,tight0.35,W2,543,10,10.64,10.24,11.01,-24.39,-24.62,0.44,5.39,423,25.4,41.1,6.577,24.35,-5.91,15,57.6,10.42,1.6
N3_close_excl_age0,tight35,basequality,tight0.35,W1,353,10,18.62,17.8,18.97,-24.35,-24.47,0.77,2.78,245,40.8,43.6,8.564,27.8,-6.35,15,55.1,14.74,0.8
N3_close_excl_age0,tight25,basequality,tight0.25,W2,160,10,6.94,6.94,6.94,-11.1,-11.1,0.63,3.06,160,9.6,45.6,5.737,18.9,-5.31,9,56.6,10.42,0.7
N3_close_excl_age0,tight25,basequality,tight0.25,W1,93,10,11.59,11.59,11.59,-11.1,-11.1,1.04,1.93,93,15.5,54.8,9.638,21.8,-5.13,6,58.5,14.74,0.4
N3_close_excl_age0,cost40,cost,40bps,W2,3511,10,20.18,18.57,22.43,-36.95,-37.19,0.55,21.43,952,57.1,41.1,7.874,29.67,-7.34,20,56.4,10.42,3.2
N3_close_excl_age0,cost40,cost,40bps,W1,2425,10,30.14,27.58,32.22,-33.35,-34.66,0.92,4.86,485,80.9,41.2,8.179,30.17,-7.52,19,49.0,14.74,1.4
N3_close_excl_age0,cost60,cost,60bps,W2,3511,10,18.27,17.39,21.04,-37.47,-38.48,0.49,16.38,950,57.0,41.1,7.798,30.05,-7.34,20,56.3,10.42,2.8
N3_close_excl_age0,cost60,cost,60bps,W1,2425,10,26.79,24.93,30.99,-35.14,-37.65,0.76,4.15,486,81.0,41.4,8.019,30.02,-7.49,19,48.7,14.74,1.6
N10_high_excl_age0,base,base,base,W2,533,10,22.72,22.56,22.89,-28.63,-28.63,0.79,10.91,279,23.9,47.8,17.597,45.34,-7.98,19,60.9,10.65,1.2
N10_high_excl_age0,base,base,base,W1,479,10,39.0,38.65,39.38,-28.63,-28.63,1.36,7.21,225,37.6,46.8,20.133,51.89,-8.06,19,63.0,14.74,0.9
N10_high_excl_age0,stop7,stop,0.07,W2,533,10,21.87,21.78,22.02,-27.28,-27.28,0.8,10.07,281,24.1,46.2,16.733,45.16,-7.72,19,58.8,10.65,1.0
N10_high_excl_age0,stop7,stop,0.07,W1,479,10,37.77,37.58,38.1,-27.26,-27.26,1.39,6.83,227,37.8,45.3,19.269,51.87,-7.74,19,61.1,14.74,0.8
N10_high_excl_age0,stop10,stop,0.1,W2,533,10,23.43,23.24,23.52,-27.95,-27.99,0.84,11.68,274,23.5,51.5,18.51,44.34,-8.88,16,65.2,10.65,1.2
N10_high_excl_age0,stop10,stop,0.1,W1,479,10,40.04,39.63,40.24,-27.96,-27.99,1.43,7.54,220,36.7,50.5,21.092,50.69,-9.05,16,67.0,14.74,0.9
N10_high_excl_age0,trail15,exit,trail15,W2,533,10,18.73,18.31,19.01,-19.32,-19.89,0.97,7.42,444,38.1,53.6,7.56,18.69,-5.33,9,20.8,10.65,1.0
N10_high_excl_age0,trail15,exit,trail15,W1,479,10,32.31,31.42,32.94,-19.32,-19.88,1.67,5.36,390,65.1,53.3,8.222,20.01,-5.29,9,20.9,14.74,0.7
N10_high_excl_age0,trail30,exit,trail30,W2,533,10,21.06,20.51,21.51,-34.13,-34.13,0.62,9.32,374,32.0,50.2,11.15,29.26,-7.11,13,36.9,10.65,0.9
N10_high_excl_age0,trail30,exit,trail30,W1,479,10,35.25,34.56,36.74,-34.11,-34.11,1.03,6.12,320,53.3,50.6,11.786,30.6,-7.14,13,37.5,14.74,0.7
N10_high_excl_age0,trail150,exit,trail150,W2,533,10,23.87,23.76,23.88,-33.16,-33.21,0.72,12.17,164,14.0,50.0,40.01,89.22,-9.2,17,146.2,10.65,1.3
N10_high_excl_age0,trail150,exit,trail150,W1,479,10,48.82,48.55,48.84,-33.16,-33.21,1.47,10.86,119,19.8,54.6,56.743,111.97,-9.74,11,163.4,14.74,1.2
N10_high_excl_age0,tp25_notrail,exit,tp25,W2,533,10,14.89,14.38,15.74,-33.21,-37.73,0.45,5.06,379,32.5,48.6,7.356,27.57,-11.66,19,45.8,10.65,1.1
N10_high_excl_age0,tp25_notrail,exit,tp25,W1,479,10,24.3,23.21,26.08,-33.2,-37.73,0.73,3.69,328,54.7,50.3,7.904,27.82,-12.19,19,43.6,14.74,0.8
N10_high_excl_age0,tp25_trail50,exit,tp25+trail50,W2,533,10,17.69,17.43,18.6,-25.85,-26.77,0.69,6.69,413,35.4,50.9,7.754,23.28,-8.28,11,32.5,10.65,1.0
N10_high_excl_age0,tp25_trail50,exit,tp25+trail50,W1,479,10,28.33,27.59,30.07,-25.85,-26.77,1.1,4.47,359,59.8,50.6,7.961,23.94,-8.34,11,31.4,14.74,0.8
N10_high_excl_age0,fixed3x30,sizing,3x0.3,W2,533,10,34.18,33.99,34.18,-35.34,-35.34,0.97,30.94,88,7.5,50.0,21.587,51.37,-8.2,8,63.5,10.65,0.5
N10_high_excl_age0,fixed3x30,sizing,3x0.3,W1,479,10,58.8,58.8,58.8,-35.34,-35.34,1.66,16.03,67,11.2,46.3,25.183,63.76,-8.03,8,62.9,14.74,0.4
N10_high_excl_age0,fixed5x20,sizing,5x0.2,W2,533,10,30.11,28.92,30.11,-35.95,-35.95,0.84,21.59,117,10.0,49.6,21.229,51.12,-8.15,8,62.4,10.65,0.8
N10_high_excl_age0,fixed5x20,sizing,5x0.2,W1,479,10,52.44,49.75,52.44,-35.95,-35.95,1.46,12.54,87,14.5,46.0,25.944,66.1,-8.23,8,64.6,14.74,0.5
N10_high_excl_age0,fixed8x18,sizing,8x0.1875,W2,533,10,29.89,29.3,30.31,-35.31,-35.31,0.85,21.17,133,11.4,49.6,19.934,48.27,-8.29,8,61.9,10.65,0.7
N10_high_excl_age0,fixed8x18,sizing,8x0.1875,W1,479,10,52.02,50.3,52.59,-35.31,-35.31,1.47,12.34,99,16.5,45.5,24.224,62.18,-8.44,8,63.7,14.74,0.5
N10_high_excl_age0,fixed10x10,sizing,10x0.1,W2,533,10,25.69,24.16,25.98,-33.5,-33.5,0.77,14.43,206,17.7,49.5,18.272,45.3,-8.22,10,60.9,10.65,0.9
N10_high_excl_age0,fixed10x10,sizing,10x0.1,W1,479,10,47.51,44.03,48.16,-33.5,-33.5,1.42,10.3,159,26.6,49.1,22.461,54.48,-8.34,10,64.1,14.74,0.8
N10_high_excl_age0,risk1pct,sizing,risk1%,W2,533,10,26.06,25.77,26.77,-34.74,-34.74,0.75,14.93,181,15.5,49.4,17.973,44.71,-8.2,10,60.3,10.65,0.9
N10_high_excl_age0,risk1pct,sizing,risk1%,W1,479,10,47.18,46.49,48.74,-34.74,-34.74,1.36,10.16,138,23.0,48.2,22.099,54.76,-8.29,10,63.2,14.74,0.6
N10_high_excl_age0,risk1.5pct,sizing,risk1.5%,W2,533,10,29.89,29.3,30.31,-35.31,-35.31,0.85,21.17,133,11.4,49.6,19.934,48.27,-8.29,8,61.9,10.65,0.7
N10_high_excl_age0,risk1.5pct,sizing,risk1.5%,W1,479,10,52.02,50.3,52.59,-35.31,-35.31,1.47,12.34,99,16.5,45.5,24.224,62.18,-8.44,8,63.7,14.74,0.5
N10_high_excl_age0,risk2pct,sizing,risk2%,W2,533,10,32.73,31.52,32.73,-36.4,-36.4,0.9,27.26,94,8.1,50.0,23.136,54.26,-7.99,8,61.7,10.65,0.6
N10_high_excl_age0,risk2pct,sizing,risk2%,W1,479,10,57.1,54.33,57.1,-36.4,-36.4,1.57,15.03,71,11.8,46.5,27.666,68.48,-7.77,8,62.2,14.74,0.4
N10_high_excl_age0,gateON,gate,on,W2,533,10,18.88,18.28,19.47,-34.06,-34.06,0.55,7.53,249,21.4,42.9,17.024,50.69,-8.18,18,60.8,10.65,0.9
N10_high_excl_age0,gateON,gate,on,W1,479,10,34.98,33.66,36.29,-34.06,-34.06,1.03,6.05,220,36.8,43.1,19.154,55.26,-8.09,18,61.2,14.74,0.7
N10_high_excl_age0,fillclose,fill,close,W2,533,10,18.01,17.84,18.26,-28.5,-29.29,0.63,6.91,288,24.7,39.9,13.743,46.83,-8.19,19,56.9,10.65,1.0
N10_high_excl_age0,fillclose,fill,close,W1,479,10,30.22,29.84,30.76,-28.5,-29.29,1.05,4.87,234,39.0,40.5,15.827,51.51,-8.49,19,58.6,14.74,0.9
N10_high_excl_age0,maxdist12,basequality,maxdist0.12,W2,523,10,22.9,22.64,23.12,-28.63,-28.63,0.8,11.1,274,23.5,48.5,18.019,45.63,-7.93,18,61.6,10.65,1.0
N10_high_excl_age0,maxdist12,basequality,maxdist0.12,W1,469,10,39.42,38.85,39.92,-28.63,-28.63,1.38,7.34,220,36.7,47.7,20.721,52.31,-8.01,18,64.1,14.74,0.8
N10_high_excl_age0,maxdist30,basequality,maxdist0.3,W2,533,10,22.72,22.56,22.89,-28.63,-28.63,0.79,10.91,279,23.9,47.8,17.597,45.34,-7.98,19,60.9,10.65,1.0
N10_high_excl_age0,maxdist30,basequality,maxdist0.3,W1,479,10,39.0,38.65,39.38,-28.63,-28.63,1.36,7.21,225,37.6,46.8,20.133,51.89,-8.06,19,63.0,14.74,0.9
N10_high_excl_age0,tight35,basequality,tight0.35,W2,59,10,8.6,8.6,8.6,-17.52,-17.52,0.49,2.62,59,5.1,61.0,16.323,31.65,-7.67,5,74.8,10.65,0.4
N10_high_excl_age0,tight35,basequality,tight0.35,W1,49,10,13.29,13.29,13.29,-17.51,-17.51,0.76,2.11,49,8.2,67.3,20.952,34.91,-7.83,5,77.2,14.74,0.3
N10_high_excl_age0,tight25,basequality,tight0.25,W2,16,10,6.07,6.07,6.07,-3.38,-3.38,1.8,1.99,16,1.4,68.8,17.1,28.05,-6.98,3,80.4,10.65,0.3
N10_high_excl_age0,tight25,basequality,tight0.25,W1,15,10,7.61,7.61,7.61,-3.37,-3.37,2.26,1.55,15,2.5,73.3,20.041,29.72,-6.58,2,74.9,14.74,0.2
N10_high_excl_age0,cost40,cost,40bps,W2,533,10,22.18,21.98,22.26,-28.83,-28.83,0.77,10.37,279,23.9,48.0,17.596,45.34,-7.99,19,60.8,10.65,1.0
N10_high_excl_age0,cost40,cost,40bps,W1,479,10,38.04,37.61,38.22,-28.81,-28.81,1.32,6.92,225,37.6,47.0,20.121,51.89,-8.07,19,63.0,14.74,0.8
N10_high_excl_age0,cost60,cost,60bps,W2,533,10,21.42,21.28,21.56,-29.09,-29.09,0.74,9.64,279,23.9,48.0,17.615,45.34,-8.02,18,60.9,10.65,1.1
N10_high_excl_age0,cost60,cost,60bps,W1,479,10,36.7,36.39,37.02,-29.08,-29.08,1.26,6.52,225,37.5,47.1,20.16,51.89,-8.11,18,63.0,14.74,0.8
