book,cagr_med,cagr_min,cagr_max,dd_med,dd_worst,calmar_med,calmar_worst
MYB alone,23.4,21.7,25.33,-17.7,-20.87,1.29,1.13
Open Alpha alone,32.78,32.04,35.76,-25.08,-28.8,1.32,1.11
True North alone,18.67,14.52,19.19,-20.03,-21.36,0.96,0.68
MYB + OA 50-50,28.71,27.83,30.45,-14.48,-17.23,1.98,1.64
MYB + TN 50-50,21.44,18.58,22.78,-14.14,-16.05,1.5,1.21
TN + OA 50-50 (deployed),26.16,23.69,27.95,-16.1,-18.87,1.56,1.39
MYB+OA+TN 1/3 each,25.58,23.66,26.63,-11.75,-13.29,2.19,1.85
