date,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
2010-01-04,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127,1000198.4126984127
2010-01-05,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243,1000396.8647644243
2010-01-06,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458,1000595.3562058458
2010-01-07,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899,1000793.8870304899
2010-01-08,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705,1000992.4572461705
2010-01-11,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035,1001191.0668607035
2010-01-12,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375,1001261.4375
2010-01-13,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625,1001166.5625
2010-01-14,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875,1000678.1875
2010-01-15,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534,998859.756753534
2010-01-18,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073,999057.9432132073
2010-01-19,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909,999256.1689955909
2010-01-20,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869,999454.4341084869
2010-01-21,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989,999652.7385596989
2010-01-22,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322,999851.0823570322
2010-01-25,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936,1000049.4655082936
2010-01-27,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912,1000247.8880212912
2010-01-28,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351,1000446.3499038351
2010-01-29,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367,1000644.8511637367
2010-02-01,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088,1000843.3918088088
2010-02-02,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661,1001041.9718468661
2010-02-03,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245,1001240.5912857245
