year,MYB (this study),MYB (this study)__dd,Open Alpha,Open Alpha__dd,True North,True North__dd,TN+OA 50-50,TN+OA 50-50__dd,TN+OA+MYB 42/42/15,TN+OA+MYB 42/42/15__dd,NIFTY 50,NIFTY 50__dd,Midcap 150,Midcap 150__dd,Smallcap 250,Smallcap 250__dd,BEST CAGR,LEAST DD,BEST OVERALL
2011,-3.6,-5.6,-1.7,-11.3,-9.7,-12.8,-1.6,-5.0,-2.0,-5.0,-24.9,-26.2,-32.7,-33.3,-36.7,-37.2,TN+OA 50-50,TN+OA 50-50,TN+OA 50-50
2012,+3.5,-3.0,+12.0,-7.8,+20.7,-6.8,+16.4,-4.7,+14.4,-4.1,+27.7,-13.8,+44.3,-12.4,+38.2,-14.1,True North,MYB (this study),True North
2013,+11.9,-2.8,+14.4,-7.5,+6.4,-6.2,+10.5,-2.4,+10.7,-2.2,+6.8,-14.6,-3.0,-25.2,-8.1,-32.3,Open Alpha,TN+OA+MYB 42/42/15,MYB (this study)
2014,-0.1,-11.6,+78.6,-10.4,+40.7,-11.9,+59.6,-4.7,+49.1,-4.9,+31.4,-6.5,+60.3,-8.0,+69.6,-8.6,Open Alpha,TN+OA 50-50,Open Alpha
2015,+7.8,-9.0,+9.1,-13.2,-2.3,-9.2,+3.6,-8.2,+4.3,-7.4,-4.1,-16.0,+8.4,-12.1,+10.2,-14.9,Open Alpha,TN+OA+MYB 42/42/15,MYB (this study)
2016,+13.2,-13.5,+11.8,-14.6,+27.8,-4.5,+20.2,-6.8,+19.3,-6.6,+3.0,-12.5,+5.4,-17.1,+0.4,-22.6,True North,True North,True North
2017,+87.7,-14.3,+100.5,-17.5,+36.6,-7.1,+66.3,-0.8,+69.7,-0.5,+28.6,-4.1,+54.3,-6.8,+57.3,-8.0,Open Alpha,TN+OA+MYB 42/42/15,Open Alpha
2018,+2.4,-16.3,-19.0,-19.8,-7.6,-22.8,-12.9,-13.6,-10.6,-11.8,+3.2,-14.6,-13.3,-24.0,-26.8,-36.2,MYB (this study),TN+OA+MYB 42/42/15,MYB (this study)
2019,+1.2,-2.1,+5.9,-8.5,-1.1,-7.5,+2.4,-6.2,+2.3,-5.5,+12.0,-11.4,-0.3,-14.8,-8.3,-21.9,Open Alpha,MYB (this study),MYB (this study)
2020,+50.4,-7.8,+116.5,-11.3,+66.0,-7.0,+90.7,-2.6,+84.3,-2.3,+14.9,-38.4,+24.4,-38.7,+25.1,-43.8,Open Alpha,TN+OA+MYB 42/42/15,Open Alpha
2021,+93.3,-18.7,+147.0,-9.3,+62.5,-11.1,+101.9,-1.9,+101.6,-1.7,+24.1,-10.1,+46.8,-10.5,+61.9,-9.3,Open Alpha,TN+OA+MYB 42/42/15,Open Alpha
2022,+29.1,-18.1,+2.4,-19.7,+17.2,-8.3,+10.4,-10.2,+13.2,-10.5,+4.3,-16.5,+3.0,-20.6,-3.6,-26.9,MYB (this study),True North,MYB (this study)
2023,+94.5,-9.8,+55.2,-13.1,+39.2,-10.3,+47.8,-9.1,+54.2,-8.5,+20.0,-7.1,+43.7,-7.7,+48.1,-11.0,MYB (this study),TN+OA+MYB 42/42/15,MYB (this study)
2024,+24.5,-25.2,+59.1,-12.3,+9.9,-17.9,+33.3,-7.3,+32.6,-7.4,+8.8,-10.9,+23.8,-11.0,+26.4,-12.5,Open Alpha,TN+OA 50-50,Open Alpha
2025,+14.6,-8.7,+8.7,-23.3,+10.7,-8.3,+10.6,-11.5,+11.4,-10.3,+10.5,-8.7,+5.4,-17.3,-6.0,-23.6,MYB (this study),True North,MYB (this study)
2026,+9.1,-11.2,+35.2,-21.2,+7.4,-6.2,+21.2,-5.0,+19.3,-5.1,-7.5,-15.2,+5.5,-14.0,+10.9,-15.5,Open Alpha,TN+OA 50-50,TN+OA 50-50
