window,myb_ret,myb_dd,base_ret,base_dd,blend15_ret,blend15_dd
2011-12,-0.3,-5.6,17.0,-4.7,14.3,-4.4
2013 grind,11.6,-2.8,10.6,-1.9,11.1,-1.6
2015-16,-6.0,-9.0,-3.2,-6.8,-3.0,-6.5
2018 grind,1.8,-16.3,-9.9,-11.2,-8.7,-9.8
2020 crash,2.5,-1.5,-1.3,-1.5,-0.8,-1.2
2022H1 grind,-11.9,-18.1,-5.9,-9.1,-6.1,-9.8
2024-25,41.4,-25.2,35.1,-11.8,34.5,-10.8
