K,ath_n,ath_mean,ath_win,ath_t,rndvol_mean,rndvol_win,t_vs_rndvol,t_vs_rnd
1.5,12925,6.99,44.1,14.0,6.16,37.3,1.06,1.84
2.0,10623,7.26,44.6,12.2,6.28,37.3,1.09,2.02
3.0,7457,7.7,44.8,9.4,6.89,38.8,0.65,2.11
