sym,entry,net_ret_pct,hold_days
ATGL,2021-11-11,6.0,62
ATGL,2022-03-24,18.84,30
ATGL,2022-07-11,23.7,52
ATGL,2022-11-04,-4.64,16
ATGL,2023-01-20,-25.69,4
ATHERENERG,2026-06-03,22.97,41
ATUL,2014-04-11,164.54,124
ATUL,2015-08-19,8.13,69
ATUL,2016-04-18,1.5,33
ATUL,2016-06-30,-6.68,20
ATUL,2016-08-23,1.99,46
ATUL,2017-04-10,-2.63,53
ATUL,2017-11-03,4.31,61
ATUL,2018-08-09,-1.56,35
ATUL,2018-10-16,-1.83,35
ATUL,2019-05-10,8.44,40
ATUL,2019-10-17,-5.29,42
ATUL,2020-01-17,4.8,38
ATUL,2020-08-19,5.12,36
ATUL,2021-03-23,27.82,94
ATUL,2021-09-13,-4.76,29
ATULAUTO,2014-07-07,24.22,56
ATULAUTO,2014-11-24,44.18,50
ATULAUTO,2023-11-07,-9.78,18
AUBANK,2019-11-13,-2.02,22
AUBANK,2020-01-09,26.71,42
AUBANK,2021-02-24,-9.66,30
AUBANK,2021-08-10,-13.69,14
AUBANK,2023-05-16,2.43,26
AUBANK,2025-06-25,-1.91,17
AUBANK,2025-10-20,11.94,58
AUBANK,2026-06-24,-5.36,17
AUROPHARMA,2024-08-30,-5.05,15
AUROPHARMA,2026-06-30,-3.53,17
AVADHSUGAR,2022-02-03,-16.13,7
AVADHSUGAR,2022-04-13,-12.1,11
AVALON,2025-10-03,0.23,22
AVALON,2026-05-07,4.68,6
AVANTIFEED,2014-02-06,98.67,59
AVANTIFEED,2014-06-11,120.29,85
AVANTIFEED,2014-11-05,-7.79,23
AVANTIFEED,2015-07-09,36.45,77
AVANTIFEED,2017-02-23,91.93,79
AVANTIFEED,2017-06-30,68.24,94
AVANTIFEED,2025-03-17,-19.69,13
AVANTIFEED,2026-02-03,15.77,33
AVANTIFEED,2026-04-10,-9.71,23
AZAD,2026-04-23,-1.01,15
BAJAJCON,2014-09-03,-8.83,15
BAJAJCON,2014-11-20,44.4,107
BAJAJCON,2015-08-18,-8.0,14
BAJAJCON,2018-01-11,-8.1,16
BAJAJCON,2026-05-07,1.18,6
BAJAJELEC,2014-02-12,28.18,72
BAJAJELEC,2017-09-12,28.81,96
BAJAJELEC,2018-03-06,8.37,46
BAJAJELEC,2021-01-11,30.32,47
BAJAJELEC,2021-04-16,-4.38,26
BAJAJELEC,2021-08-30,5.49,25
BAJAJELEC,2023-09-14,-3.23,25
BAJAJFINSV,2014-07-02,-4.16,29
BAJAJFINSV,2014-08-22,5.3,34
BAJAJFINSV,2014-11-27,9.99,26
BAJAJFINSV,2015-01-27,1.34,21
BAJAJFINSV,2015-03-05,-10.14,10
BAJAJFINSV,2015-05-27,11.44,63
BAJAJFINSV,2015-12-02,-6.77,4
BAJAJFINSV,2016-06-16,49.89,96
BAJAJHLDNG,2014-04-04,26.39,109
BAJAJHLDNG,2014-09-25,-0.86,51
BAJAJHLDNG,2015-08-06,-0.7,22
BAJAJHLDNG,2015-10-27,-3.84,32
BAJAJHLDNG,2016-07-22,-0.85,22
BAJAJHLDNG,2016-09-02,7.18,46
BAJAJHLDNG,2017-05-16,-8.83,5
BAJAJHLDNG,2017-07-14,19.8,48
BAJAJHLDNG,2017-10-27,-4.56,7
BAJAJHLDNG,2018-06-15,-1.62,72
BAJAJHLDNG,2019-03-06,1.11,34
BAJAJHLDNG,2019-06-07,-3.28,21
BAJAJHLDNG,2019-11-07,-3.84,12
BAJAJHLDNG,2020-02-05,-12.79,16
BAJAJHLDNG,2021-07-16,27.74,155
BAJAJHLDNG,2022-04-04,-13.16,20
BAJAJHLDNG,2022-09-08,-0.42,53
BAJAJHLDNG,2023-05-29,0.23,53
BAJAJHLDNG,2023-12-04,9.36,68
BAJAJHLDNG,2024-07-03,-2.29,22
BAJAJHLDNG,2024-08-29,1.4,35
BAJAJHLDNG,2024-12-10,-8.29,23
BAJAJHLDNG,2025-05-16,3.38,58
BAJAJHLDNG,2025-08-18,-7.13,4
BAJFINANCE,2014-02-28,5.85,48
BAJFINANCE,2014-05-22,94.72,198
BAJFINANCE,2015-04-08,8.49,96
BAJFINANCE,2015-12-17,-3.91,21
BALKRISHNA,2016-10-07,-15.72,23
BALKRISIND,2014-02-05,104.75,128
BALKRISIND,2014-11-07,-15.93,5
BALKRISIND,2016-08-30,16.66,43
BALKRISIND,2016-12-01,22.28,121
BALKRISIND,2017-06-01,2.38,35
BALKRISIND,2017-09-18,-6.54,24
BALKRISIND,2017-11-02,31.66,49
BALKRISIND,2018-04-09,-4.87,21
BALKRISIND,2018-08-14,-12.44,13
BALKRISIND,2020-09-28,-7.25,19
BALKRISIND,2020-11-09,2.79,29
BALKRISIND,2021-02-04,-14.19,10
BALKRISIND,2021-05-10,22.16,65
BALKRISIND,2021-09-21,-2.3,20
BALKRISIND,2024-01-20,-11.76,5
BALKRISIND,2024-05-18,8.94,57
BALMLAWRIE,2014-05-20,17.62,39
BALMLAWRIE,2014-09-03,-2.61,25
BALMLAWRIE,2014-11-03,-13.18,3
BALMLAWRIE,2014-11-18,-13.51,20
BALMLAWRIE,2015-08-03,-16.0,15
BALMLAWRIE,2016-08-08,0.09,28
