date,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
2006-01-02,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875,1000423.6875
2006-01-03,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375,1002621.9375
2006-01-04,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5,1006516.5
2006-01-05,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625,999612.5625
2006-01-06,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75,1001423.75
2006-01-09,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375,1009426.375
2006-01-10,1001163.25,1001163.25,1002772.25,1002772.25,1003276.5,1001163.3125,1001163.25,1001163.25,1001163.3125,1001163.3125,1001163.3125,1003276.625,1003276.5,1001163.3125,1003276.5,1002772.25,1003276.5,1001163.25,1002772.25,1001163.25,1003276.5,1003276.5,1002772.25,1002772.25,1003276.5,1002772.25,1003276.5,1003276.5,1002772.25,1001163.25
2006-01-12,1014536.875,1014537.0,1014120.875,1014120.8125,1014926.625,1014536.875,1014536.875,1014536.875,1014536.875,1014536.875,1014536.875,1014926.625,1014926.625,1014536.875,1014926.625,1014120.875,1014926.625,1014536.875,1014120.875,1014536.875,1014926.625,1014926.5625,1014120.875,1014120.875,1014926.625,1014120.875,1014926.625,1014926.625,1014120.875,1014536.875
2006-01-13,1020424.125,1020424.125,1017420.375,1017420.375,1020093.6875,1020424.125,1020424.125,1020424.125,1020424.125,1020424.125,1020424.125,1020093.6875,1020093.6875,1020424.125,1020093.75,1017420.375,1020093.6875,1020424.25,1017420.375,1020424.125,1020093.6875,1020093.6875,1017420.375,1017420.375,1020093.75,1017420.375,1020093.6875,1020093.75,1017420.375,1020424.125
2006-01-16,1019069.375,1019069.375,1013962.1875,1013962.25,1019519.5,1019069.4375,1019069.375,1019069.375,1019069.375,1019069.375,1019069.375,1019519.5,1019519.5,1019069.375,1019519.5,1013962.25,1019519.5,1019069.375,1013962.1875,1019069.4375,1019519.5,1019519.5,1013962.1875,1013962.1875,1019519.5,1013962.1875,1019519.5,1019519.5,1013962.25,1019069.4375
