weights,n,w_OA,w_TN,w_IPO,w_GOLD,A_cagr,A_dcagr,A_dd,A_calmar,A_dcalmar,A_winb,A_winc,A_winm,B_cagr,B_dcagr,B_dd,B_calmar,B_dcalmar,B_winb,B_winc,B_winm,C_cagr,C_dcagr,C_dd,C_calmar,C_dcalmar,C_winb,C_winc,C_winm,ADMITTED,minCalmar
GOLD:0.95|IPO:0.05,2,0.0,0.0,0.05,0.95,14.12,-12.47,-24.6,0.574,-1.11,0,0,360,14.58,-13.19,-24.6,0.593,-1.084,0,0,360,16.16,-14.41,-16.81,0.963,-0.96,0,0,360,False,0.574
GOLD:0.90|IPO:0.10,2,0.0,0.0,0.1,0.9,15.09,-11.51,-22.49,0.671,-1.011,0,0,360,15.61,-12.17,-22.49,0.694,-0.982,0,0,360,17.53,-13.04,-14.56,1.209,-0.719,0,0,360,False,0.671
GOLD:0.85|IPO:0.15,2,0.0,0.0,0.15,0.85,16.05,-10.57,-20.34,0.789,-0.892,0,0,360,16.62,-11.17,-20.34,0.817,-0.86,0,0,360,18.9,-11.65,-12.26,1.551,-0.371,28,0,360,False,0.789
GOLD:0.80|IPO:0.20,2,0.0,0.0,0.2,0.8,16.99,-9.63,-18.16,0.936,-0.746,0,0,360,17.63,-10.14,-18.16,0.971,-0.708,0,0,360,20.25,-10.23,-9.93,2.057,0.141,243,0,360,False,0.936
GOLD:0.75|IPO:0.25,2,0.0,0.0,0.25,0.75,17.92,-8.69,-16.69,1.074,-0.607,0,0,360,18.62,-9.14,-16.69,1.115,-0.564,0,0,360,21.6,-8.85,-9.02,2.42,0.507,339,0,360,False,1.074
GOLD:0.70|IPO:0.30,2,0.0,0.0,0.3,0.7,18.84,-7.78,-15.28,1.233,-0.445,5,0,360,19.59,-8.14,-15.28,1.282,-0.395,5,0,360,22.94,-7.55,-8.29,2.803,0.883,358,0,360,False,1.233
GOLD:0.65|IPO:0.35,2,0.0,0.0,0.35,0.65,19.75,-6.84,-13.86,1.425,-0.253,43,0,360,20.56,-7.16,-13.86,1.484,-0.19,63,0,360,24.26,-6.28,-7.56,3.242,1.337,360,0,360,False,1.425
GOLD:0.60|IPO:0.40,2,0.0,0.0,0.4,0.6,20.64,-5.96,-12.45,1.658,-0.021,170,0,360,21.51,-6.2,-12.45,1.728,0.057,250,0,360,25.58,-4.96,-6.84,3.775,1.86,360,0,360,False,1.658
GOLD:0.55|IPO:0.45,2,0.0,0.0,0.45,0.55,21.52,-5.08,-11.33,1.9,0.222,292,0,360,22.45,-5.28,-11.33,1.981,0.313,360,0,360,26.89,-3.6,-6.91,3.871,1.963,360,0,360,False,1.9
GOLD:0.50|IPO:0.50,2,0.0,0.0,0.5,0.5,22.39,-4.24,-10.2,2.195,0.52,346,0,360,23.37,-4.38,-10.2,2.291,0.626,360,0,360,28.18,-2.33,-7.4,3.788,1.88,360,0,360,False,2.195
GOLD:0.45|IPO:0.55,2,0.0,0.0,0.55,0.45,23.24,-3.39,-9.06,2.565,0.882,360,0,360,24.28,-3.48,-9.06,2.68,1.019,360,0,360,29.47,-1.0,-7.89,3.714,1.804,360,0,360,False,2.565
GOLD:0.40|IPO:0.60,2,0.0,0.0,0.6,0.4,24.07,-2.53,-8.38,2.858,1.179,360,0,360,25.17,-2.55,-8.38,2.993,1.317,360,0,360,30.74,0.34,-8.38,3.647,1.738,360,0,348,False,2.858
GOLD:0.35|IPO:0.65,2,0.0,0.0,0.65,0.35,24.89,-1.72,-8.87,2.792,1.111,360,0,360,26.05,-1.66,-8.87,2.928,1.251,360,0,360,31.99,1.68,-8.87,3.585,1.676,360,0,216,False,2.792
GOLD:0.30|IPO:0.70,2,0.0,0.0,0.7,0.3,25.69,-0.93,-9.36,2.731,1.051,360,0,360,26.91,-0.78,-9.36,2.867,1.189,360,0,360,33.22,2.97,-9.36,3.529,1.617,360,0,96,False,2.731
GOLD:0.25|IPO:0.75,2,0.0,0.0,0.75,0.25,26.47,-0.14,-9.97,2.665,0.99,360,0,0,27.76,0.08,-9.97,2.792,1.131,360,0,228,34.44,4.19,-9.97,3.467,1.566,360,0,12,False,2.665
GOLD:0.20|IPO:0.80,2,0.0,0.0,0.8,0.2,27.23,0.66,-10.52,2.594,0.89,359,0,0,28.59,0.92,-10.52,2.725,1.051,360,0,0,35.64,5.44,-10.52,3.396,1.453,360,0,0,False,2.594
GOLD:0.15|IPO:0.85,2,0.0,0.0,0.85,0.15,27.98,1.4,-12.02,2.359,0.642,353,0,0,29.4,1.73,-12.02,2.466,0.816,360,0,0,36.83,6.69,-12.02,3.094,1.159,360,0,0,False,2.359
GOLD:0.10|IPO:0.90,2,0.0,0.0,0.9,0.1,28.71,2.15,-13.86,2.106,0.404,333,0,0,30.2,2.54,-13.86,2.204,0.554,359,0,0,38.0,7.87,-13.86,2.788,0.865,356,0,0,False,2.106
GOLD:0.05|IPO:0.95,2,0.0,0.0,0.95,0.05,29.43,2.92,-15.68,1.905,0.214,286,0,0,30.98,3.32,-15.68,2.004,0.354,351,0,0,39.16,9.03,-15.68,2.547,0.604,348,0,0,False,1.905
GOLD:0.95|TN:0.05,2,0.0,0.05,0.0,0.95,13.58,-13.04,-23.41,0.577,-1.104,0,0,0,14.03,-13.72,-23.41,0.597,-1.074,0,0,0,15.19,-15.36,-15.57,0.979,-0.936,0,0,0,False,0.577
GOLD:0.90|IPO:0.05|TN:0.05,3,0.0,0.05,0.05,0.9,14.55,-12.04,-21.18,0.684,-0.995,0,0,360,15.04,-12.7,-21.18,0.708,-0.963,0,0,360,16.57,-13.99,-13.24,1.253,-0.659,0,0,360,False,0.684
GOLD:0.85|IPO:0.10|TN:0.05,3,0.0,0.05,0.1,0.85,15.5,-11.1,-18.99,0.814,-0.864,0,0,360,16.05,-11.71,-18.99,0.844,-0.826,0,0,360,17.91,-12.59,-10.88,1.648,-0.263,51,0,360,False,0.814
GOLD:0.80|IPO:0.15|TN:0.05,3,0.0,0.05,0.15,0.8,16.44,-10.17,-17.42,0.943,-0.739,0,0,360,17.05,-10.68,-17.42,0.977,-0.694,0,0,360,19.26,-11.23,-8.9,2.164,0.266,293,0,360,False,0.943
