weights,n,w_OA,w_TN,w_IPO,w_GOLD,w_MYB,A_cagr,A_dcagr,A_dd,A_calmar,A_dcalmar,A_winb,A_winc,A_winm,C_cagr,C_dcagr,C_dd,C_calmar,C_dcalmar,C_winb,C_winc,C_winm,ADMITTED,minCalmar
GOLD:0.10|MYB:0.90,2,0.0,0.0,0.0,0.1,0.9,22.91,-3.67,-14.79,1.516,-0.127,106,0,0,31.36,1.04,-14.79,2.07,0.204,264,0,0,False,1.516
GOLD:0.20|MYB:0.80,2,0.0,0.0,0.0,0.2,0.8,22.09,-4.51,-12.43,1.78,0.12,245,0,0,29.77,-0.63,-12.43,2.397,0.519,337,0,0,False,1.78
GOLD:0.30|MYB:0.70,2,0.0,0.0,0.0,0.3,0.7,21.2,-5.44,-10.12,2.096,0.39,327,0,0,28.1,-2.3,-10.12,2.782,0.847,355,0,0,False,2.096
GOLD:0.40|MYB:0.60,2,0.0,0.0,0.0,0.4,0.6,20.24,-6.39,-9.25,2.17,0.482,343,0,0,26.37,-4.03,-8.58,3.037,1.09,359,0,0,False,2.17
GOLD:0.50|MYB:0.50,2,0.0,0.0,0.0,0.5,0.5,19.21,-7.43,-11.39,1.687,-0.006,177,0,0,24.58,-5.74,-8.5,2.891,0.96,360,0,0,False,1.687
GOLD:0.60|MYB:0.40,2,0.0,0.0,0.0,0.6,0.4,18.12,-8.51,-13.49,1.344,-0.345,24,0,0,22.73,-7.68,-8.64,2.631,0.698,353,0,0,False,1.344
GOLD:0.70|MYB:0.30,2,0.0,0.0,0.0,0.7,0.3,16.97,-9.67,-15.55,1.091,-0.598,0,0,0,20.82,-9.6,-8.78,2.372,0.447,333,0,0,False,1.091
GOLD:0.80|MYB:0.20,2,0.0,0.0,0.0,0.8,0.2,15.75,-10.9,-19.1,0.823,-0.859,0,0,0,18.86,-11.61,-8.92,2.11,0.176,265,0,0,False,0.823
GOLD:0.90|MYB:0.10,2,0.0,0.0,0.0,0.9,0.1,14.48,-12.16,-22.94,0.631,-1.056,0,0,0,16.84,-13.68,-13.22,1.273,-0.651,0,0,0,False,0.631
IPO:0.10|MYB:0.90,2,0.0,0.0,0.1,0.0,0.9,24.41,-2.05,-15.97,1.501,-0.133,101,0,360,33.75,3.69,-15.97,2.077,0.226,265,0,360,False,1.501
GOLD:0.10|IPO:0.10|MYB:0.80,3,0.0,0.0,0.1,0.1,0.8,23.64,-2.87,-13.18,1.772,0.121,242,0,360,32.19,2.05,-13.18,2.416,0.537,337,0,360,False,1.772
GOLD:0.20|IPO:0.10|MYB:0.70,3,0.0,0.0,0.1,0.2,0.7,22.79,-3.73,-10.8,2.134,0.422,325,0,360,30.56,0.35,-10.8,2.865,0.906,358,0,360,False,2.134
GOLD:0.30|IPO:0.10|MYB:0.60,3,0.0,0.0,0.1,0.3,0.6,21.87,-4.64,-9.21,2.371,0.682,352,0,348,28.88,-1.42,-9.21,3.134,1.218,360,0,360,False,2.371
GOLD:0.40|IPO:0.10|MYB:0.50,3,0.0,0.0,0.1,0.4,0.5,20.91,-5.64,-8.88,2.351,0.665,356,0,360,27.14,-3.16,-7.84,3.415,1.525,360,0,360,False,2.351
GOLD:0.50|IPO:0.10|MYB:0.40,3,0.0,0.0,0.1,0.5,0.4,19.87,-6.69,-11.03,1.802,0.116,244,0,360,25.31,-4.95,-7.05,3.609,1.702,360,0,360,False,1.802
GOLD:0.60|IPO:0.10|MYB:0.30,3,0.0,0.0,0.1,0.6,0.3,18.76,-7.82,-13.14,1.428,-0.254,42,0,360,23.46,-6.91,-7.14,3.349,1.439,360,0,360,False,1.428
GOLD:0.70|IPO:0.10|MYB:0.20,3,0.0,0.0,0.1,0.7,0.2,17.62,-8.97,-15.21,1.158,-0.524,0,0,360,21.56,-8.92,-7.29,2.985,1.1,360,0,360,False,1.158
GOLD:0.80|IPO:0.10|MYB:0.10,3,0.0,0.0,0.1,0.8,0.1,16.42,-10.2,-18.62,0.881,-0.802,0,0,360,19.62,-10.95,-8.86,2.21,0.282,304,0,360,False,0.881
GOLD:0.90|IPO:0.10,2,0.0,0.0,0.1,0.9,0.0,15.09,-11.51,-22.49,0.671,-1.011,0,0,360,17.53,-13.04,-14.56,1.209,-0.719,0,0,360,False,0.671
IPO:0.20|MYB:0.80,2,0.0,0.0,0.2,0.0,0.8,25.17,-1.28,-14.52,1.729,0.061,208,0,360,34.62,4.75,-14.52,2.38,0.487,328,0,360,False,1.729
GOLD:0.10|IPO:0.20|MYB:0.70,3,0.0,0.0,0.2,0.1,0.7,24.36,-2.1,-12.08,2.032,0.345,315,0,348,33.05,3.07,-12.08,2.765,0.841,357,0,360,False,2.032
GOLD:0.20|IPO:0.20|MYB:0.60,3,0.0,0.0,0.2,0.2,0.6,23.52,-2.95,-10.31,2.288,0.652,349,0,324,31.45,1.35,-10.31,3.055,1.202,360,0,360,False,2.288
GOLD:0.30|IPO:0.20|MYB:0.50,3,0.0,0.0,0.2,0.3,0.5,22.64,-3.93,-8.75,2.554,0.937,359,0,312,29.79,-0.39,-8.75,3.363,1.531,360,0,348,False,2.554
GOLD:0.40|IPO:0.20|MYB:0.40,3,0.0,0.0,0.2,0.4,0.4,21.66,-4.95,-8.51,2.545,0.861,360,0,360,28.03,-2.27,-7.5,3.7,1.884,360,0,360,False,2.545
GOLD:0.50|IPO:0.20|MYB:0.30,3,0.0,0.0,0.2,0.5,0.3,20.63,-6.02,-10.69,1.931,0.238,304,0,360,26.23,-4.22,-6.25,4.186,2.342,360,0,360,False,1.931
