panel,subset,n,scheme,weights,cagr,cagr_lo,cagr_hi,dd,dd_worst,calmar,calmar_worst,d_cagr,d_dd,d_calmar,calmar_wins,cn_calmar,d_calmar_vs_cash,cash_wins
B,TN+VCP+IPO+GOLD,4,tilt_IPO50,GOLD:0.17|IPO:0.50|TN:0.17|VCP:0.17,28.25,26.58,30.49,-9.41,-11.9,3.006,2.326,0.68,7.61,1.404,360/360,3.55,-0.507,81/360
B,TN+VCP+IPO+GOLD,4,tilt_GOLD50,GOLD:0.50|IPO:0.17|TN:0.17|VCP:0.17,22.32,20.97,23.58,-12.66,-13.96,1.754,1.593,-5.37,4.48,0.124,298/360,3.55,-1.817,0/360
B,OA+TN+VCP+IPO+GOLD,5,sat10,GOLD:0.10|IPO:0.10|OA:0.35|TN:0.35|VCP:0.10,28.11,25.81,30.42,-12.77,-14.73,2.25,1.761,0.39,4.18,0.577,360/360,1.902,0.348,360/360
B,OA+TN+VCP+IPO+GOLD,5,sat20,GOLD:0.20|IPO:0.20|OA:0.20|TN:0.20|VCP:0.20,28.19,26.62,30.03,-10.11,-11.74,2.829,2.321,0.56,6.75,1.162,360/360,2.527,0.284,357/360
C,OA+TN,2,TN@10,OA:0.90|TN:0.10,37.52,34.68,41.1,-23.48,-27.11,1.597,1.298,7.51,-7.73,-0.323,31/360,1.597,0.0,0/360
C,OA+TN,2,TN@20,OA:0.80|TN:0.20,35.92,32.43,39.36,-21.27,-25.41,1.676,1.294,5.7,-5.66,-0.253,33/360,1.676,0.0,0/360
C,OA+TN,2,TN@25,OA:0.75|TN:0.25,34.99,31.3,38.48,-20.31,-24.56,1.715,1.291,4.78,-4.62,-0.216,39/360,1.715,0.0,0/360
C,OA+TN,2,TN@33,OA:0.67|TN:0.33,33.51,29.47,37.04,-18.78,-23.18,1.781,1.287,3.28,-3.04,-0.133,57/360,1.781,0.0,0/360
C,OA+TN,2,TN@67,OA:0.33|TN:0.67,26.93,21.55,30.67,-14.09,-18.44,1.912,1.214,-3.4,1.46,-0.064,103/360,1.912,0.0,0/360
C,OA+TN,2,TN@75,OA:0.25|TN:0.75,25.26,19.66,29.11,-14.42,-18.27,1.834,1.165,-5.03,1.26,-0.194,34/360,1.834,0.0,0/360
C,OA+TN,2,TN@80,OA:0.20|TN:0.80,24.15,18.47,28.12,-14.81,-18.33,1.728,1.132,-6.07,0.86,-0.308,8/360,1.728,0.0,0/360
C,OA+TN,2,TN@90,OA:0.10|TN:0.90,21.98,16.09,26.13,-16.78,-19.23,1.475,0.913,-8.16,-0.3,-0.544,0/360,1.475,0.0,0/360
C,OA+VCP,2,VCP@10,OA:0.90|VCP:0.10,39.63,37.23,42.55,-24.7,-27.66,1.589,1.379,9.56,-8.89,-0.314,36/360,1.563,0.022,300/360
C,OA+VCP,2,VCP@20,OA:0.80|VCP:0.20,40.01,37.53,42.79,-23.88,-26.53,1.668,1.462,9.84,-8.04,-0.244,75/360,1.625,0.042,276/360
C,OA+VCP,2,VCP@25,OA:0.75|VCP:0.25,40.1,37.66,42.9,-23.47,-25.97,1.714,1.502,9.9,-7.67,-0.211,92/360,1.661,0.054,276/360
C,OA+VCP,2,VCP@33,OA:0.67|VCP:0.33,40.33,37.86,43.04,-22.88,-25.8,1.784,1.522,10.13,-6.95,-0.147,110/360,1.733,0.055,288/360
C,OA+VCP,2,VCP@67,OA:0.33|VCP:0.67,41.25,37.58,44.2,-20.79,-25.26,2.001,1.594,10.73,-4.89,0.042,204/360,2.148,-0.13,36/360
C,OA+VCP,2,VCP@75,OA:0.25|VCP:0.75,41.44,37.06,44.85,-20.74,-25.16,2.004,1.607,10.88,-4.99,0.045,200/360,2.429,-0.404,12/360
C,OA+VCP,2,VCP@80,OA:0.20|VCP:0.80,41.57,36.72,45.24,-20.7,-25.1,1.977,1.614,10.92,-5.11,0.037,197/360,2.745,-0.717,0/360
C,OA+VCP,2,VCP@90,OA:0.10|VCP:0.90,41.7,35.98,46.01,-20.93,-25.27,1.958,1.587,11.07,-5.48,0.005,183/360,4.763,-2.856,0/360
C,OA+MYB,2,MYB@10,MYB:0.10|OA:0.90,38.85,36.7,41.99,-22.83,-25.9,1.679,1.442,8.77,-7.13,-0.219,97/360,1.563,0.117,360/360
C,OA+MYB,2,MYB@20,MYB:0.20|OA:0.80,38.45,36.43,41.25,-20.34,-22.93,1.873,1.618,8.41,-4.71,-0.034,155/360,1.625,0.249,360/360
C,OA+MYB,2,MYB@25,MYB:0.25|OA:0.75,38.22,36.27,41.0,-19.15,-21.43,1.984,1.726,8.14,-3.54,0.071,230/360,1.661,0.324,360/360
C,OA+MYB,2,MYB@33,MYB:0.33|OA:0.67,37.83,35.98,40.56,-17.29,-19.0,2.204,1.935,7.76,-1.66,0.269,305/360,1.733,0.459,360/360
C,OA+MYB,2,MYB@67,MYB:0.67|OA:0.33,35.6,33.65,38.32,-13.85,-16.39,2.582,2.149,5.43,1.82,0.647,348/360,2.148,0.438,360/360
C,OA+MYB,2,MYB@75,MYB:0.75|OA:0.25,35.0,32.89,37.78,-14.28,-16.04,2.477,2.168,4.87,1.65,0.581,343/360,2.429,0.084,228/360
C,OA+MYB,2,MYB@80,MYB:0.80|OA:0.20,34.65,32.4,37.42,-14.34,-16.18,2.409,2.145,4.44,1.41,0.503,336/360,2.745,-0.318,24/360
C,OA+MYB,2,MYB@90,MYB:0.90|OA:0.10,33.83,31.37,36.64,-15.25,-18.37,2.18,1.851,3.65,0.37,0.28,291/360,4.763,-2.54,0/360
C,OA+IPO,2,IPO@10,IPO:0.10|OA:0.90,39.71,37.57,42.95,-23.37,-26.1,1.694,1.449,9.65,-7.68,-0.22,93/360,1.563,0.128,360/360
C,OA+IPO,2,IPO@20,IPO:0.20|OA:0.80,40.19,38.03,43.35,-21.76,-23.59,1.87,1.63,10.02,-6.07,-0.073,145/360,1.625,0.193,360/360
C,OA+IPO,2,IPO@25,IPO:0.25|OA:0.75,40.46,38.11,43.62,-21.1,-22.89,1.937,1.738,10.22,-5.39,-0.007,177/360,1.661,0.226,360/360
C,OA+IPO,2,IPO@33,IPO:0.33|OA:0.67,40.84,38.21,43.99,-20.17,-21.84,2.02,1.82,10.48,-4.5,0.099,234/360,1.733,0.289,360/360
C,OA+IPO,2,IPO@67,IPO:0.67|OA:0.33,41.31,38.06,44.93,-18.09,-19.74,2.277,1.982,10.78,-2.24,0.372,326/360,2.148,0.201,324/360
C,OA+IPO,2,IPO@75,IPO:0.75|OA:0.25,41.19,37.9,44.99,-17.79,-19.27,2.316,2.004,10.67,-2.04,0.396,330/360,2.429,-0.053,108/360
C,OA+IPO,2,IPO@80,IPO:0.80|OA:0.20,41.01,37.69,45.0,-17.69,-18.99,2.315,2.016,10.68,-1.95,0.402,332/360,2.745,-0.36,0/360
C,OA+IPO,2,IPO@90,IPO:0.90|OA:0.10,40.61,37.2,44.95,-17.61,-19.15,2.336,2.037,10.42,-1.76,0.407,333/360,4.763,-2.412,0/360
C,OA+GOLD,2,GOLD@10,GOLD:0.10|OA:0.90,37.01,35.03,40.28,-21.88,-24.92,1.681,1.426,6.99,-6.13,-0.226,94/360,1.563,0.113,360/360
C,OA+GOLD,2,GOLD@20,GOLD:0.20|OA:0.80,34.81,33.07,37.69,-18.11,-20.89,1.907,1.603,4.77,-2.36,0.003,181/360,1.625,0.287,360/360
C,OA+GOLD,2,GOLD@25,GOLD:0.25|OA:0.75,33.68,32.05,36.36,-16.28,-18.82,2.061,1.724,3.66,-0.54,0.152,267/360,1.661,0.405,360/360
C,OA+GOLD,2,GOLD@33,GOLD:0.33|OA:0.67,31.83,30.39,34.21,-13.31,-15.44,2.376,1.991,1.87,2.3,0.484,338/360,1.733,0.662,360/360
C,OA+GOLD,2,GOLD@67,GOLD:0.67|OA:0.33,23.49,22.82,24.62,-8.95,-9.7,2.638,2.373,-6.72,6.82,0.732,353/360,2.148,0.497,360/360
C,OA+GOLD,2,GOLD@75,GOLD:0.75|OA:0.25,21.43,20.92,22.27,-8.62,-9.19,2.496,2.293,-8.84,7.16,0.581,347/360,2.429,0.084,288/360
C,OA+GOLD,2,GOLD@80,GOLD:0.80|OA:0.20,20.12,19.72,20.79,-8.41,-8.87,2.4,2.237,-10.21,7.34,0.492,339/360,2.745,-0.328,12/360
C,OA+GOLD,2,GOLD@90,GOLD:0.90|OA:0.10,17.47,17.27,17.8,-11.87,-12.75,1.47,1.361,-12.97,3.81,-0.452,20/360,4.763,-3.335,0/360
C,TN+VCP,2,VCP@10,TN:0.90|VCP:0.10,22.03,15.9,26.48,-16.23,-19.53,1.46,0.897,-8.21,-0.44,-0.548,0/360,1.289,0.199,360/360
C,TN+VCP,2,VCP@20,TN:0.80|VCP:0.20,24.31,18.1,28.82,-15.71,-20.01,1.646,1.089,-6.03,0.35,-0.353,5/360,1.387,0.335,360/360
C,TN+VCP,2,VCP@25,TN:0.75|VCP:0.25,25.47,19.19,29.99,-15.5,-20.26,1.693,1.162,-4.98,0.49,-0.275,11/360,1.418,0.369,353/360
C,TN+VCP,2,VCP@33,TN:0.67|VCP:0.33,27.25,20.93,31.84,-15.62,-20.65,1.775,1.252,-3.1,0.29,-0.174,50/360,1.495,0.386,332/360
C,TN+VCP,2,VCP@67,TN:0.33|VCP:0.67,34.17,28.22,39.55,-17.84,-22.37,1.908,1.449,4.34,-2.12,-0.008,175/360,2.265,-0.218,137/360
C,TN+VCP,2,VCP@75,TN:0.25|VCP:0.75,35.99,29.9,41.32,-18.78,-23.12,1.904,1.486,6.09,-3.06,-0.005,177/360,2.705,-0.67,40/360
C,TN+VCP,2,VCP@80,TN:0.20|VCP:0.80,37.19,30.94,42.42,-19.32,-23.7,1.888,1.501,7.2,-3.59,-0.012,175/360,3.157,-1.199,3/360
C,TN+VCP,2,VCP@90,TN:0.10|VCP:0.90,39.51,33.0,44.59,-20.5,-24.88,1.902,1.523,9.22,-4.81,-0.03,172/360,6.26,-4.308,0/360
C,TN+MYB,2,MYB@10,MYB:0.10|TN:0.90,21.32,15.46,25.48,-17.09,-19.08,1.394,0.824,-8.93,-0.79,-0.62,0/360,1.289,0.123,360/360
