panel,book,2008 crash ret,2008 crash dd,2020 crash ret,2020 crash dd,2018 grind ret,2018 grind dd,2022H1 grind ret,2022H1 grind dd
A,TN+OA 50-50 (DEPLOYED BASELINE),,,-1.4,-8.3,-10.2,-12.7,-5.3,-11.0
A,OA+TN+IPO+GOLD 25/25/25/25,,,1.3,-0.1,-3.0,-7.9,-1.8,-6.8
A,OA+TN+IPO+GOLD 30/30/20/20,,,0.8,-0.4,-4.4,-8.7,-2.5,-7.5
A,OA+TN+IPO+GOLD 40/40/10/10,,,-0.3,-1.1,-7.3,-10.2,-3.9,-9.3
A,OA+IPO+GOLD 33/33/33,,,1.5,-0.3,-0.7,-8.3,-1.1,-7.4
A,OA+TN+MYB+IPO+GOLD 20 each,,,1.5,-0.0,-2.8,-6.2,-3.0,-7.8
A,OA+TN+GOLD 45/45/10 (r147 rec),,,0.1,-4.0,-8.7,-11.0,-4.2,-9.5
A,OA+TN+GOLD 40/40/20,,,1.6,-1.4,-7.2,-9.5,-3.1,-8.1
A,OA+MYB 50-50 (r152 question),,,-0.7,-2.4,-6.3,-8.2,-7.2,-13.6
A,TN+OA 80 / GOLD 10 / MYB 10,,,0.4,-3.1,-7.8,-9.8,-4.4,-9.5
A,OA+TN+VCP 33 each,,,-1.3,-6.8,-12.7,-13.8,-8.5,-11.3
A,OA alone,,,-3.7,-9.7,-10.8,-18.3,-7.2,-17.4
A,TN alone,,,1.0,-13.7,-10.7,-14.7,-4.7,-10.9
A,VCP alone,,,-1.1,-8.1,-18.4,-18.6,-14.3,-16.8
A,MYB alone,,,2.2,-2.0,-2.6,-6.8,-7.5,-13.6
A,IPO alone,,,-5.5,-5.9,3.2,-11.9,-3.1,-11.9
A,GOLD alone,,,13.9,0.0,4.6,-14.4,6.1,-12.5
B,TN+OA 50-50 (DEPLOYED BASELINE),0.8,-16.5,-1.4,-8.3,-10.2,-12.7,-5.3,-11.0
B,OA+TN+IPO+GOLD 25/25/25/25,9.0,-5.5,1.3,-0.1,-3.0,-7.9,-1.8,-6.8
B,OA+TN+IPO+GOLD 30/30/20/20,7.3,-7.5,0.8,-0.4,-4.4,-8.7,-2.5,-7.5
B,OA+TN+IPO+GOLD 40/40/10/10,4.0,-11.5,-0.3,-1.1,-7.3,-10.2,-3.9,-9.3
B,OA+IPO+GOLD 33/33/33,12.2,-4.1,1.5,-0.3,-0.7,-8.3,-1.1,-7.4
B,OA+TN+GOLD 45/45/10 (r147 rec),3.7,-13.2,0.1,-4.0,-8.7,-11.0,-4.2,-9.5
B,OA+TN+GOLD 40/40/20,6.6,-10.9,1.6,-1.4,-7.2,-9.5,-3.1,-8.1
B,OA+TN+VCP 33 each,-9.1,-22.0,-1.3,-6.8,-12.7,-13.8,-8.5,-11.3
B,OA alone,1.5,-17.7,-3.7,-9.7,-10.8,-18.3,-7.2,-17.4
B,TN alone,-0.5,-16.4,1.0,-13.7,-10.7,-14.7,-4.7,-10.9
B,VCP alone,-26.5,-35.6,-1.1,-8.1,-18.4,-18.6,-14.3,-16.8
B,IPO alone,3.8,-2.7,-5.5,-5.9,3.2,-11.9,-3.1,-11.9
B,GOLD alone,29.2,-13.1,13.9,0.0,4.6,-14.4,6.1,-12.5
C,TN+OA 50-50 (DEPLOYED BASELINE),,,-1.4,-8.3,-10.2,-12.7,-5.3,-11.0
C,OA+TN+IPO+GOLD 25/25/25/25,,,1.3,-0.1,-3.0,-7.9,-1.8,-6.8
C,OA+TN+IPO+GOLD 30/30/20/20,,,0.8,-0.4,-4.4,-8.7,-2.5,-7.5
C,OA+TN+IPO+GOLD 40/40/10/10,,,-0.3,-1.1,-7.3,-10.2,-3.9,-9.3
C,OA+IPO+GOLD 33/33/33,,,1.5,-0.3,-0.7,-8.3,-1.1,-7.4
C,OA+TN+MYB+IPO+GOLD 20 each,,,1.5,-0.0,-2.8,-6.2,-3.0,-7.8
C,OA+TN+GOLD 45/45/10 (r147 rec),,,0.1,-4.0,-8.7,-11.0,-4.2,-9.5
C,OA+TN+GOLD 40/40/20,,,1.6,-1.4,-7.2,-9.5,-3.1,-8.1
C,OA+MYB 50-50 (r152 question),,,-0.7,-2.4,-6.3,-8.2,-7.2,-13.6
C,TN+OA 80 / GOLD 10 / MYB 10,,,0.4,-3.1,-7.8,-9.8,-4.4,-9.5
C,OA+TN+VCP 33 each,,,-1.3,-6.8,-12.7,-13.8,-8.5,-11.3
C,OA alone,,,-3.7,-9.7,-10.8,-18.3,-7.2,-17.4
C,TN alone,,,1.0,-13.7,-10.7,-14.7,-4.7,-10.9
C,VCP alone,,,-1.1,-8.1,-18.4,-18.6,-14.3,-16.8
C,MYB alone,,,2.2,-2.0,-2.6,-6.8,-7.5,-13.6
C,IPO alone,,,-5.5,-5.9,3.2,-11.9,-3.1,-11.9
C,GOLD alone,,,13.9,0.0,4.6,-6.2,6.1,-12.5
