panel,subset,n,scheme,weights,cagr,cagr_lo,cagr_hi,dd,dd_worst,calmar,calmar_worst,d_cagr,d_dd,d_calmar,calmar_wins,cn_calmar,d_calmar_vs_cash,cash_wins
A,TN+OA,2,BASELINE 50-50,OA:0.50|TN:0.50,26.63,23.12,29.91,-15.69,-20.26,1.685,1.149,0.0,0.0,0.0,-,,,-
A,OA+TN,2,EW,OA:0.50|TN:0.50,26.63,23.12,29.91,-15.69,-20.26,1.685,1.149,0.0,0.0,0.0,0/360,1.685,0.0,0/360
A,OA+VCP,2,EW,OA:0.50|VCP:0.50,34.56,32.72,36.69,-21.5,-25.51,1.644,1.336,7.98,-5.53,-0.075,141/360,1.645,-0.005,168/360
A,OA+MYB,2,EW,MYB:0.50|OA:0.50,29.13,27.97,31.28,-14.5,-17.23,2.017,1.655,2.6,1.15,0.316,314/360,1.645,0.381,360/360
A,OA+IPO,2,EW,IPO:0.50|OA:0.50,32.91,30.83,35.03,-18.76,-20.77,1.75,1.552,6.18,-3.03,0.078,217/360,1.645,0.148,348/360
A,OA+GOLD,2,EW,GOLD:0.50|OA:0.50,24.13,23.34,25.51,-10.56,-11.27,2.3,2.097,-2.45,5.22,0.627,352/360,1.645,0.675,360/360
A,TN+VCP,2,EW,TN:0.50|VCP:0.50,26.8,22.39,30.58,-16.56,-21.49,1.608,1.191,0.21,-0.94,-0.079,105/360,1.605,0.078,221/360
A,TN+MYB,2,EW,MYB:0.50|TN:0.50,21.67,18.29,24.67,-13.47,-19.59,1.593,0.983,-5.04,2.31,-0.089,126/360,1.605,0.074,231/360
A,TN+IPO,2,EW,IPO:0.50|TN:0.50,24.93,21.26,28.5,-11.61,-14.63,2.181,1.522,-1.96,3.96,0.403,353/360,1.605,0.584,360/360
A,TN+GOLD,2,EW,GOLD:0.50|TN:0.50,16.78,14.36,18.7,-14.54,-16.62,1.124,0.965,-9.85,1.62,-0.502,0/360,1.605,-0.257,30/360
A,VCP+MYB,2,EW,MYB:0.50|VCP:0.50,29.46,27.15,30.99,-14.87,-16.91,1.969,1.665,2.88,0.8,0.293,310/360,,,n/a
A,VCP+IPO,2,EW,IPO:0.50|VCP:0.50,33.13,31.16,35.2,-14.94,-17.92,2.201,1.854,6.54,0.63,0.508,346/360,,,n/a
A,VCP+GOLD,2,EW,GOLD:0.50|VCP:0.50,24.84,22.56,26.09,-13.8,-15.28,1.786,1.578,-1.99,1.9,0.093,236/360,,,n/a
A,MYB+IPO,2,EW,IPO:0.50|MYB:0.50,27.59,25.91,29.08,-12.72,-14.2,2.171,1.947,0.87,2.95,0.469,339/360,,,n/a
A,MYB+GOLD,2,EW,GOLD:0.50|MYB:0.50,19.21,18.33,20.18,-11.39,-11.39,1.687,1.61,-7.43,4.3,-0.006,177/360,,,n/a
A,IPO+GOLD,2,EW,GOLD:0.50|IPO:0.50,22.39,21.18,23.79,-10.2,-10.2,2.195,2.077,-4.24,5.49,0.52,346/360,,,n/a
