cand,offset,w3,cagr_med,cagr_min,dd_med,dd_worst,calmar_med
NAS_TF,4,0.25,28.3,27.97,-17.7,-18.37,1.62
NAS_TF,4,0.33,27.38,27.09,-18.46,-19.06,1.5
NAS_TF,8,0.0,27.15,26.7,-15.99,-16.54,1.72
NAS_TF,8,0.1,26.55,26.15,-16.25,-17.06,1.65
NAS_TF,8,0.15,26.23,25.84,-16.68,-17.45,1.6
NAS_TF,8,0.2,25.88,25.52,-17.14,-17.86,1.52
NAS_TF,8,0.25,25.52,25.19,-17.61,-18.28,1.46
NAS_TF,8,0.33,24.91,24.61,-18.38,-18.98,1.37
GN5050,0,0.0,29.63,29.16,-14.88,-16.69,2.02
GN5050,0,0.1,28.91,28.49,-12.48,-13.63,2.33
GN5050,0,0.15,28.53,28.14,-11.52,-12.41,2.54
GN5050,0,0.2,28.14,27.77,-10.98,-11.66,2.59
GN5050,0,0.25,27.74,27.4,-11.03,-11.33,2.54
GN5050,0,0.33,27.07,26.77,-11.13,-11.56,2.42
GN5050,4,0.0,30.87,30.44,-17.49,-18.87,1.77
GN5050,4,0.1,30.04,29.65,-14.75,-15.77,2.03
GN5050,4,0.15,29.59,29.23,-13.57,-14.64,2.19
GN5050,4,0.2,29.14,28.8,-12.75,-13.72,2.3
GN5050,4,0.25,28.68,28.36,-12.38,-12.89,2.33
GN5050,4,0.33,27.91,27.63,-12.15,-12.58,2.29
GN5050,8,0.0,27.15,26.7,-15.99,-16.54,1.72
GN5050,8,0.1,26.69,26.29,-13.94,-15.18,1.94
GN5050,8,0.15,26.44,26.07,-13.08,-14.5,2.05
GN5050,8,0.2,26.19,25.83,-12.32,-13.82,2.13
GN5050,8,0.25,25.91,25.58,-11.78,-13.14,2.2
GN5050,8,0.33,25.45,25.15,-11.75,-12.23,2.16
GNG3,0,0.0,32.86,32.18,-14.88,-16.69,2.24
GNG3,0,0.1,31.4,30.8,-12.27,-13.68,2.57
GNG3,0,0.15,30.66,30.1,-11.0,-12.51,2.8
GNG3,0,0.2,29.92,29.39,-10.07,-11.34,2.98
GNG3,0,0.25,29.16,28.68,-9.78,-10.4,2.96
GNG3,0,0.33,27.95,27.52,-9.57,-10.15,2.91
GNG3,4,0.0,33.61,32.95,-17.49,-18.87,1.92
GNG3,4,0.1,32.08,31.5,-14.52,-15.62,2.2
GNG3,4,0.15,31.31,30.77,-13.12,-14.35,2.38
