cand,start,cagr,dd,sharpe,calmar,corr_tn,corr_oa,ret_2015-16,ret_2018,ret_2020crash,ret_2022H1
GOLD,2015-01-01,15.05,-24.44,1.0,0.62,-0.039,0.081,16.5,7.2,17.6,4.9
NAS,2015-01-01,23.78,-36.59,1.07,0.65,0.079,0.142,3.8,21.5,4.5,-25.2
GILT,2016-07-14,6.61,-22.8,0.66,0.29,0.022,0.007,,2.7,6.4,-5.1
GOLD_TF,2015-01-01,13.92,-24.44,1.0,0.57,-0.034,0.101,11.8,0.5,17.6,4.9
NAS_TF,2015-01-01,18.15,-35.47,0.95,0.51,0.071,0.129,-2.5,21.5,4.5,-15.6
GN5050,2015-01-01,20.33,-19.56,1.41,1.04,0.042,0.158,10.7,14.8,11.7,-10.9
GNG3,2016-07-14,17.13,-11.34,1.66,1.51,0.045,0.157,,11.1,11.2,-8.9
GTAA_EW,2015-01-01,17.39,-22.76,1.46,0.76,0.142,0.281,0.4,10.2,1.8,-10.5
GTAA_TF,2015-01-01,14.57,-14.65,1.5,0.99,0.158,0.28,1.8,7.8,6.6,-5.4
TLS,2005-01-03,4.63,-61.04,0.33,0.08,0.258,0.232,7.6,0.6,-35.6,-4.7
TSHORT,2005-01-03,-0.18,-48.95,0.04,-0.0,-0.033,-0.083,15.9,4.0,-11.8,5.0
SECROT,2015-01-01,10.58,-53.24,0.59,0.2,0.365,0.389,-17.6,5.5,-31.6,-18.3
CASHNULL,2015-01-01,4.91,0.0,41251750794087.58,,-0.004,-0.024,2.8,4.0,1.1,2.4
