variant,direction,phase,trades,wins,losses,win_rate_pct,avg_win,avg_loss,avg_days_held,profit_factor,net_pnl,cagr_pct,sharpe,max_dd_pct,calmar,final_equity
adx_30,LONG,IS,390,143,247,36.67,24347.0,-6634.0,53.9,2.12,1842965.0,6.04,0.51,27.33,0.22,1340261.0
adx_30,LONG,OOS,225,96,129,42.67,14259.0,-5991.0,34.3,1.77,596051.0,15.5,1.3,16.47,0.94,1539540.0
adx_25_confluence,LONG,IS,386,153,233,39.64,28165.0,-7445.0,54.3,2.48,2574613.0,11.59,0.89,26.43,0.44,1729418.0
adx_25_confluence,LONG,OOS,258,91,167,35.27,13171.0,-5465.0,30.6,1.31,285871.0,7.52,0.68,17.95,0.42,1242412.0
adx_25_pure,LONG,IS,401,162,239,40.4,30296.0,-7999.0,60.8,2.57,2996064.0,11.86,0.89,28.04,0.42,1749817.0
adx_25_pure,LONG,OOS,260,89,171,34.23,11975.0,-5124.0,31.9,1.22,189466.0,4.7,0.44,15.08,0.31,1147348.0
