label,family,params,tax,rt,n_trades,win_rate,avg_win,avg_loss,expectancy,max_lose_streak,tax_paid,corr_tn_d,secs,w0_cagr,w0_dd,w0_sharpe,w0_calmar,wa_cagr,wa_dd,wa_sharpe,wa_calmar,w1_cagr,w1_dd,w1_sharpe,w1_calmar,w2_cagr,w2_dd,w2_sharpe,w2_calmar
c_rsi2_5_tax1,conn,"{'th': 5, 'sl': 0.07, 'time': 7, 'rsi_exit': 65}",1,0.005,6374,60.6,2.84,-4.7,-0.13,16,13.8,0.276,0.6,-3.59,-60.93,-0.16,-0.06,-1.46,-45.58,-0.02,-0.03,0.76,-26.73,0.12,0.03,-5.8,-45.23,-0.21,-0.13
c_rsi2_15_tax0,conn,"{'th': 15, 'sl': 0.07, 'time': 7, 'rsi_exit': 65}",0,0.005,8416,60.4,2.72,-4.51,-0.143,17,0.0,0.291,0.6,-5.34,-75.98,-0.24,-0.07,-4.41,-62.11,-0.19,-0.07,-7.63,-44.99,-0.51,-0.17,-5.79,-57.86,-0.18,-0.1
c_rsi2_15_tax1,conn,"{'th': 15, 'sl': 0.07, 'time': 7, 'rsi_exit': 65}",1,0.005,8416,60.4,2.72,-4.51,-0.143,17,13.2,0.3,0.7,-6.46,-80.77,-0.3,-0.08,-5.49,-66.61,-0.26,-0.08,-8.05,-44.99,-0.54,-0.18,-7.82,-59.27,-0.28,-0.13
c_rsi3_15_tax0,conn,"{'th': 15, 'sl': 0.07, 'time': 7, 'rsi_exit': 65, 'rsi3': True}",0,0.005,6649,60.2,2.86,-4.65,-0.126,16,0.0,0.267,0.5,-2.95,-63.97,-0.11,-0.05,-0.95,-45.77,0.02,-0.02,-0.66,-32.89,0.01,-0.02,-3.4,-45.77,-0.07,-0.07
c_rsi3_15_tax1,conn,"{'th': 15, 'sl': 0.07, 'time': 7, 'rsi_exit': 65, 'rsi3': True}",1,0.005,6649,60.2,2.86,-4.65,-0.126,16,12.9,0.276,0.6,-3.92,-67.98,-0.17,-0.06,-1.94,-47.73,-0.05,-0.04,-1.11,-32.89,-0.02,-0.03,-5.24,-45.77,-0.16,-0.11
c_rsi2_10_sl5_tax0,conn,"{'th': 10, 'sl': 0.05, 'time': 7, 'rsi_exit': 65}",0,0.005,8231,59.4,2.86,-4.59,-0.163,18,0.0,0.287,0.6,-5.66,-76.82,-0.27,-0.07,-5.3,-67.28,-0.26,-0.08,-6.0,-40.15,-0.4,-0.15,-8.79,-60.92,-0.34,-0.14
c_rsi2_10_sl5_tax1,conn,"{'th': 10, 'sl': 0.05, 'time': 7, 'rsi_exit': 65}",1,0.005,8231,59.4,2.86,-4.59,-0.163,18,12.0,0.295,0.7,-6.59,-80.75,-0.33,-0.08,-6.1,-70.56,-0.31,-0.09,-6.29,-40.15,-0.43,-0.16,-10.29,-61.93,-0.42,-0.17
c_rsi2_10_sma5_tax0,conn,"{'th': 10, 'sl': 0.07, 'time': 10, 'rsi_exit': None}",0,0.005,7526,60.5,2.78,-4.65,-0.154,17,0.0,0.283,0.6,-4.87,-72.56,-0.22,-0.07,-3.72,-57.93,-0.16,-0.06,-3.91,-37.78,-0.24,-0.1,-6.6,-57.7,-0.23,-0.11
c_rsi2_10_sma5_tax1,conn,"{'th': 10, 'sl': 0.07, 'time': 10, 'rsi_exit': None}",1,0.005,7526,60.5,2.78,-4.65,-0.154,17,13.3,0.291,0.7,-5.86,-77.55,-0.28,-0.08,-4.6,-62.67,-0.22,-0.07,-4.28,-37.78,-0.27,-0.11,-8.26,-57.7,-0.32,-0.14
w7_tax0,wash,"{'sl': 0.07, 'time': 7}",0,0.005,7349,57.1,3.15,-4.84,-0.28,17,0.0,0.33,0.5,-9.42,-90.05,-0.52,-0.1,-9.17,-80.33,-0.54,-0.11,-13.05,-46.9,-0.98,-0.28,-13.48,-66.37,-0.62,-0.2
w7_tax1,wash,"{'sl': 0.07, 'time': 7}",1,0.005,7350,57.1,3.15,-4.84,-0.28,17,6.9,0.336,0.6,-10.12,-91.49,-0.56,-0.11,-9.73,-81.83,-0.58,-0.12,-13.05,-46.9,-0.98,-0.28,-14.53,-67.35,-0.68,-0.22
w10_tax0,wash,"{'sl': 0.07, 'time': 7, 'n10': True}",0,0.005,6878,57.1,3.14,-4.76,-0.249,20,0.0,0.32,0.5,-7.56,-87.91,-0.41,-0.09,-6.57,-73.6,-0.38,-0.09,-7.92,-41.44,-0.59,-0.19,-10.77,-64.5,-0.49,-0.17
w10_tax1,wash,"{'sl': 0.07, 'time': 7, 'n10': True}",1,0.005,6878,57.1,3.14,-4.76,-0.248,20,8.2,0.327,0.6,-8.36,-89.62,-0.46,-0.09,-7.22,-75.48,-0.42,-0.1,-7.92,-41.44,-0.59,-0.19,-12.06,-65.34,-0.56,-0.18
w7_sl5_tax0,wash,"{'sl': 0.05, 'time': 7}",0,0.005,7788,56.2,3.2,-4.79,-0.297,20,0.0,0.329,0.5,-10.52,-92.19,-0.59,-0.11,-10.77,-84.48,-0.65,-0.13,-15.35,-50.02,-1.18,-0.31,-15.7,-71.75,-0.75,-0.22
w7_sl5_tax1,wash,"{'sl': 0.05, 'time': 7}",1,0.005,7788,56.2,3.2,-4.79,-0.297,20,6.7,0.336,0.6,-11.18,-93.29,-0.63,-0.12,-11.26,-85.65,-0.69,-0.13,-15.35,-50.02,-1.18,-0.31,-16.69,-72.42,-0.81,-0.23
w7_t10_tax0,wash,"{'sl': 0.07, 'time': 10}",0,0.005,6741,59.6,3.17,-5.29,-0.253,18,0.0,0.325,0.6,-7.86,-85.52,-0.42,-0.09,-7.7,-74.38,-0.45,-0.1,-11.92,-44.93,-0.91,-0.27,-11.0,-61.37,-0.49,-0.18
w7_t10_tax1,wash,"{'sl': 0.07, 'time': 10}",1,0.005,6741,59.6,3.17,-5.3,-0.255,18,9.4,0.333,0.7,-8.78,-88.2,-0.48,-0.1,-8.53,-77.22,-0.5,-0.11,-11.92,-44.93,-0.91,-0.27,-12.56,-62.89,-0.58,-0.2
