cand,offset,w3,cagr_med,cagr_min,dd_med,dd_worst,calmar_med,calmar_min,corr_tn,corr_oa
kc_crash,0,0.0,27.16,26.68,-16.38,-16.69,1.65,1.6,0.112,0.147
kc_crash,0,0.1,24.84,24.41,-16.17,-16.36,1.53,1.51,0.112,0.147
kc_crash,0,0.15,23.68,23.28,-16.12,-16.3,1.46,1.44,0.112,0.147
kc_crash,0,0.2,22.52,22.15,-16.09,-16.26,1.39,1.38,0.112,0.147
kc_crash,0,0.25,21.37,21.02,-16.07,-16.22,1.32,1.31,0.112,0.147
kc_crash,0,0.33,19.52,19.21,-16.05,-16.19,1.21,1.2,0.112,0.147
kc_crash,4,0.0,27.62,27.14,-18.11,-18.87,1.53,1.44,0.112,0.147
kc_crash,4,0.1,25.27,24.84,-16.91,-17.1,1.48,1.47,0.112,0.147
kc_crash,4,0.15,24.08,23.68,-16.83,-17.01,1.42,1.41,0.112,0.147
kc_crash,4,0.2,22.9,22.53,-16.76,-16.92,1.36,1.35,0.112,0.147
kc_crash,4,0.25,21.72,21.38,-16.7,-16.85,1.29,1.28,0.112,0.147
kc_crash,4,0.33,19.84,19.53,-16.62,-16.75,1.19,1.18,0.112,0.147
kc_crash,8,0.0,25.23,24.76,-15.99,-16.54,1.6,1.51,0.112,0.147
kc_crash,8,0.1,23.14,22.72,-15.49,-15.68,1.48,1.47,0.112,0.147
kc_crash,8,0.15,22.09,21.7,-15.49,-15.67,1.42,1.4,0.112,0.147
kc_crash,8,0.2,21.04,20.67,-15.5,-15.67,1.35,1.33,0.112,0.147
kc_crash,8,0.25,19.98,19.64,-15.52,-15.67,1.28,1.27,0.112,0.147
kc_crash,8,0.33,18.3,18.0,-15.57,-15.71,1.17,1.16,0.112,0.147
kc_m15,0,0.0,27.16,26.68,-16.38,-16.69,1.65,1.6,0.061,0.078
kc_m15,0,0.1,24.79,24.37,-17.06,-17.26,1.44,1.43,0.061,0.078
kc_m15,0,0.15,23.61,23.21,-17.46,-17.64,1.35,1.33,0.061,0.078
kc_m15,0,0.2,22.44,22.06,-17.85,-18.02,1.25,1.24,0.061,0.078
kc_m15,0,0.25,21.25,20.91,-18.25,-18.41,1.16,1.15,0.061,0.078
kc_m15,0,0.33,19.38,19.07,-18.88,-19.03,1.02,1.01,0.061,0.078
kc_m15,4,0.0,27.62,27.14,-18.11,-18.87,1.53,1.44,0.061,0.078
kc_m15,4,0.1,25.21,24.79,-17.8,-17.98,1.41,1.39,0.061,0.078
kc_m15,4,0.15,24.02,23.62,-18.14,-18.32,1.32,1.3,0.061,0.078
kc_m15,4,0.2,22.81,22.44,-18.48,-18.66,1.23,1.22,0.061,0.078
kc_m15,4,0.25,21.62,21.27,-18.84,-19.0,1.14,1.13,0.061,0.078
kc_m15,4,0.33,19.7,19.4,-19.41,-19.55,1.01,1.0,0.061,0.078
kc_m15,8,0.0,25.23,24.76,-15.99,-16.54,1.6,1.51,0.061,0.078
kc_m15,8,0.1,23.1,22.68,-16.38,-16.56,1.4,1.39,0.061,0.078
kc_m15,8,0.15,22.03,21.64,-16.8,-16.98,1.3,1.29,0.061,0.078
kc_m15,8,0.2,20.96,20.59,-17.23,-17.4,1.21,1.2,0.061,0.078
kc_m15,8,0.25,19.89,19.55,-17.67,-17.83,1.12,1.11,0.061,0.078
kc_m15,8,0.33,18.18,17.87,-18.37,-18.51,0.98,0.98,0.061,0.078
kc_base,0,0.0,27.16,26.68,-16.38,-16.69,1.65,1.6,0.118,0.141
kc_base,0,0.1,24.73,24.3,-17.86,-18.05,1.38,1.36,0.118,0.141
kc_base,0,0.15,23.5,23.11,-18.64,-18.82,1.25,1.24,0.118,0.141
kc_base,0,0.2,22.3,21.92,-19.42,-19.59,1.14,1.13,0.118,0.141
kc_base,0,0.25,21.09,20.74,-20.2,-20.36,1.04,1.03,0.118,0.141
kc_base,0,0.33,19.16,18.85,-21.45,-21.59,0.89,0.88,0.118,0.141
kc_base,4,0.0,27.62,27.14,-18.11,-18.87,1.53,1.44,0.118,0.141
kc_base,4,0.1,25.14,24.72,-18.58,-18.77,1.35,1.33,0.118,0.141
kc_base,4,0.15,23.91,23.51,-19.31,-19.49,1.23,1.22,0.118,0.141
kc_base,4,0.2,22.68,22.31,-20.05,-20.21,1.13,1.12,0.118,0.141
kc_base,4,0.25,21.45,21.1,-20.78,-20.94,1.03,1.02,0.118,0.141
kc_base,4,0.33,19.48,19.17,-21.96,-22.1,0.88,0.88,0.118,0.141
kc_base,8,0.0,25.23,24.76,-15.99,-16.54,1.6,1.51,0.118,0.141
kc_base,8,0.1,23.03,22.61,-17.17,-17.36,1.33,1.32,0.118,0.141
kc_base,8,0.15,21.93,21.53,-17.99,-18.17,1.21,1.2,0.118,0.141
kc_base,8,0.2,20.82,20.45,-18.81,-18.98,1.1,1.09,0.118,0.141
kc_base,8,0.25,19.71,19.38,-19.64,-19.79,1.0,0.99,0.118,0.141
kc_base,8,0.33,17.95,17.65,-20.95,-21.09,0.85,0.84,0.118,0.141
cashnull,0,0.0,27.16,26.68,-16.38,-16.69,1.65,1.6,-0.005,-0.004
cashnull,0,0.1,24.91,24.49,-14.48,-14.67,1.71,1.69,-0.005,-0.004
cashnull,0,0.15,23.8,23.39,-13.56,-13.74,1.75,1.72,-0.005,-0.004
cashnull,0,0.2,22.68,22.3,-12.64,-12.82,1.79,1.76,-0.005,-0.004
cashnull,0,0.25,21.55,21.21,-11.72,-11.89,1.83,1.81,-0.005,-0.004
cashnull,0,0.33,19.77,19.46,-10.25,-10.39,1.92,1.89,-0.005,-0.004
cashnull,4,0.0,27.62,27.14,-18.11,-18.87,1.53,1.44,-0.005,-0.004
cashnull,4,0.1,25.34,24.91,-15.94,-16.41,1.58,1.52,-0.005,-0.004
cashnull,4,0.15,24.2,23.8,-14.94,-15.23,1.62,1.56,-0.005,-0.004
cashnull,4,0.2,23.06,22.69,-13.89,-14.21,1.65,1.6,-0.005,-0.004
cashnull,4,0.25,21.92,21.57,-12.82,-13.18,1.71,1.64,-0.005,-0.004
cashnull,4,0.33,20.1,19.79,-11.2,-11.53,1.8,1.72,-0.005,-0.004
cashnull,8,0.0,25.23,24.76,-15.99,-16.54,1.6,1.51,-0.005,-0.004
cashnull,8,0.1,23.22,22.8,-14.07,-14.43,1.65,1.61,-0.005,-0.004
cashnull,8,0.15,22.21,21.81,-13.04,-13.42,1.69,1.66,-0.005,-0.004
cashnull,8,0.2,21.2,20.82,-12.14,-12.43,1.74,1.71,-0.005,-0.004
cashnull,8,0.25,20.18,19.84,-11.23,-11.44,1.79,1.77,-0.005,-0.004
cashnull,8,0.33,18.55,18.25,-9.73,-9.88,1.9,1.87,-0.005,-0.004
