symbol,cohort,best_timeframe,best_variant,best_direction,best_exit_policy,best_n,best_mean_pct,best_win_rate,best_payoff,best_sharpe,robust_cells_count,promote
GODREJPROP,B,15min,s_vm1.5_gap0.003_rsi40_60,short,T_R_TARGET_1.0R,10,1.5268,100.0,999.0,2.32246,194,False
HAL,B,5min,s_vm1.5_gap0.005_rsi40_60,short,T_NO,10,1.4088,90.0,17.465,1.35446,155,False
RELIANCE,A,15min,s_vm3.0_gap0.000_rsi40_60,short,T_R_TARGET_1.0R,14,1.1663,92.86,1.844,0.88056,400,False
DELHIVERY,B,15min,s_vm2.0_gapoff_norsi,short,T_R_TARGET_1.0R,10,1.3981000000000001,80.0,2.969,0.84144,166,False
ONGC,B,10min,s_vm1.5_gap0.000_rsi40_60,short,T_STEP_TRAIL,10,0.5563,90.0,1.974,0.81268,52,False
PERSISTENT,B,5min,l_vm3.0_gapoff_norsi,long,T_R_TARGET_1.0R,11,1.4241,81.82,2.222,0.79616,20,False
TATACONSUM,B,10min,l_vm1.5_gap0.005_rsi40_60,long,T_R_TARGET_1.0R,10,0.5407000000000001,80.0,2.29,0.70825,5,False
NESTLEIND,B,10min,l_vm2.0_gap0.000_rsi40_60,long,T_R_TARGET_1.5R,11,1.1847,72.73,4.874,0.70093,17,False
JINDALSTEL,B,5min,l_vm3.0_gapoff_norsi,long,T_CHANDELIER_1.0,10,1.4601,80.0,2.733,0.69178,27,False
EICHERMOT,B,5min,l_vm3.0_gapoff_norsi,long,T_R_TARGET_1.0R,10,0.5042,80.0,1.405,0.653,10,False
PIDILITIND,B,10min,s_vm2.0_gapoff_norsi,short,T_R_TARGET_1.0R,10,0.5255,70.0,3.588,0.64,6,False
LT,B,15min,l_vm2.0_gap0.003_rsi40_60,long,T_R_TARGET_3.0R,11,0.6756,81.82,0.94,0.57369,59,False
WIPRO,B,10min,s_vm2.0_gap0.003_rsi40_60,short,T_R_TARGET_1.0R,12,0.6782,83.33,1.047,0.5724,62,False
HAVELLS,B,10min,l_vm1.5_gap0.000_rsi40_60,long,T_R_TARGET_1.0R,14,0.6125,78.57,1.62,0.567,4,False
COFORGE,B,5min,l_vm2.0_gap0.003_norsi,long,T_R_TARGET_1.0R,13,0.9809,69.23,4.679,0.55348,86,False
BAJAJ-AUTO,B,10min,l_vm2.0_gap0.003_norsi,long,T_R_TARGET_1.0R,13,0.4451,84.62,1.039,0.52597,31,False
VEDL,B,15min,l_vm2.0_gapoff_rsi40_60,long,T_R_TARGET_1.0R,18,0.6891999999999999,72.22,2.103,0.50897,15,True
BAJFINANCE,B,10min,s_vm1.5_gap0.000_rsi40_60,short,T_R_TARGET_1.0R,13,0.5348,76.92,1.537,0.50458,52,False
ASIANPAINT,B,10min,l_vm1.5_gap0.005_rsi40_60,long,T_R_TARGET_1.0R,13,0.4157,76.92,1.221,0.48084,6,False
IOC,B,5min,s_vm3.0_gap0.000_norsi,short,T_STEP_TRAIL,11,0.10269999999999999,54.55,999.0,0.46053,4,False
BPCL,B,10min,s_vm3.0_gap0.000_norsi,short,T_ATR_SL_0.3,13,1.3395000000000001,69.23,2.999,0.45591,36,False
CHOLAFIN,B,10min,l_vm1.5_gap0.003_norsi,long,T_ATR_SL_0.5,11,1.0281,63.64,3.19,0.43446,96,False
VOLTAS,B,10min,l_vm3.0_gap0.000_norsi,long,T_R_TARGET_1.0R,10,0.7272,70.0,1.497,0.41461,9,False
MARUTI,B,10min,l_vm1.5_gapoff_rsi40_60,long,T_R_TARGET_1.0R,24,0.4535,75.0,1.213,0.41433,4,False
ULTRACEMCO,B,5min,s_vm1.5_gapoff_norsi,short,T_R_TARGET_1.0R,11,0.27759999999999996,72.73,2.08,0.399,1,False
ICICIBANK,A,15min,s_vm2.0_gap0.005_rsi40_60,short,T_R_TARGET_1.0R,17,0.6338,64.71,2.461,0.39343,8,False
SHREECEM,B,10min,s_vm1.5_gap0.005_norsi,short,T_NO,12,0.6034,66.67,2.088,0.38014,6,False
SIEMENS,B,10min,s_vm1.5_gapoff_norsi,short,T_ATR_SL_0.5,12,1.0527,75.0,1.349,0.37044,24,False
POWERGRID,B,10min,l_vm2.0_gapoff_norsi,long,T_R_TARGET_1.5R,10,0.4003,70.0,1.455,0.35913,12,False
DLF,B,5min,s_vm2.0_gap0.000_norsi,short,T_ATR_SL_1.0,14,0.7572,78.57,0.835,0.35572,9,False
HINDUNILVR,A,5min,s_vm3.0_gapoff_norsi,short,T_ATR_SL_1.0,24,0.5826,75.0,1.186,0.35235,10,False
DABUR,B,10min,l_vm2.0_gapoff_norsi,long,T_R_TARGET_1.0R,11,0.43039999999999995,63.64,1.898,0.34269,8,False
KOTAKBANK,A,10min,l_vm3.0_gap0.003_norsi,long,T_CHANDELIER_1.0,22,0.8189,63.64,2.689,0.33605,26,False
BAJAJFINSV,B,15min,l_vm2.0_gap0.003_norsi,long,T_ATR_SL_0.3,10,1.1162,60.0,4.109,0.33295,2,False
ADANIPORTS,B,10min,s_vm1.5_gap0.000_norsi,short,T_R_TARGET_1.5R,12,1.4073,66.67,4.314,0.32546,3,False
ITC,A,15min,s_vm2.0_gap0.003_rsi40_60,short,T_R_TARGET_2.0R,17,1.0873000000000002,58.82,3.753,0.31367,1,False
BEL,B,15min,s_vm1.5_gap0.000_norsi,short,T_R_TARGET_1.0R,11,1.0388,72.73,2.157,0.30249,1,False
FEDERALBNK,B,15min,l_vm1.5_gap0.005_rsi40_60,long,T_NO,14,0.722,57.14,3.325,0.29691,0,False
TRENT,B,10min,s_vm2.0_gap0.000_norsi,short,T_CHANDELIER_1.0,11,0.6322,63.64,1.622,0.29619,0,False
MUTHOOTFIN,B,10min,s_vm2.0_gapoff_norsi,short,T_R_TARGET_1.0R,13,0.8051,53.85,3.851,0.29458,0,False
SBIN,A,15min,l_vm3.0_gap0.000_norsi,long,T_R_TARGET_1.0R,21,0.571,57.14,2.418,0.28366,0,False
PNB,B,15min,s_vm1.5_gapoff_rsi40_60,short,T_R_TARGET_1.0R,16,0.9395,68.75,1.52,0.27544,0,False
IDFCFIRSTB,B,5min,l_vm1.5_gapoff_rsi40_60,long,T_R_TARGET_1.0R,17,0.3892,64.71,1.627,0.27263,0,False
CUMMINSIND,B,15min,l_vm1.5_gap0.003_rsi40_60,long,T_R_TARGET_1.5R,11,0.48960000000000004,72.73,0.875,0.26842,0,False
TITAN,B,10min,l_vm1.5_gap0.003_norsi,long,T_R_TARGET_1.0R,17,0.2833,76.47,0.727,0.26365,0,False
ADANIENT,B,15min,s_vm2.0_gap0.000_rsi40_60,short,T_R_TARGET_2.0R,13,1.5168,61.54,3.974,0.26079,0,False
AXISBANK,B,15min,l_vm3.0_gap0.000_rsi40_60,long,T_ATR_SL_0.3,11,0.48009999999999997,54.55,3.103,0.25061,0,False
HCLTECH,B,10min,s_vm2.0_gapoff_norsi,short,T_R_TARGET_1.5R,10,0.3885,70.0,1.024,0.2486,0,False
SUNPHARMA,B,10min,l_vm1.5_gap0.003_norsi,long,T_CHANDELIER_1.0,14,0.33,64.29,1.263,0.23394,0,False
AMBUJACEM,B,5min,s_vm2.0_gap0.000_norsi,short,T_R_TARGET_1.0R,10,0.7804,50.0,5.627,0.23244,0,False
