date,side,dte,bkt,entry,target,exit_reason,captured,mfe,mae,dist_pct,width_pct
2024-03-07,bull,0,0DTE,22502.6,22572.716796875,time,-13.049999999999272,23.05000000000291,-72.59999999999854,0.2908559664279081,0.3355546387961947
2024-03-19,bear,2,2,21961.2,21940.266927083336,target,20.93307291666497,35.60000000000218,0.0,0.26849444898832964,0.10806369974795814
2024-04-10,bull,1,1,22697.5,22736.68359375,target,39.18359375,40.150000000001455,-23.799999999999272,0.033339442512742845,0.13959704173589638
2024-04-23,bull,2,2,22417.75,22408.650390625,target,-9.099609375,13.5,-22.099999999998545,0.4430408867757614,0.14701263640433823
2024-04-26,bull,6,3+,22583.6,22695.782552083336,st_flip,-79.69999999999709,26.05000000000291,-88.84999999999854,0.2195675465140439,0.30871838399557816
2024-04-30,bull,2,2,22695.1,22718.833984375,target,23.733984375001455,25.450000000000728,-26.149999999997817,0.36780202047870786,0.27792846505567764
2024-05-08,bear,1,1,22223.65,22190.016927083336,target,33.6330729166657,38.45000000000073,-68.14999999999782,0.4456211409340703,0.1890759570633355
2024-05-10,bear,6,3+,21970.45,21824.016927083336,st_flip,-80.09999999999854,20.150000000001455,-80.09999999999854,0.18753956409720832,0.49285484957068354
2024-05-15,bull,1,1,22264.05,22298.18359375,st_flip,-2.0,1.9000000000014552,-17.599999999998545,0.27663508004726245,0.1264077917467963
2024-05-17,bull,6,3+,22393.25,22539.216145833336,time,80.84999999999854,108.90000000000146,-47.599999999998545,0.20246690775995915,0.47720255555184865
2024-05-21,bull,2,2,22474.95,22530.283203125,st_flip,-4.900000000001455,34.099999999998545,-12.799999999999272,0.10139367617292022,0.12556740706686811
2024-05-23,bull,0,0DTE,22596.95,22657.150390625,target,60.20039062499927,62.95000000000073,-19.5,0.056930915059624505,0.12227057731680677
2024-05-24,bull,6,3+,22960.35,23115.016927083336,st_flip,5.700000000000728,66.05000000000291,-43.54999999999927,0.22811407489578073,0.5294956235985991
2024-05-30,bear,0,0DTE,22684.45,22651.598958333336,target,32.85104166666497,34.900000000001455,-21.299999999999272,0.16635097660583203,0.14966435392435593
2024-05-31,bull,6,3+,22594.55,22657.266927083336,st_flip,-51.14999999999782,59.20000000000073,-60.849999999998545,0.1410176310810424,0.2148301049563953
2024-06-05,bear,1,1,21969.4,21050.799479166664,st_flip,-291.1499999999978,177.45000000000073,-292.9499999999971,0.13116599200421616,1.0423268774370242
2024-06-07,bull,6,3+,22823.35,22940.167317708336,target,116.81731770833721,120.0,0.0,0.06904818372159004,0.13152714211746971
2024-06-11,bear,2,2,23247.55,23186.932942708336,st_flip,-57.10000000000218,40.89999999999782,-61.54999999999927,0.13618056674005352,0.1727275370877296
2024-06-13,bull,0,0DTE,23434.45,23411.282552083336,target,-23.16744791666497,10.399999999997817,-10.950000000000728,0.28001755146193286,0.13060232514725442
2024-06-18,bull,2,2,23530.9,23525.916666666664,target,-4.983333333337214,7.799999999999272,-28.75,0.35025764354980404,0.15067912858988342
2024-06-25,bull,2,2,23594.8,23613.966145833336,target,19.166145833336486,23.299999999999272,-23.75,0.36045000807633554,0.23695253639478886
2024-06-26,bull,1,1,23722.0,23796.283854166664,target,74.28385416666424,91.25,-51.54999999999927,0.10228827817964667,0.17760521829636194
2024-06-27,bull,0,0DTE,23842.25,23948.984375,st_flip,-22.549999999999272,21.0,-28.799999999999272,0.009384696292744818,0.24740431159200305
2024-07-01,bear,3,3+,24020.85,23939.600260416664,st_flip,-13.700000000000728,9.149999999997817,-18.400000000001455,0.05647438014776334,0.19255873426708994
2024-07-02,bull,2,2,24204.35,24206.399739583336,st_flip,-86.14999999999782,0.0,-88.34999999999854,0.34195181774405525,0.17499763538496935
2024-07-05,bear,6,3+,24202.45,24255.100260416664,target,-52.650260416663514,18.600000000002183,-5.5,0.4749456825126044,0.10696470989489584
2024-07-15,bull,3,3+,24569.35,24619.182942708336,target,49.832942708337214,50.25,-46.599999999998545,0.32777282595358737,0.10974525353566741
2024-07-24,bull,1,1,24452.1,24683.001302083336,st_flip,-76.69999999999709,52.150000000001455,-78.0,0.09562089170427826,0.4109254501781994
2024-07-26,bull,6,3+,24463.95,24484.56640625,target,20.616406249999272,28.75,-4.450000000000728,0.37078614701709933,0.23918101171624698
2024-08-14,bear,1,1,24149.2,24050.350260416664,st_flip,-37.89999999999782,49.5,-39.849999999998545,0.08900311685080038,0.2735223515296462
2024-08-19,bull,3,3+,24607.9,24668.533854166664,st_flip,-76.80000000000291,18.049999999999272,-84.95000000000073,0.4999374548008766,0.42471171071065417
2024-08-22,bull,0,0DTE,24826.4,24820.598958333336,target,-5.8010416666656965,0.0,-23.700000000000728,0.2902887418521341,0.13131647153380374
2024-08-27,bull,2,2,25023.3,25078.033854166664,st_flip,-26.049999999999272,2.600000000002183,-39.39999999999782,0.11175684554256772,0.13679658944992265
2024-08-30,bull,6,3+,25239.6,25230.399739583336,target,-9.200260416662786,7.600000000002183,-14.5,0.4223830609043386,0.14851403762553914
2024-09-05,bull,0,0DTE,25241.15,25248.532552083336,target,7.3825520833343035,17.25,-5.5,0.23590446641319676,0.12883923915699
2024-09-06,bear,6,3+,25089.1,25090.083333333336,target,-0.9833333333372138,4.0,-23.400000000001455,0.2994095837135874,0.1501040765876066
2024-09-09,bear,3,3+,24800.15,24712.717447916664,st_flip,-88.69999999999709,47.0,-89.34999999999854,0.386498454247461,0.3568541510564055
2024-09-10,bull,2,2,24972.6,25011.550130208336,st_flip,-59.54999999999927,34.400000000001455,-64.09999999999854,0.25870490683441805,0.2162057097703775
2024-09-12,bull,0,0DTE,25016.8,25059.715494791664,target,42.91549479166497,55.75,-6.700000000000728,0.06753963168878473,0.21542090156221558
2024-09-13,bull,6,3+,25343.3,25567.68359375,st_flip,2.350000000002183,50.5,-50.849999999998545,0.08244683661712918,0.5282406893114356
2024-09-20,bull,6,3+,25493.15,25559.81640625,target,66.66640624999854,106.09999999999854,-66.55000000000291,0.01273214121315759,0.20423456325817455
2024-09-26,bull,0,0DTE,26033.15,26067.517578125,target,34.367578124998545,42.04999999999927,-9.0,0.1663424050870176,0.13349841523299005
2024-09-27,bull,6,3+,26225.0,26311.833984375,st_flip,-1.2999999999992724,52.349999999998545,-7.599999999998545,0.1532140833198376,0.23214345242063755
2024-10-08,bear,2,2,24780.1,24612.399739583336,st_flip,-29.850000000002183,0.3999999999978172,-44.150000000001455,0.23789650089736028,0.3300145367372373
2024-10-09,bull,1,1,25056.1,25119.166666666664,target,63.0666666666657,122.40000000000146,-24.75,0.3220840456252545,0.2998773893778146
2024-10-11,bear,6,3+,24953.2,24940.549479166664,target,12.650520833336486,18.850000000002183,-27.849999999998545,0.25524878420177344,0.15549507693858292
2024-10-15,bull,2,2,25197.8,25185.966145833336,target,-11.833854166663514,0.0,-19.450000000000728,0.3321601591605922,0.10408891275548912
2024-10-16,bear,1,1,25017.7,24972.983072916664,st_flip,-2.399999999997817,3.25,-19.649999999997817,0.2312539840541163,0.14062117839033353
2024-10-21,bull,3,3+,24934.9,24970.949869791664,st_flip,-115.20000000000073,0.0,-115.85000000000218,0.4971702136380642,0.3395982595138442
2024-10-22,bull,2,2,24835.85,24946.400390625,st_flip,-78.0,46.150000000001455,-85.29999999999927,0.013911260038354729,0.12863760980940495
2024-10-23,bear,1,1,24511.65,24317.93359375,st_flip,-33.849999999998545,113.15000000000146,-44.89999999999782,0.098790117892454,0.5245155497853611
2024-10-24,bear,0,0DTE,24435.45,24340.983072916664,time,33.20000000000073,94.25,-28.25,0.06700720620481762,0.15203781825990473
2024-10-31,bear,0,0DTE,24308.95,24266.033854166664,target,42.916145833336486,63.650000000001455,-27.75,0.21533222141682587,0.1694750771907661
2024-11-01,bull,6,3+,24341.1,24327.666015625,target,-13.433984374998545,13.200000000000728,-13.19999999999709,0.2873155751406674,0.18427216312968697
2024-11-06,bull,1,1,24262.9,24347.317708333336,target,84.4177083333343,87.04999999999927,-58.85000000000218,0.44729853362129146,0.4865199859447144
2024-11-07,bull,0,0DTE,24454.3,24613.083333333336,st_flip,-59.04999999999927,1.6000000000021828,-59.04999999999927,0.03365134885487519,0.30822767198458023
2024-11-13,bear,1,1,23831.35,23734.399739583336,target,96.95026041666279,122.69999999999709,-42.25,0.4368759060081383,0.4397140136369863
2024-11-18,bear,3,3+,23531.6,23452.599609375,target,79.00039062499854,99.09999999999854,-0.5,0.08589007288617079,0.13365973425459537
2024-11-22,bull,6,3+,23420.25,23483.750651041664,target,63.50065104166424,92.54999999999927,-6.950000000000728,0.15131008321658931,0.10059085678305708
2024-11-29,bear,6,3+,23969.55,23743.083333333336,st_flip,-59.54999999999927,22.200000000000728,-61.20000000000073,0.015185797915064282,0.5444287181785722
2024-12-02,bear,3,3+,24037.5,23976.016927083336,st_flip,-83.04999999999927,28.849999999998545,-91.90000000000146,0.0830534330294915,0.20242260093714912
2024-12-03,bull,2,2,24315.0,24382.283203125,target,67.283203125,84.0,-35.0,0.3268337373037917,0.3307027162203755
2024-12-04,bull,1,1,24479.55,24532.333333333336,target,52.783333333336486,63.04999999999927,-14.5,0.19434014130637228,0.20819243104828036
2024-12-06,bull,6,3+,24689.05,24945.583333333336,st_flip,-26.799999999999272,62.0,-68.54999999999927,0.10075547997090795,0.35517705947093753
2024-12-16,bull,3,3+,24747.3,24980.134114583336,st_flip,-93.54999999999927,21.600000000002183,-96.59999999999854,0.29335721725768676,0.7588183172143453
2024-12-18,bear,1,1,24330.55,24218.266276041664,st_flip,-52.04999999999927,57.45000000000073,-54.150000000001455,0.20183378167361843,0.35057666473235705
2024-12-26,bull,0,0DTE,23836.55,23835.150390625,target,-1.3996093749992724,14.950000000000728,-8.200000000000728,0.24814983880669192,0.136693612833217
2024-12-30,bear,3,3+,23803.9,23763.050130208336,target,40.8498697916657,46.70000000000073,-3.599999999998545,0.12680277770775084,0.15779147353926032
2025-01-01,bull,1,1,23673.1,23736.283854166664,st_flip,-56.099999999998545,5.650000000001455,-62.54999999999927,0.22872976436252002,0.19644188314686203
2025-01-02,bull,0,0DTE,23788.2,23856.200520833336,target,68.00052083333503,80.29999999999927,-36.650000000001455,0.26342126378784336,0.14043535123128184
2025-01-03,bull,6,3+,24176.05,24359.716145833336,st_flip,-42.75,3.25,-49.25,0.22072735165836035,0.5497385027662618
2025-01-09,bear,0,0DTE,23616.55,23539.449869791664,target,77.10013020833503,78.14999999999782,-36.29999999999927,0.024498674748410318,0.18289307877238087
2025-01-21,bull,2,2,23395.55,23433.682942708336,st_flip,-55.45000000000073,23.75,-60.099999999998545,0.31548446273709485,0.18181184217736904
2025-01-28,bull,2,2,22927.25,22962.099609375,target,34.849609375,59.849999999998545,-69.59999999999854,0.12706717556711017,0.19751184917978526
2025-01-29,bull,1,1,23032.85,23110.916015625,st_flip,-7.75,17.200000000000728,-24.19999999999709,0.14591809661589872,0.11739912547363393
2025-02-01,bull,5,3+,23498.5,23611.000651041664,target,112.50065104166424,126.15000000000146,-19.450000000000728,0.09392630360853266,0.2728588602452515
2025-02-05,bull,1,1,23766.05,23860.283203125,st_flip,-67.14999999999782,33.900000000001455,-71.64999999999782,0.330927774480868,0.40977324408919513
2025-02-11,bear,2,2,23348.0,23275.733723958336,target,72.26627604166424,77.29999999999927,-3.75,0.2308594632587195,0.173485451489035
2025-02-12,bear,1,1,23031.55,22908.950520833336,st_flip,31.25,35.39999999999782,-16.100000000002183,0.34012145411801653,0.33708101146886116
2025-02-13,bull,0,0DTE,23081.45,23193.849609375,target,112.39960937499927,125.59999999999854,-89.25,0.25926372081802035,0.21318061925983756
2025-02-19,bear,1,1,22858.45,22833.700520833336,st_flip,-96.59999999999854,19.549999999999272,-106.45000000000073,0.16216393657879732,0.14093827849450485
2025-02-21,bull,6,3+,22906.7,22953.75,st_flip,0.9500000000007276,14.299999999999272,-7.700000000000728,0.03675130464695414,0.13082189477069278
2025-02-25,bear,2,2,22548.0,22492.083333333336,st_flip,-36.25,15.849999999998545,-36.95000000000073,0.08708447971743864,0.11865746117467113
2025-03-05,bull,1,1,22136.1,22136.934244791664,target,0.8342447916656965,40.70000000000073,-13.94999999999709,0.30281878193468975,0.144445210524437
