variant,trades,wins,losses,win_rate_pct,avg_win,avg_loss,profit_factor,net_pnl,gross_pnl,costs,days_traded,cagr_pct,sharpe,max_dd,max_dd_pct,calmar
baseline,3003,1155,1848,38.46,1171.0,-1375.0,0.53,-1188446.0,150261.0,1338707.0,427,0.0,-9.97,1212020.0,404.01,0.0
vwap,2964,1144,1820,38.6,1156.0,-1378.0,0.53,-1185762.0,135633.0,1321395.0,427,0.0,-10.1,1203058.0,401.02,0.0
htf,1651,603,1048,36.52,1159.0,-1353.0,0.49,-719139.0,17721.0,736860.0,407,0.0,-9.37,727610.0,242.54,0.0
rsi50,2988,1150,1838,38.49,1167.0,-1378.0,0.53,-1190762.0,141949.0,1332711.0,427,0.0,-10.05,1214336.0,404.78,0.0
cpr,2342,887,1455,37.87,1191.0,-1385.0,0.52,-959777.0,85177.0,1044954.0,423,0.0,-9.56,979782.0,326.59,0.0
bb,2992,1152,1840,38.5,1172.0,-1374.0,0.53,-1177063.0,157148.0,1334212.0,427,0.0,-9.88,1201726.0,400.58,0.0
confluence,1539,572,967,37.17,1153.0,-1362.0,0.5,-657671.0,29073.0,686744.0,404,0.0,-9.14,666142.0,222.05,0.0
fast_pair,4761,1716,3045,36.04,1188.0,-1335.0,0.5,-2026354.0,96672.0,2123025.0,427,0.0,-13.64,2027289.0,675.76,0.0
