variant,symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
baseline,INDUSINDBK,2024-03-20,LONG,2024-03-20T12:30:00,1457.65,1448.26,1471.73,205,9.39,2024-03-20T14:15:00,1448.26,STOP,-1924.45,-2371.23
baseline,INDUSINDBK,2024-04-01,SHORT,2024-04-01T13:30:00,1553.95,1559.49,1545.63,193,5.54,2024-04-01T14:15:00,1545.63,TARGET,1605.07,1156.41
baseline,INDUSINDBK,2024-04-02,LONG,2024-04-02T10:00:00,1561.90,1555.07,1572.14,192,6.83,2024-04-02T11:45:00,1565.85,TIME_STOP,758.40,308.00
baseline,INDUSINDBK,2024-04-04,LONG,2024-04-04T14:00:00,1542.50,1536.47,1551.54,194,6.03,2024-04-04T15:15:00,1545.55,EOD,591.70,142.39
baseline,INDUSINDBK,2024-04-05,SHORT,2024-04-05T10:30:00,1530.30,1536.94,1520.34,196,6.64,2024-04-05T10:45:00,1536.94,STOP,-1301.22,-1752.11
baseline,INDUSINDBK,2024-04-09,SHORT,2024-04-09T14:00:00,1547.60,1553.39,1538.91,193,5.79,2024-04-09T14:45:00,1553.39,STOP,-1117.80,-1566.67
baseline,INDUSINDBK,2024-04-10,LONG,2024-04-10T10:00:00,1562.40,1555.92,1572.12,192,6.48,2024-04-10T11:45:00,1558.70,TIME_STOP,-710.40,-1159.84
baseline,INDUSINDBK,2024-04-12,LONG,2024-04-12T11:15:00,1560.80,1554.98,1569.53,192,5.82,2024-04-12T12:15:00,1554.98,STOP,-1116.83,-1565.50
baseline,INDUSINDBK,2024-04-19,LONG,2024-04-19T13:15:00,1484.90,1476.81,1497.04,202,8.09,2024-04-19T13:45:00,1476.81,STOP,-1634.71,-2083.40
baseline,INDUSINDBK,2024-04-22,SHORT,2024-04-22T13:00:00,1477.25,1484.14,1466.91,203,6.89,2024-04-22T14:45:00,1479.95,TIME_STOP,-548.10,-998.33
baseline,INDUSINDBK,2024-04-23,LONG,2024-04-23T13:15:00,1480.00,1475.36,1486.96,202,4.64,2024-04-23T13:15:00,1475.36,STOP,-937.12,-1384.86
baseline,INDUSINDBK,2024-04-25,LONG,2024-04-25T10:15:00,1483.50,1478.50,1491.00,202,5.00,2024-04-25T10:45:00,1478.50,STOP,-1010.46,-1459.21
baseline,INDUSINDBK,2024-04-26,SHORT,2024-04-26T10:45:00,1473.90,1481.96,1461.80,203,8.06,2024-04-26T12:30:00,1477.60,TIME_STOP,-751.10,-1200.47
baseline,INDUSINDBK,2024-04-29,LONG,2024-04-29T10:30:00,1479.45,1471.94,1490.71,202,7.51,2024-04-29T12:15:00,1483.40,TIME_STOP,797.90,349.03
baseline,INDUSINDBK,2024-05-03,SHORT,2024-05-03T11:15:00,1504.00,1511.94,1492.09,199,7.94,2024-05-03T11:45:00,1492.09,TARGET,2369.60,1922.44
baseline,INDUSINDBK,2024-05-06,LONG,2024-05-06T10:00:00,1492.85,1483.54,1506.82,200,9.31,2024-05-06T10:30:00,1506.82,TARGET,2794.02,2344.07
baseline,INDUSINDBK,2024-05-09,SHORT,2024-05-09T10:45:00,1433.80,1440.49,1423.76,209,6.69,2024-05-09T11:15:00,1423.76,TARGET,2097.56,1649.64
baseline,INDUSINDBK,2024-05-15,SHORT,2024-05-15T11:45:00,1414.15,1420.05,1405.31,212,5.90,2024-05-15T13:30:00,1414.60,TIME_STOP,-95.40,-545.17
baseline,INDUSINDBK,2024-05-17,SHORT,2024-05-17T10:00:00,1396.40,1402.66,1387.01,214,6.26,2024-05-17T10:00:00,1402.66,STOP,-1338.93,-1788.18
baseline,INDUSINDBK,2024-05-24,SHORT,2024-05-24T11:00:00,1429.30,1435.71,1419.69,209,6.41,2024-05-24T11:15:00,1435.71,STOP,-1338.73,-1787.82
baseline,INDUSINDBK,2024-05-28,SHORT,2024-05-28T11:45:00,1459.10,1465.82,1449.02,205,6.72,2024-05-28T11:45:00,1465.82,STOP,-1377.07,-1826.77
baseline,INDUSINDBK,2024-05-29,LONG,2024-05-29T13:15:00,1455.05,1449.27,1463.72,206,5.78,2024-05-29T15:00:00,1457.75,TIME_STOP,556.20,106.17
baseline,INDUSINDBK,2024-05-30,SHORT,2024-05-30T12:15:00,1457.70,1463.73,1448.65,205,6.03,2024-05-30T12:30:00,1463.73,STOP,-1236.17,-1685.34
baseline,INDUSINDBK,2024-05-31,LONG,2024-05-31T14:00:00,1460.85,1455.53,1468.82,205,5.32,2024-05-31T14:30:00,1455.53,STOP,-1089.73,-1538.12
baseline,INDUSINDBK,2024-06-04,SHORT,2024-06-04T11:15:00,1399.35,1418.13,1371.19,133,18.78,2024-06-04T11:30:00,1418.13,STOP,-2497.17,-2778.21
baseline,INDUSINDBK,2024-06-05,LONG,2024-06-05T11:45:00,1436.70,1418.72,1463.67,139,17.98,2024-06-05T13:00:00,1463.67,TARGET,3748.88,3446.52
baseline,INDUSINDBK,2024-06-06,SHORT,2024-06-06T13:30:00,1478.00,1488.20,1462.70,202,10.20,2024-06-06T15:15:00,1481.95,TIME_STOP,-797.90,-1246.33
baseline,INDUSINDBK,2024-06-07,LONG,2024-06-07T11:45:00,1487.00,1478.84,1499.24,201,8.16,2024-06-07T13:30:00,1492.00,TIME_STOP,1005.00,555.92
baseline,INDUSINDBK,2024-06-21,SHORT,2024-06-21T12:45:00,1528.00,1533.29,1520.06,196,5.29,2024-06-21T14:30:00,1520.06,TARGET,1555.41,1107.34
baseline,INDUSINDBK,2024-06-25,LONG,2024-06-25T14:00:00,1497.20,1491.78,1505.33,200,5.42,2024-06-25T14:30:00,1491.78,STOP,-1084.13,-1532.48
baseline,INDUSINDBK,2024-06-26,LONG,2024-06-26T10:15:00,1497.30,1490.72,1507.16,200,6.58,2024-06-26T11:15:00,1507.16,TARGET,1972.92,1522.25
baseline,INDUSINDBK,2024-07-03,LONG,2024-07-03T10:30:00,1439.10,1431.96,1449.81,208,7.14,2024-07-03T11:30:00,1431.96,STOP,-1485.62,-1933.51
baseline,INDUSINDBK,2024-07-04,SHORT,2024-07-04T10:45:00,1440.05,1445.51,1431.86,208,5.46,2024-07-04T12:30:00,1442.00,TIME_STOP,-405.60,-855.20
baseline,INDUSINDBK,2024-07-09,SHORT,2024-07-09T10:15:00,1432.65,1438.05,1424.55,209,5.40,2024-07-09T12:00:00,1432.00,TIME_STOP,135.85,-313.18
baseline,INDUSINDBK,2024-07-11,LONG,2024-07-11T14:15:00,1426.35,1422.37,1432.32,210,3.98,2024-07-11T15:15:00,1430.15,EOD,798.00,348.10
