date,Momentum,Quality,Value,LowVol,Alpha,Nifty
2018-02-28,10279.74,,4772.7,6560.225920746075,13309.95,10492.85
2018-03-31,10115.02,,4517.5,6443.360276945937,12558.6,10113.7
2018-04-30,10954.05,,4813.39,3987.826000444412,14120.65,10739.35
2018-05-31,10694.31,,4816.55,1932.1690171265598,13583.45,10736.15
2018-06-30,10627.71,,4815.35,967.5160256627387,12897.05,10714.3
2018-07-31,11000.7,2287.4952702884425,5193.2,468.77784741627084,14151.8,11356.5
2018-08-31,11594.66,2352.31067148392,5516.0,234.7362346827321,14877.95,11680.5
2018-09-30,10631.94,2104.844973049842,5300.5,129.74947473298297,12415.75,10930.45
2018-10-31,10009.27,2046.0723870360625,5071.55,64.97086694422495,12332.7,10386.6
2018-11-30,10512.66,2140.481026963831,5137.5,33.62295316457604,12445.75,10876.75
2018-12-31,10471.19,2170.4881571469246,5136.75,39.815287555090556,12191.25,10862.55
2019-01-31,10711.95,2128.933455486476,5274.7,39.13116256932463,11781.55,10830.95
2019-02-28,10660.86,2154.669225897299,5317.15,39.15846278857399,11655.2,10792.5
2019-03-31,11188.09,2270.1946076449476,5555.3,40.669414245131364,12187.9,11623.9
2019-04-30,11474.94,2234.3929971506363,5694.15,41.27746878946348,12250.9,11748.15
2019-05-31,11320.99,2244.078057099384,5552.45,41.31952963573071,12315.5,11922.8
2019-06-30,11231.11,2202.1508531332165,5459.1,40.45309471124867,12373.9,11788.85
2019-07-31,10361.86,2077.1142458461545,5177.35,38.96227138244294,11855.55,11118.0
2019-08-31,10283.03,2137.169895357418,5229.95,39.417120798072226,11809.1,11023.25
2019-09-30,10866.71,2244.616115985425,5346.55,40.83765763020033,12401.8,11474.45
2019-10-31,11114.52,2304.133706610646,5557.9,42.22372215158136,12777.25,11877.45
2019-11-30,11261.47,2245.2783423067067,5431.2,41.111816611645224,12771.4,12056.05
2019-12-31,11490.82,2259.888710519991,5455.95,41.23189130478439,13071.95,12168.45
2020-01-31,11817.43,2241.760264974896,5371.0,41.16567670521519,13893.5,11962.1
2020-02-29,11475.15,2126.6570525070647,5071.39,38.53587897501424,13339.4,11201.75
2020-03-31,9252.38,1744.1799628216154,4402.5,32.76743519073892,10067.54,8597.75
2020-04-30,10540.04,1945.4139862011907,4803.55,36.89948532458389,11722.2,9859.9
2020-05-31,10210.7,1933.535301563195,4803.05,37.23911856066925,11679.35,9580.29
2020-06-30,10878.78,2036.5528836676308,4987.35,38.594875211527686,13701.05,10302.1
2020-07-31,11586.35,2181.7873937537975,5505.85,41.55551458178456,14805.65,11073.45
2020-08-31,11659.47,2209.9734015533645,5537.2,41.59368861717563,15442.25,11387.5
2020-09-30,12090.36,2256.370633188186,5576.5,42.73062707001667,16926.65,11247.55
2020-10-31,12018.25,2295.235040418425,5724.7,44.04103759398633,17165.85,11642.4
2020-11-30,12700.75,2513.397224135773,6210.5,46.95360081542945,19075.85,12968.95
2020-12-31,13654.7,2732.7183039153642,6840.95,50.34600009384875,19836.8,13981.75
2021-01-31,13206.2,2686.4866288608628,6883.25,49.60588652284261,19275.45,13634.6
2021-02-28,14255.15,2697.330584871855,7075.15,50.74532363981835,21475.1,14529.15
2021-03-31,14935.1,2779.074146405105,7455.3,52.141567903970355,22648.2,14690.7
2021-04-30,16351.85,2704.201182955156,7409.35,51.80609910810949,24547.7,14631.1
2021-05-31,17124.4,2915.409990299043,7803.05,55.72159835028156,26292.35,15582.8
2021-06-30,17842.65,2996.449936365931,8064.55,56.92465885957574,27135.0,15721.5
2021-07-31,18737.05,3008.9494581801287,8173.45,57.0896169640232,28513.05,15763.05
2021-08-31,19420.55,3226.532193866355,8799.54,60.95930736372594,30213.4,17132.2
2021-09-30,19793.4,3330.3361697273112,9082.25,62.94736485533458,31641.8,17618.15
2021-10-31,20399.3,3215.357124694719,8744.29,60.793192470327284,31388.8,17671.65
2021-11-30,19942.7,3137.9180342498016,8620.0,59.843237383565395,32234.85,16983.2
2021-12-31,20774.7,3284.3528295432884,9174.35,61.21796537322427,34605.05,17354.05
2022-01-31,19897.25,3143.919460286418,8959.75,59.87146303397583,33759.45,17339.84
2022-02-28,19384.75,3089.699680231452,8694.04,57.6754148889335,31885.3,16793.9
2022-03-31,20314.7,3133.4066174360646,9122.4,58.8264198954217,35463.05,17464.75
2022-04-30,19443.34,3101.1644734186466,8752.65,59.39556005943396,34333.15,17102.55
2022-05-31,17969.65,3022.980378362285,8518.45,58.74752688894687,30173.5,16584.55
2022-06-30,16361.5,2889.3762180436356,8078.75,55.4590072583493,26214.1,15780.25
2022-07-31,17906.9,3195.531724201332,8725.3,59.80622013712577,28286.15,17158.25
2022-08-31,19405.55,3270.570244231602,8885.0,61.50901347335756,29957.6,17759.3
2022-09-30,18769.05,3184.1497093042976,8550.6,59.50082785399731,29586.2,17094.35
2022-10-31,20019.85,3258.236278997725,9013.35,61.215651795322,30520.5,18012.2
2022-11-30,20264.3,3337.0826003753664,9406.4,63.722413452668626,30688.1,18758.35
2022-12-31,19444.95,3201.1192587871506,9093.6,61.24619102363483,29685.5,18105.3
2023-01-31,18610.65,3188.868071843432,9331.2,60.74460733437519,27358.05,17662.15
2023-02-28,17890.95,3166.1454311944412,9189.55,59.68545137061582,25277.2,17303.95
2023-03-31,18257.05,3158.9437199505,9197.4,60.13844992392312,25993.55,17359.75
2023-04-30,19315.75,3268.666343557914,9285.4,62.35902199473186,27659.4,18065.0
2023-05-31,20459.9,3462.450320823067,9610.4,64.61985032104391,29305.7,18534.4
2023-06-30,21312.9,3575.7738000524528,9861.45,67.2381264332905,31290.15,19189.05
2023-07-31,22275.85,3616.2109947957365,10121.6,70.01673349417956,33995.7,19753.8
2023-08-31,22211.65,3584.548298809438,10008.5,68.45229211651663,34723.85,19253.8
2023-09-30,23231.25,3669.4374353687763,10394.8,69.56951888562847,36496.65,19638.3
2023-10-31,22381.7,3615.755714199852,10091.45,68.91732127491692,35216.15,19079.6
2023-11-30,25061.65,3868.560612349265,10733.9,73.60324195861773,39097.85,20133.15
2023-12-31,27352.7,4175.668068843805,11618.7,79.92162321031464,42306.3,21731.4
2024-01-31,29048.5,4136.596715888166,11972.4,80.6473925983254,47075.2,21725.7
2024-02-29,29990.8,4212.504407965119,12284.55,83.25525761001074,46491.55,21982.8
2024-03-31,30781.15,4231.8331387175385,12211.75,83.95465220993312,47200.3,22326.9
2024-04-30,32577.95,4295.61381128601,12414.35,82.7471959026242,50494.7,22604.85
2024-05-31,34162.8,4430.294089376741,12287.1,82.6664520338273,53190.65,22530.7
2024-06-30,35298.95,4670.558076566875,13047.75,88.27433351166994,56314.8,24010.6
2024-07-31,37012.75,4967.069911920898,14153.45,93.52245362567548,60090.65,24951.15
2024-08-31,37102.65,5052.538496511356,14348.25,95.62896630589152,60274.95,25235.9
2024-09-30,37588.9,5188.294892374171,14431.6,99.17568123040688,60409.8,25810.85
2024-10-31,34516.1,4743.030469602169,13625.25,91.18180686172755,56150.2,24205.35
2024-11-30,34248.85,4731.689843850216,13694.1,89.47253550736883,56108.85,24131.1
2024-12-31,32825.0,4588.152288712335,13435.0,88.7851715125394,56293.05,23644.8
2025-01-31,29528.55,4574.286925110494,13221.8,89.22683353412448,49962.65,23508.4
2025-02-28,26676.7,4128.111941146732,11966.0,82.78305636011268,42264.05,22124.7
2025-03-31,28166.9,4329.139018800905,12505.8,86.9852079044031,46004.55,23519.35
2025-04-30,29270.6,4457.031477098494,12615.05,90.11316522856791,47670.8,24334.2
2025-05-31,30506.1,4593.988158168635,12770.45,90.9495236403176,51179.25,24750.7
2025-06-30,31901.15,4690.631811930726,12961.45,93.31006717422697,53900.45,25517.05
2025-07-31,30226.65,4558.020991093998,12517.9,92.48041813839447,52171.0,24768.35
2025-08-31,29637.3,4619.856373843707,12489.8,93.69435246383041,49066.25,24426.85
2025-09-30,29844.65,4608.722693817153,12472.75,92.17965301107107,48722.95,24611.1
2025-10-31,31443.35,4745.017148566006,12943.8,95.54035627222633,50867.3,25722.1
2025-11-30,32145.85,4826.346818648456,13129.15,97.37872527354388,52105.25,26202.95
2025-12-31,31147.55,4850.849192535893,13275.55,97.77249623254748,50309.15,26129.6
2026-01-31,30327.15,4806.604196445236,13226.65,94.61261153332828,48636.85,25320.65
2026-02-28,31360.95,4603.714607262457,12890.05,94.83355822301596,50663.15,25178.65
2026-03-31,27071.65,4166.314122055681,11586.0,84.71581933985193,44487.95,22331.4
2026-04-30,30157.9,4599.617081899525,12260.75,90.9342540261613,50876.15,23997.55
2026-05-31,30460.8,4571.803576405679,11979.05,90.29177344264016,52795.35,23547.75
2026-06-30,30404.75,4479.547172022076,12012.6,90.15203333732984,52287.15,23622.9
