year,winner,nifty,excess
2016,14.8,5.6,9.2
2017,22.8,29.9,-7.1
2018,-1.6,4.8,-6.4
2019,22.0,13.6,8.3
2020,29.1,15.4,13.7
2021,22.5,26.0,-3.5
2022,-4.2,5.5,-9.6
2023,31.7,21.0,10.7
2024,33.5,10.4,23.1
2025,28.5,11.7,16.9
2026,17.9,-9.3,27.2
