label,family,window,cagr,sharpe,max_drawdown,calmar,vol,n_months,start,end,final_mult
factor_top1_roc6_ma6_nocash,rotation,2010-26,15.751,0.911,-27.76,0.567,17.936,191,2010-08-31,2026-06-30,10.259
factor_top1_roc6_ma6_cash,rotation,2010-26,11.269,0.765,-27.722,0.407,15.653,191,2010-08-31,2026-06-30,5.472
factor_top1_roc6_noma_nocash,rotation,2010-26,15.751,0.911,-27.76,0.567,17.936,191,2010-08-31,2026-06-30,10.259
factor_top1_roc6_noma_cash,rotation,2010-26,13.139,0.84,-27.996,0.469,16.393,191,2010-08-31,2026-06-30,7.134
factor_top1_roc12_ma6_nocash,rotation,2010-26,15.854,0.909,-27.84,0.569,18.129,185,2011-02-28,2026-06-30,9.667
factor_top1_roc12_ma6_cash,rotation,2010-26,11.889,0.853,-27.84,0.427,14.492,185,2011-02-28,2026-06-30,5.651
factor_top1_roc12_noma_nocash,rotation,2010-26,15.854,0.909,-27.84,0.569,18.129,185,2011-02-28,2026-06-30,9.667
factor_top1_roc12_noma_cash,rotation,2010-26,11.82,0.754,-29.264,0.404,16.792,185,2011-02-28,2026-06-30,5.598
factor_top1_blend_ma6_nocash,rotation,2010-26,16.331,0.957,-28.439,0.574,17.548,185,2011-02-28,2026-06-30,10.299
factor_top1_blend_ma6_cash,rotation,2010-26,13.713,0.956,-27.538,0.498,14.662,185,2011-02-28,2026-06-30,7.251
factor_top1_blend_noma_nocash,rotation,2010-26,16.331,0.957,-28.439,0.574,17.548,185,2011-02-28,2026-06-30,10.299
factor_top1_blend_noma_cash,rotation,2010-26,13.724,0.888,-36.656,0.374,16.038,185,2011-02-28,2026-06-30,7.262
factor_top2_roc6_ma6_nocash,rotation,2010-26,12.995,0.855,-26.638,0.488,15.845,191,2010-08-31,2026-06-30,6.991
factor_top2_roc6_ma6_cash,rotation,2010-26,10.128,0.787,-27.191,0.372,13.493,191,2010-08-31,2026-06-30,4.644
factor_top2_roc6_noma_nocash,rotation,2010-26,12.995,0.855,-26.638,0.488,15.845,191,2010-08-31,2026-06-30,6.991
factor_top2_roc6_noma_cash,rotation,2010-26,10.5,0.777,-26.342,0.399,14.227,191,2010-08-31,2026-06-30,4.9
factor_top2_roc12_ma6_nocash,rotation,2010-26,14.273,0.9,-29.5,0.484,16.435,185,2011-02-28,2026-06-30,7.822
factor_top2_roc12_ma6_cash,rotation,2010-26,11.605,0.929,-24.636,0.471,12.774,185,2011-02-28,2026-06-30,5.434
factor_top2_roc12_noma_nocash,rotation,2010-26,14.273,0.9,-29.5,0.484,16.435,185,2011-02-28,2026-06-30,7.822
factor_top2_roc12_noma_cash,rotation,2010-26,9.88,0.717,-34.881,0.283,14.738,185,2011-02-28,2026-06-30,4.274
factor_top2_blend_ma6_nocash,rotation,2010-26,14.801,0.958,-28.837,0.513,15.803,185,2011-02-28,2026-06-30,8.397
factor_top2_blend_ma6_cash,rotation,2010-26,12.076,0.931,-24.636,0.49,13.267,185,2011-02-28,2026-06-30,5.799
factor_top2_blend_noma_nocash,rotation,2010-26,14.801,0.958,-28.837,0.513,15.803,185,2011-02-28,2026-06-30,8.397
factor_top2_blend_noma_cash,rotation,2010-26,11.706,0.85,-36.472,0.321,14.321,185,2011-02-28,2026-06-30,5.51
factor_top3_roc6_ma6_nocash,rotation,2010-26,13.017,0.874,-27.784,0.468,15.44,191,2010-08-31,2026-06-30,7.012
factor_top3_roc6_ma6_cash,rotation,2010-26,10.227,0.899,-21.304,0.48,11.63,191,2010-08-31,2026-06-30,4.711
factor_top3_roc6_noma_nocash,rotation,2010-26,13.017,0.874,-27.784,0.468,15.44,191,2010-08-31,2026-06-30,7.012
factor_top3_roc6_noma_cash,rotation,2010-26,10.399,0.862,-22.541,0.461,12.417,191,2010-08-31,2026-06-30,4.829
factor_top3_roc12_ma6_nocash,rotation,2010-26,12.806,0.851,-27.317,0.469,15.7,185,2011-02-28,2026-06-30,6.409
factor_top3_roc12_ma6_cash,rotation,2010-26,11.789,1.069,-18.139,0.65,11.042,185,2011-02-28,2026-06-30,5.574
factor_top3_roc12_noma_nocash,rotation,2010-26,12.806,0.851,-27.317,0.469,15.7,185,2011-02-28,2026-06-30,6.409
factor_top3_roc12_noma_cash,rotation,2010-26,9.398,0.745,-29.6,0.318,13.308,185,2011-02-28,2026-06-30,3.994
factor_top3_blend_ma6_nocash,rotation,2010-26,13.577,0.92,-25.444,0.534,15.176,185,2011-02-28,2026-06-30,7.118
factor_top3_blend_ma6_cash,rotation,2010-26,12.101,1.066,-18.139,0.667,11.371,185,2011-02-28,2026-06-30,5.819
factor_top3_blend_noma_nocash,rotation,2010-26,13.577,0.92,-25.444,0.534,15.176,185,2011-02-28,2026-06-30,7.118
factor_top3_blend_noma_cash,rotation,2010-26,10.747,0.868,-30.903,0.348,12.748,185,2011-02-28,2026-06-30,4.825
5factors_equal,basket,2010-26,15.674,1.002,-22.681,0.691,15.88,177,2011-03-31,2026-06-30,8.564
5factors_invvol,basket,2010-26,15.049,0.98,-22.246,0.676,15.635,177,2011-03-31,2026-06-30,7.907
Mom+LowVol_equal,basket,2010-26,17.366,0.986,-22.895,0.758,17.887,177,2011-03-31,2026-06-30,10.611
Mom+LowVol_invvol,basket,2010-26,17.123,0.968,-22.653,0.756,18.007,177,2011-03-31,2026-06-30,10.291
Mom+Qual+LowVol_equal,basket,2010-26,15.286,0.976,-22.062,0.693,15.936,177,2011-03-31,2026-06-30,8.151
Mom+Qual+LowVol_invvol,basket,2010-26,14.847,0.957,-21.918,0.677,15.842,177,2011-03-31,2026-06-30,7.705
Mom+LowVol+Gold+Nasdaq_equal,combined,2016-26,21.562,1.564,-13.067,1.65,13.114,117,2016-03-31,2026-06-30,6.711
