filter,n_symbols,trades,win_rate,profit_factor,sharpe_ann,max_dd_pct,total_ret_pct,mean_ret_pct,avg_hold
F0,79,3711,28.56,0.98,-0.09,166.53,-44.69,-0.012,12.9
F1,79,2520,29.37,0.99,-0.04,115.42,-15.0,-0.006,13.4
F2,79,1768,29.36,1.012,0.06,107.92,13.4,0.0076,13.6
F3,77,2800,28.36,0.975,-0.12,152.84,-42.76,-0.0153,12.8
F4,77,2714,28.3,0.978,-0.1,164.32,-35.57,-0.0131,12.8
F5,77,1935,29.46,0.984,-0.07,97.33,-18.44,-0.0095,13.4
F6,77,1378,29.61,0.995,-0.02,105.03,-3.77,-0.0027,13.5
F7,77,1327,29.77,1.009,0.04,103.69,7.2,0.0054,13.6
