symbol,trades,trades_per_yr,win_rate,avg_win_pct,avg_loss_pct,profit_factor,expectancy_pct,annual_ret_pct,total_ret_pct,sharpe_ann,sortino_ann,max_dd_pct,calmar,avg_hold
HINDUNILVR,11,6.0,54.55,2.1592,-0.5479,4.729,0.9287,5.15,10.22,6.11,19.02,1.72,3.0,28.1
SBIN,12,6.0,58.33,2.1125,-0.8989,3.29,0.8577,5.19,10.29,6.02,17.61,1.92,2.7,19.6
ASIANPAINT,9,5.0,44.44,5.2368,-0.2532,16.548,2.1868,9.93,19.68,5.89,101.37,0.48,20.73,24.0
ICICIBANK,12,6.0,50.0,3.1898,-0.588,5.425,1.3009,7.88,15.61,5.72,26.93,1.89,4.17,20.2
COLPAL,14,7.0,50.0,1.4688,-0.4592,3.199,0.5048,3.57,7.07,5.56,29.51,2.16,1.65,15.7
HDFCLIFE,3,2.0,33.33,1.2959,-0.1196,5.417,0.3522,0.53,1.06,5.4,36.76,0.24,2.23,19.7
RELIANCE,12,6.0,41.67,7.2581,-0.5211,9.949,2.7202,16.47,32.64,5.14,105.28,1.2,13.67,30.4
SHREECEM,11,6.0,45.45,1.2884,-0.3044,3.527,0.4196,2.33,4.62,4.55,24.29,1.02,2.28,10.5
M&M,25,13.0,44.0,2.6525,-0.9995,2.085,0.6074,7.66,15.18,4.05,12.63,10.29,0.74,10.8
AXISBANK,15,8.0,46.67,2.3424,-0.9938,2.062,0.5631,4.26,8.45,3.76,6.35,6.53,0.65,15.8
HDFCBANK,14,7.0,28.57,2.9026,-0.4958,2.342,0.4752,3.36,6.65,3.69,24.52,1.9,1.76,13.1
BANKBARODA,21,11.0,47.62,1.7111,-0.836,1.861,0.3769,3.99,7.92,3.59,8.24,3.68,1.08,14.2
BEL,16,8.0,18.75,8.7219,-0.7855,2.562,0.9971,8.05,15.95,3.57,24.09,9.9,0.81,12.4
ITC,14,7.0,35.71,1.7055,-0.5781,1.639,0.2375,1.68,3.32,3.42,28.41,2.22,0.75,4.4
INFY,15,8.0,33.33,3.5785,-0.7006,2.554,0.7258,5.49,10.89,3.14,35.12,5.14,1.07,18.9
MARICO,12,6.0,33.33,1.4149,-0.4298,1.646,0.1851,1.12,2.22,2.88,10.92,2.36,0.47,13.2
PNB,11,6.0,36.36,4.5556,-1.3977,1.862,0.7671,4.26,8.44,2.87,8.36,7.02,0.61,17.8
ADANIPORTS,8,4.0,25.0,3.5016,-0.6533,1.787,0.3854,1.56,3.08,2.72,11.76,2.33,0.67,13.5
KOTAKBANK,14,7.0,28.57,2.6544,-0.6477,1.639,0.2958,2.09,4.14,2.39,6.91,2.85,0.73,12.0
VEDL,16,8.0,31.25,4.4019,-1.1626,1.721,0.5763,4.65,9.22,2.35,11.8,5.66,0.82,14.3
FEDERALBNK,17,9.0,35.29,1.6235,-0.5729,1.546,0.2023,1.73,3.44,2.18,7.88,5.44,0.32,15.5
DIVISLAB,20,10.0,25.0,2.5703,-0.5438,1.575,0.2347,2.37,4.69,2.15,10.03,4.14,0.57,10.8
DABUR,7,4.0,14.29,4.8292,-0.5586,1.441,0.2111,0.75,1.48,1.99,11.07,3.35,0.22,8.3
ULTRACEMCO,10,5.0,40.0,0.8712,-0.4314,1.346,0.0896,0.45,0.9,1.59,6.84,1.58,0.29,11.5
IDFCFIRSTB,18,9.0,27.78,2.468,-0.7226,1.314,0.1637,1.49,2.95,1.39,6.45,8.16,0.18,12.2
MCX,9,5.0,44.44,2.6174,-1.621,1.292,0.2627,1.19,2.36,1.38,3.44,5.6,0.21,17.0
JINDALSTEL,16,8.0,25.0,3.062,-0.8243,1.238,0.1472,1.19,2.36,1.23,4.96,4.18,0.28,11.8
HCLTECH,16,8.0,25.0,2.1558,-0.5976,1.202,0.0908,0.73,1.45,1.18,3.45,4.63,0.16,10.1
SIEMENS,19,10.0,31.58,2.4933,-0.8821,1.305,0.1838,1.76,3.49,0.84,3.05,8.49,0.21,13.2
TATASTEEL,15,8.0,40.0,0.87,-0.6028,0.962,-0.0137,-0.1,-0.21,-0.21,-0.5,4.07,-0.03,15.2
HEROMOTOCO,17,9.0,41.18,1.5563,-1.1391,0.956,-0.0292,-0.25,-0.5,-0.23,-0.41,5.81,-0.04,12.9
COALINDIA,8,4.0,12.5,5.3717,-0.8374,0.916,-0.0613,-0.25,-0.49,-0.49,-3.79,5.86,-0.04,10.0
GRASIM,7,4.0,28.57,1.612,-0.7124,0.905,-0.0483,-0.17,-0.34,-0.6,-1.38,1.16,-0.15,12.0
BHARTIARTL,13,7.0,23.08,2.1451,-0.7349,0.876,-0.0702,-0.46,-0.91,-0.77,-2.1,5.63,-0.08,12.4
IOC,18,9.0,38.89,1.0875,-0.8042,0.86,-0.0686,-0.62,-1.23,-0.89,-2.02,5.24,-0.12,15.2
TATAPOWER,18,9.0,27.78,1.4067,-0.6948,0.779,-0.111,-1.01,-2.0,-1.43,-3.17,4.94,-0.2,9.4
WIPRO,13,7.0,38.46,1.3431,-1.1146,0.753,-0.1693,-1.11,-2.2,-1.81,-4.23,7.36,-0.15,13.9
GODREJPROP,13,7.0,23.08,1.656,-0.6509,0.763,-0.1186,-0.78,-1.54,-1.81,-4.46,5.77,-0.13,6.9
MARUTI,14,7.0,14.29,1.601,-0.4293,0.622,-0.1393,-0.98,-1.95,-2.51,-10.63,2.47,-0.4,9.9
TCS,17,9.0,35.29,0.9746,-0.8542,0.622,-0.2087,-1.79,-3.55,-3.15,-6.92,5.39,-0.33,11.1
CHOLAFIN,10,5.0,20.0,1.4141,-0.6192,0.571,-0.2126,-1.07,-2.13,-3.6,-9.09,4.08,-0.26,8.4
INDUSINDBK,7,4.0,14.29,3.4812,-1.0806,0.537,-0.4289,-1.51,-3.0,-4.01,-18.39,3.39,-0.45,11.6
LT,17,9.0,35.29,0.8309,-0.9103,0.498,-0.2958,-2.54,-5.03,-4.31,-6.08,5.07,-0.5,10.5
NTPC,12,6.0,25.0,1.1093,-0.8558,0.432,-0.3645,-2.21,-4.37,-4.81,-6.9,6.46,-0.34,11.8
TATACONSUM,10,5.0,20.0,1.4092,-0.6587,0.535,-0.2451,-1.24,-2.45,-5.09,-11.94,2.71,-0.46,7.5
NESTLEIND,8,4.0,12.5,1.8459,-0.6256,0.422,-0.3167,-1.28,-2.53,-5.42,-10.89,2.77,-0.46,11.0
HAL,20,10.0,20.0,1.3382,-0.8926,0.375,-0.4464,-4.5,-8.93,-5.67,-12.34,8.74,-0.52,14.8
MUTHOOTFIN,17,9.0,17.65,0.9533,-0.5708,0.358,-0.3019,-2.59,-5.13,-6.01,-9.11,6.44,-0.4,10.5
ONGC,15,8.0,13.33,1.4164,-0.597,0.365,-0.3286,-2.49,-4.93,-6.11,-11.57,4.92,-0.51,11.1
AMBUJACEM,10,5.0,10.0,3.2438,-0.8477,0.425,-0.4385,-2.21,-4.39,-6.45,-16.06,3.71,-0.6,7.4
DELHIVERY,19,10.0,21.05,1.1312,-0.8804,0.343,-0.4569,-4.38,-8.68,-6.55,-8.46,5.91,-0.74,9.6
PERSISTENT,14,7.0,21.43,1.7698,-0.9621,0.502,-0.3767,-2.66,-5.27,-6.59,-15.07,6.21,-0.43,5.4
DRREDDY,8,4.0,25.0,0.9653,-0.7882,0.408,-0.3498,-1.41,-2.8,-6.61,-19.51,2.58,-0.55,10.0
COFORGE,15,8.0,13.33,1.9693,-0.7658,0.396,-0.4011,-3.04,-6.02,-6.81,-14.13,6.93,-0.44,8.9
BAJAJ-AUTO,14,7.0,28.57,0.6611,-0.9412,0.281,-0.4834,-3.41,-6.77,-6.93,-9.03,6.7,-0.51,13.8
ADANIENT,11,6.0,27.27,0.7531,-0.6671,0.423,-0.2798,-1.55,-3.08,-7.54,-24.06,2.58,-0.6,8.5
APOLLOHOSP,12,6.0,33.33,0.4053,-0.6772,0.299,-0.3164,-1.92,-3.8,-7.58,-15.95,4.02,-0.48,14.2
BAJFINANCE,18,9.0,22.22,1.4276,-1.6173,0.252,-0.9406,-8.54,-16.93,-7.64,-8.42,11.67,-0.73,9.5
SUNPHARMA,19,10.0,31.58,0.5467,-0.7455,0.338,-0.3374,-3.23,-6.41,-9.14,-17.14,7.46,-0.43,7.8
SBILIFE,10,5.0,20.0,0.4739,-0.5246,0.226,-0.3249,-1.64,-3.25,-9.83,-13.77,3.46,-0.47,11.0
PIDILITIND,14,7.0,21.43,0.4707,-0.6063,0.212,-0.3755,-2.65,-5.26,-10.22,-13.59,4.85,-0.55,10.2
HINDALCO,20,10.0,20.0,0.7417,-0.8956,0.207,-0.5681,-5.73,-11.36,-11.12,-16.57,10.92,-0.53,10.8
POWERGRID,9,5.0,11.11,1.0411,-0.6343,0.205,-0.4481,-2.03,-4.03,-11.58,-21.59,3.68,-0.55,11.2
TECHM,17,9.0,11.76,1.0267,-0.5215,0.263,-0.3394,-2.91,-5.77,-11.82,-23.3,5.01,-0.58,6.2
VOLTAS,17,9.0,11.76,2.1889,-0.9839,0.297,-0.6107,-5.24,-10.38,-12.75,-36.18,12.83,-0.41,3.8
CIPLA,9,5.0,33.33,0.2862,-0.9574,0.149,-0.5428,-2.46,-4.89,-12.75,-15.1,5.74,-0.43,7.9
GAIL,8,4.0,12.5,1.5355,-0.8732,0.251,-0.5721,-2.31,-4.58,-13.06,-18.54,6.11,-0.38,4.8
JSWSTEEL,19,10.0,15.79,0.5931,-0.6153,0.181,-0.4245,-4.07,-8.07,-13.45,-21.33,7.44,-0.55,9.9
BRITANNIA,8,4.0,25.0,0.3754,-0.5353,0.234,-0.3076,-1.24,-2.46,-13.97,-26.72,2.16,-0.57,6.2
BPCL,19,10.0,26.32,0.5741,-1.0368,0.198,-0.6128,-5.87,-11.64,-14.78,-20.34,12.35,-0.48,5.6
