symbol,side,entry_dt,entry_price,exit_dt,exit_price,exit_reason,candles_held,return_pct
ICICIBANK,long,2024-02-19 09:15:00,1023.95,2024-02-22 09:45:00,1044.25,X9_chand,37,1.9825
SBIN,long,2024-02-19 11:15:00,760.85,2024-02-19 13:15:00,757.35,X9_chand,4,-0.46
RELIANCE,long,2024-02-27 12:15:00,1488.2,2024-02-28 10:45:00,1464.9,X9_chand,9,-1.5656
ITC,long,2024-02-28 10:15:00,356.3,2024-02-28 11:15:00,353.25,X9_chand,2,-0.856
KOTAKBANK,long,2024-03-04 14:15:00,1729.2,2024-03-07 14:15:00,1748.65,X9_chand,24,1.1248
KOTAKBANK,long,2024-03-06 13:45:00,1762.8,2024-03-07 14:15:00,1748.65,X9_chand,13,-0.8027
HDFCBANK,long,2024-03-12 13:15:00,730.25,2024-03-15 12:15:00,722.5,X9_chand,22,-1.0613
INFY,long,2024-03-15 13:15:00,1634.85,2024-03-15 13:45:00,1632.0,X9_chand,1,-0.1743
HDFCBANK,long,2024-03-15 14:45:00,727.05,2024-03-18 09:45:00,720.9,X9_chand,2,-0.8459
HDFCBANK,long,2024-03-18 12:15:00,725.95,2024-03-19 13:45:00,721.0,X1_rev_ema,15,-0.6819
HDFCBANK,long,2024-03-19 12:15:00,724.75,2024-03-19 13:45:00,721.0,X1_rev_ema,3,-0.5174
SBIN,long,2024-03-27 09:15:00,743.0,2024-03-27 13:45:00,736.75,X9_chand,9,-0.8412
ICICIBANK,long,2024-03-27 09:15:00,1085.8,2024-03-28 14:45:00,1089.3,X9_chand,23,0.3223
RELIANCE,long,2024-03-27 09:45:00,1476.0,2024-03-28 14:45:00,1480.65,X9_chand,22,0.315
SBIN,long,2024-03-27 10:15:00,744.95,2024-03-27 13:45:00,736.75,X9_chand,7,-1.1007
KOTAKBANK,long,2024-03-27 10:15:00,1769.7,2024-04-01 14:15:00,1789.6,X9_chand,32,1.1245
ICICIBANK,long,2024-03-27 13:45:00,1088.45,2024-03-28 14:45:00,1089.3,X9_chand,14,0.0781
RELIANCE,long,2024-03-27 14:45:00,1499.55,2024-03-28 14:45:00,1480.65,X9_chand,12,-1.2604
SBIN,long,2024-03-28 09:45:00,744.05,2024-04-04 09:45:00,764.25,X9_chand,48,2.7149
SBIN,long,2024-04-08 09:15:00,766.05,2024-04-09 13:45:00,762.05,X9_chand,21,-0.5222
HDFCBANK,long,2024-04-08 13:15:00,775.05,2024-04-10 12:15:00,769.4,X9_chand,22,-0.729
HDFCBANK,long,2024-04-08 14:45:00,774.05,2024-04-10 12:15:00,769.4,X9_chand,19,-0.6007
HDFCBANK,long,2024-04-09 14:45:00,773.75,2024-04-10 12:15:00,769.4,X9_chand,7,-0.5622
KOTAKBANK,long,2024-04-10 09:15:00,1788.9,2024-04-15 11:45:00,1805.4,X9_chand,29,0.9224
KOTAKBANK,long,2024-04-10 09:15:00,1788.9,2024-04-15 11:45:00,1805.4,X9_chand,29,0.9224
SBIN,long,2024-04-10 13:15:00,769.4,2024-04-12 13:45:00,770.75,X9_chand,13,0.1755
SBIN,long,2024-04-10 13:45:00,770.25,2024-04-12 13:45:00,770.75,X9_chand,12,0.0649
RELIANCE,long,2024-04-12 09:15:00,1482.7,2024-04-12 14:45:00,1463.9,X9_chand,11,-1.268
BHARTIARTL,long,2024-04-19 12:15:00,1275.55,2024-04-25 11:45:00,1329.5,X9_chand,35,4.2295
HINDUNILVR,long,2024-04-24 13:45:00,2258.05,2024-04-25 09:15:00,2227.0,X9_chand,3,-1.3751
SBIN,long,2024-04-25 09:15:00,774.5,2024-04-26 13:15:00,802.1,X9_chand,20,3.5636
BHARTIARTL,long,2024-04-25 10:15:00,1342.55,2024-04-25 11:45:00,1329.5,X9_chand,3,-0.972
SBIN,long,2024-04-25 13:15:00,797.75,2024-04-26 13:15:00,802.1,X9_chand,12,0.5453
BHARTIARTL,long,2024-04-25 14:15:00,1340.3,2024-04-26 13:15:00,1323.5,X9_chand,10,-1.2535
ICICIBANK,long,2024-04-29 09:45:00,1131.75,2024-05-02 11:15:00,1137.8,X9_chand,15,0.5346
SBIN,long,2024-04-29 11:15:00,809.55,2024-05-03 11:15:00,824.15,X9_chand,24,1.8035
HDFCBANK,long,2024-05-02 09:45:00,766.85,2024-05-03 10:45:00,761.3,X9_chand,14,-0.7237
ICICIBANK,long,2024-05-03 09:15:00,1144.7,2024-05-03 10:15:00,1140.45,X9_chand,2,-0.3713
SBIN,long,2024-05-03 13:15:00,827.8,2024-05-06 09:15:00,812.7,X9_chand,4,-1.8241
HDFCBANK,long,2024-05-06 10:15:00,766.45,2024-05-06 13:45:00,761.2,X9_chand,7,-0.685
ICICIBANK,long,2024-05-06 10:15:00,1158.05,2024-05-07 09:45:00,1135.25,X9_chand,11,-1.9688
