side,entry_variant,exit_variant,cost_pct,trades,win_rate,avg_win_pct,avg_loss_pct,profit_factor,total_ret_pct,mean_ret_pct,std_ret_pct,sharpe_per_trade,sharpe_ann,sortino_ann,max_dd_pct,avg_hold_candles
long,E1,X9,0.1,402,35.57,2.045,-0.846,1.335,73.41,0.1826,2.0676,0.088,1.1,3.86,28.75,19.3
long,E1,X4,0.1,402,32.34,2.026,-0.759,1.275,56.75,0.1412,1.9168,0.074,0.96,3.05,36.15,17.6
long,E2,X9,0.1,674,31.45,1.99,-0.812,1.125,46.86,0.0695,1.9093,0.036,0.48,1.53,54.92,17.6
short,E1,X3b,0.1,348,33.91,2.126,-0.975,1.119,26.63,0.0765,2.3002,0.033,0.38,1.2,31.85,23.4
short,E2,X2,0.1,561,19.96,4.144,-0.92,1.124,51.24,0.0913,2.6832,0.034,0.31,1.54,45.1,35.5
long,E2,X4,0.1,674,28.04,1.903,-0.691,1.073,24.51,0.0364,1.739,0.021,0.3,0.95,55.5,14.9
long,E1,X3a,0.1,402,33.83,2.151,-1.006,1.093,24.81,0.0617,2.2266,0.028,0.3,0.84,38.37,25.9
short,E1,X2,0.1,348,20.69,3.814,-0.893,1.114,28.08,0.0807,2.4818,0.033,0.29,1.45,34.09,36.5
long,E1,X3b,0.1,402,35.07,1.99,-0.995,1.081,20.93,0.0521,2.1544,0.024,0.26,0.72,39.7,25.6
short,E1,X4,0.1,348,27.01,2.077,-0.724,1.061,11.26,0.0324,1.773,0.018,0.25,0.85,22.33,16.5
short,E0,X2,0.1,692,18.79,3.913,-0.835,1.084,39.21,0.0567,2.5561,0.022,0.22,1.13,63.28,31.6
short,E1,X3a,0.1,348,33.62,2.03,-0.969,1.061,13.7,0.0394,2.1685,0.018,0.21,0.63,32.08,22.6
long,E1,X6,0.1,402,36.57,1.479,-0.824,1.035,7.41,0.0184,1.4768,0.012,0.17,0.62,30.9,15.8
long,E0,X9,0.1,833,28.81,1.617,-0.628,1.042,15.69,0.0188,1.6536,0.011,0.17,0.53,46.27,12.9
short,E1,X1,0.1,348,29.89,3.764,-1.504,1.067,24.49,0.0704,3.1641,0.022,0.16,0.52,58.99,56.2
short,E1,X8,0.1,348,27.01,3.915,-1.36,1.066,22.7,0.0652,3.0847,0.021,0.16,0.48,60.7,52.5
long,E1,X10,0.1,402,30.1,1.66,-0.696,1.027,5.29,0.0132,1.4763,0.009,0.14,0.37,38.17,12.8
short,E2,X1,0.1,561,27.45,4.11,-1.488,1.045,27.27,0.0486,3.3112,0.015,0.11,0.37,86.01,53.2
short,E0,X1,0.1,692,25.29,4.023,-1.309,1.04,27.07,0.0391,3.1539,0.012,0.1,0.34,86.73,47.1
short,E2,X8,0.1,561,24.78,4.138,-1.341,1.016,9.13,0.0163,3.1392,0.005,0.04,0.13,80.45,49.4
short,E0,X8,0.1,692,22.98,4.133,-1.212,1.018,11.34,0.0164,3.0472,0.005,0.04,0.14,91.28,44.3
short,E2,X4,0.1,561,25.49,2.02,-0.687,1.006,1.7,0.003,1.7609,0.002,0.02,0.08,29.22,14.8
short,E0,X3b,0.1,692,33.82,1.462,-0.746,1.002,0.65,0.0009,1.9166,0.0,0.01,0.02,61.16,15.0
long,E2,X3a,0.1,674,31.31,1.916,-0.877,0.995,-1.97,-0.0029,2.0314,-0.001,-0.02,-0.05,53.14,21.2
long,E0,X4,0.1,833,26.05,1.522,-0.54,0.992,-2.58,-0.0031,1.4868,-0.002,-0.03,-0.1,49.62,10.9
short,E0,X4,0.1,692,26.59,1.547,-0.566,0.99,-2.78,-0.004,1.5867,-0.003,-0.04,-0.13,42.57,11.2
long,E2,X3b,0.1,674,32.64,1.764,-0.866,0.986,-5.32,-0.0079,1.9762,-0.004,-0.05,-0.13,58.61,20.9
short,E0,X3a,0.1,692,33.67,1.434,-0.741,0.982,-6.03,-0.0087,1.8487,-0.005,-0.07,-0.19,59.16,14.7
long,E1,X2,0.1,402,21.39,2.938,-0.859,0.931,-18.72,-0.0466,2.1605,-0.022,-0.2,-1.0,41.68,36.0
long,E0,X3a,0.1,833,31.09,1.509,-0.728,0.936,-26.9,-0.0323,1.7998,-0.018,-0.24,-0.65,68.46,16.2
