symbol,trades,win_rate,profit_factor,total_ret_pct,mean_ret_pct,sharpe_ann,max_dd_pct,avg_hold
ASIANPAINT,16,43.75,7.374,34.36,2.1477,5.53,2.35,23.0
ICICIBANK,19,47.37,4.271,18.6,0.979,4.93,3.34,19.5
HDFCLIFE,7,42.86,4.683,4.09,0.5848,4.86,0.24,22.1
RELIANCE,19,36.84,7.399,47.44,2.4968,4.86,4.43,30.8
COLPAL,17,47.06,2.82,8.08,0.4751,4.77,3.38,17.7
BRITANNIA,16,50.0,2.626,8.01,0.5008,4.48,3.13,12.7
SBIN,26,53.85,2.409,15.12,0.5816,4.01,3.18,19.9
INFY,22,45.45,3.265,21.51,0.9776,3.79,5.8,26.0
MCX,21,57.14,2.086,14.59,0.6948,3.68,6.57,16.9
ITC,22,36.36,2.076,8.79,0.3997,3.65,4.11,8.0
HINDUNILVR,19,52.63,2.441,9.95,0.5235,3.57,2.79,27.1
M&M,38,36.84,1.814,18.84,0.4959,3.03,16.15,11.5
BEL,34,26.47,2.039,23.57,0.6932,2.74,16.29,15.0
BHARTIARTL,26,34.62,1.663,7.7,0.2962,2.58,5.31,15.7
FEDERALBNK,34,41.18,2.039,12.81,0.3768,2.24,6.11,19.8
AXISBANK,26,38.46,1.59,9.88,0.3799,2.12,8.21,20.9
HDFCBANK,23,30.43,1.631,5.92,0.2575,2.08,3.79,14.9
JINDALSTEL,25,32.0,1.474,6.47,0.2589,1.99,6.16,14.6
BANKBARODA,34,41.18,1.4,7.35,0.216,1.91,6.03,13.8
VOLTAS,25,20.0,1.561,10.72,0.4288,1.87,11.77,10.4
PNB,21,33.33,1.495,8.09,0.3851,1.8,8.07,17.6
MARICO,22,22.73,1.602,5.89,0.2679,1.75,5.58,12.6
MUTHOOTFIN,28,25.0,1.959,13.45,0.4804,1.58,4.44,18.7
VEDL,24,25.0,1.406,8.46,0.3523,1.57,6.76,13.2
ADANIPORTS,14,28.57,1.381,2.84,0.2028,1.53,5.6,15.9
SIEMENS,30,33.33,1.457,9.85,0.3285,1.37,12.52,15.4
BAJAJ-AUTO,24,37.5,1.338,4.16,0.1732,1.28,3.39,18.5
IDFCFIRSTB,25,28.0,1.172,3.35,0.1338,0.76,14.59,14.7
DIVISLAB,34,29.41,1.158,2.12,0.0623,0.61,7.48,13.9
COALINDIA,15,20.0,1.079,0.76,0.0507,0.4,9.57,11.3
KOTAKBANK,18,27.78,1.043,0.47,0.026,0.21,5.28,12.2
HCLTECH,30,33.33,0.993,-0.11,-0.0036,-0.05,8.16,11.5
PERSISTENT,25,36.0,0.971,-0.51,-0.0203,-0.2,11.4,9.1
DABUR,16,18.75,0.946,-0.64,-0.0399,-0.27,7.53,12.8
DRREDDY,14,28.57,0.949,-0.37,-0.0266,-0.28,5.14,11.8
SHREECEM,20,30.0,0.915,-0.78,-0.0391,-0.46,5.87,10.6
INDUSINDBK,16,31.25,0.903,-0.97,-0.0605,-0.54,5.9,13.7
LT,26,34.62,0.862,-2.04,-0.0784,-0.76,5.34,14.3
ULTRACEMCO,21,28.57,0.867,-1.38,-0.0659,-0.78,5.71,12.2
EICHERMOT,22,31.82,0.839,-1.83,-0.0832,-1.22,5.65,9.6
COFORGE,30,20.0,0.755,-5.18,-0.1725,-1.3,14.69,16.3
TATAPOWER,27,29.63,0.799,-2.92,-0.1083,-1.4,5.99,9.9
POWERGRID,15,20.0,0.734,-2.35,-0.1566,-1.57,4.1,13.3
BAJAJFINSV,19,26.32,0.662,-2.95,-0.1552,-1.94,2.75,14.6
PAYTM,26,30.77,0.673,-8.98,-0.3453,-2.01,17.0,14.3
HINDALCO,36,25.0,0.689,-7.92,-0.22,-2.02,11.95,13.2
HEROMOTOCO,29,41.38,0.654,-7.76,-0.2677,-2.27,11.33,14.0
SUNPHARMA,29,34.48,0.676,-4.41,-0.1519,-2.42,7.74,12.8
IOC,30,30.0,0.631,-6.43,-0.2144,-2.69,7.44,15.7
CHOLAFIN,14,21.43,0.623,-3.54,-0.2528,-2.9,4.43,9.9
NTPC,17,29.41,0.564,-4.15,-0.2444,-3.25,7.07,12.9
TATASTEEL,21,33.33,0.556,-5.13,-0.2443,-3.33,6.17,14.2
WIPRO,25,28.0,0.557,-7.77,-0.3108,-3.52,13.76,13.4
CUMMINSIND,21,23.81,0.525,-7.66,-0.3647,-3.56,12.09,11.8
BAJFINANCE,25,28.0,0.466,-16.2,-0.648,-3.58,15.71,12.8
TATACONSUM,16,18.75,0.528,-5.09,-0.3184,-4.2,6.68,11.4
TCS,30,23.33,0.498,-9.31,-0.3102,-4.57,11.55,10.6
SBILIFE,20,25.0,0.435,-5.61,-0.2805,-4.65,6.59,13.7
GODREJPROP,22,18.18,0.438,-13.68,-0.622,-4.86,17.62,9.7
HAL,26,19.23,0.413,-12.5,-0.4809,-5.2,12.31,13.9
TECHM,25,24.0,0.483,-5.97,-0.2387,-5.26,7.78,9.1
MARUTI,26,19.23,0.396,-10.01,-0.385,-5.4,8.78,11.1
AMBUJACEM,16,18.75,0.438,-6.25,-0.3908,-5.93,6.04,8.4
DELHIVERY,29,20.69,0.332,-12.46,-0.4296,-6.48,8.31,10.4
TRENT,27,33.33,0.305,-13.96,-0.5171,-6.81,15.88,11.5
ONGC,20,15.0,0.328,-7.55,-0.3776,-6.93,8.16,10.8
ADANIENT,16,25.0,0.399,-4.58,-0.286,-7.49,3.95,9.2
DLF,12,25.0,0.239,-5.49,-0.4572,-8.39,5.29,12.1
BPCL,31,25.81,0.294,-18.5,-0.5968,-8.43,18.83,7.6
APOLLOHOSP,16,31.25,0.244,-6.34,-0.396,-8.88,6.56,13.8
NESTLEIND,17,17.65,0.245,-9.36,-0.5507,-8.92,9.24,13.1
GRASIM,15,13.33,0.253,-9.53,-0.6351,-10.51,8.72,9.5
