rule,trades,win_rate,profit_factor,expectancy_pct,annual_ret_pct,sharpe_ann,max_dd_pct,calmar
R9_totret5,27,33.33,1.315,0.2286,4.18,1.53,10.29,0.41
R8_expect0.3,44,34.09,1.159,0.1086,3.23,0.87,10.89,0.3
R6_pf1.5,48,31.25,1.037,0.026,0.84,0.22,14.43,0.06
R10_sh1.0_pf1.3,54,31.48,0.999,-0.001,-0.04,-0.01,15.87,-0.0
R7_calmar1.0,71,28.17,0.851,-0.0953,-4.58,-0.97,22.5,-0.2
