symbol,signal_dt,signal_k,signal_d,signal_adx,entry_dt,entry_price,exit_dt,exit_price,exit_reason,candles_held,gross_return_pct,net_return_pct
VEDL,2025-12-19 12:45:00,35.1219939480808,34.88837105126203,35.78474704188624,2025-12-19 14:15:00,577.9,2025-12-22 14:15:00,582.85,X9OR4,12,0.8565,0.7565
ULTRACEMCO,2025-12-16 13:15:00,14.947841177751647,12.521706681291795,25.485692141326965,2025-12-16 13:45:00,11620.05,2025-12-16 14:15:00,11550.0,X9OR4,1,-0.6028,-0.7028
FEDERALBNK,2025-12-12 13:45:00,26.02739726027404,25.48630136986317,26.53031922256318,2025-12-12 14:15:00,261.55,2025-12-16 14:15:00,262.55,X9OR4,12,0.3823,0.2823
COLPAL,2025-12-08 14:45:00,14.506952300253465,12.90853824821602,25.404133131815048,2025-12-09 09:15:00,2147.35,2025-12-10 10:45:00,2152.0,X9OR4,15,0.2165,0.1165
ASIANPAINT,2025-12-05 12:45:00,35.678548272912664,25.54312442914026,27.28930839852278,2025-12-05 13:15:00,2960.05,2025-12-08 09:15:00,2949.9,X9OR4,4,-0.3429,-0.4429
DIVISLAB,2025-12-05 11:45:00,31.32653061224489,28.959583833533415,25.436809958537843,2025-12-05 12:15:00,6445.05,2025-12-08 09:15:00,6434.5,X9OR4,6,-0.1637,-0.2637
VEDL,2025-12-04 09:15:00,35.05212816834057,25.125777140124512,28.107788474878262,2025-12-04 09:45:00,541.55,2025-12-04 11:45:00,534.65,X9OR4,4,-1.2741,-1.3741
M&M,2025-12-01 13:15:00,33.07692307692305,31.29007803790405,31.380634178065108,2025-12-01 13:45:00,3751.05,2025-12-01 14:15:00,3745.8,X9OR4,1,-0.14,-0.24
DIVISLAB,2025-11-27 13:45:00,20.879120879120872,14.27814751758414,32.82775242829937,2025-11-27 14:15:00,6494.05,2025-11-28 09:45:00,6465.0,X9OR4,3,-0.4473,-0.5473
SHREECEM,2025-11-27 13:15:00,23.333333333333325,22.935576421491927,26.529038361823904,2025-11-27 13:45:00,26730.05,2025-11-27 14:15:00,26715.0,X9OR4,1,-0.0563,-0.1563
ASIANPAINT,2025-11-18 09:15:00,12.552269387578201,9.929417777798532,67.72558202826943,2025-11-18 09:45:00,2893.25,2025-11-19 14:45:00,2895.1,X9OR4,22,0.0639,-0.0361
ADANIPORTS,2025-11-17 12:45:00,33.88819568231333,33.09992871860789,35.37905875314962,2025-11-18 09:15:00,1518.9,2025-11-18 10:15:00,1497.1,X9OR4,2,-1.4352,-1.5352
M&M,2025-11-17 09:15:00,25.3170013406029,21.91084394412211,30.917517546398873,2025-11-17 10:45:00,3718.05,2025-11-18 09:15:00,3708.7,X9OR4,9,-0.2515,-0.3515
VEDL,2025-11-14 09:15:00,33.763798092380114,24.73396724915072,26.60088017111547,2025-11-14 09:45:00,530.95,2025-11-14 12:45:00,522.5,X9OR4,6,-1.5915,-1.6915
ASIANPAINT,2025-11-11 12:45:00,27.810338112255636,26.7622043739737,29.97582440401386,2025-11-11 13:45:00,2647.55,2025-11-17 14:15:00,2887.8,X9OR4,37,9.0744,8.9744
ASIANPAINT,2025-11-06 09:15:00,26.514367550770515,17.044432040974844,26.26408232087809,2025-11-06 09:45:00,2619.05,2025-11-17 14:15:00,2887.8,X9OR4,81,10.2614,10.1614
BANKBARODA,2025-11-04 13:15:00,23.14118125926455,20.07770005282865,33.541368840593336,2025-11-06 09:15:00,289.75,2025-11-06 09:45:00,286.7,X9OR4,1,-1.0526,-1.1526
DIVISLAB,2025-11-04 13:15:00,27.52858151023288,26.24323688543873,33.49953994010658,2025-11-04 13:45:00,6830.05,2025-11-07 11:15:00,6816.5,X9OR4,19,-0.1984,-0.2984
COLPAL,2025-10-30 14:15:00,31.90348525469192,28.15013404825758,32.314448473036315,2025-10-31 12:15:00,2259.95,2025-10-31 13:15:00,2248.4,X9OR4,2,-0.5111,-0.6111
SBIN,2025-10-31 09:45:00,25.67209060020816,21.083816671305787,31.565023387782055,2025-10-31 11:15:00,940.55,2025-10-31 14:45:00,936.25,X9OR4,7,-0.4572,-0.5572
SBIN,2025-10-27 09:15:00,26.094161958568584,19.47608519432821,26.686556086443993,2025-10-27 09:45:00,915.0,2025-10-28 10:15:00,919.55,X9OR4,13,0.4973,0.3973
FEDERALBNK,2025-10-27 09:15:00,20.866290018832455,12.623429643540456,43.35667867497061,2025-10-27 09:45:00,230.7,2025-11-04 09:15:00,236.18,X9OR4,59,2.3754,2.2754
ITC,2025-10-24 11:45:00,24.576151121605943,23.873161630737524,28.114716146219656,2025-10-24 12:15:00,416.15,2025-10-24 12:45:00,416.0,X9OR4,1,-0.036,-0.136
RELIANCE,2025-10-23 12:45:00,30.040110433922006,28.704485075793002,50.40358063521052,2025-10-23 13:15:00,1471.75,2025-10-23 14:15:00,1460.2,X9OR4,2,-0.7848,-0.8848
COLPAL,2025-10-23 10:15:00,30.332478643381585,29.1657977760163,37.523430686353684,2025-10-23 10:45:00,2293.05,2025-10-23 14:45:00,2281.6,X9OR4,8,-0.4993,-0.5993
HINDUNILVR,2025-10-23 09:15:00,29.410583225800167,26.300393922471685,42.9002979688994,2025-10-23 10:15:00,2637.25,2025-10-23 13:45:00,2601.6,X9OR4,7,-1.3518,-1.4518
KOTAKBANK,2025-10-23 09:15:00,32.957258041939326,24.728801258910227,38.88575529006452,2025-10-23 09:45:00,2236.45,2025-10-24 09:15:00,2183.9,X9OR4,11,-2.3497,-2.4497
AXISBANK,2025-10-21 13:45:00,43.27104732237895,34.86899504479478,31.70579125025169,2025-10-21 14:15:00,1236.75,2025-10-24 09:45:00,1250.0,X9OR4,14,1.0714,0.9714
HDFCBANK,2025-10-20 14:45:00,27.17391304347826,26.753623188405854,29.889835872527033,2025-10-21 13:45:00,1006.0,2025-10-21 14:15:00,1004.0,X9OR4,1,-0.1988,-0.2988
ADANIPORTS,2025-10-17 14:45:00,29.66037735849053,28.11364129256137,34.63545060080942,2025-10-21 13:45:00,1478.95,2025-10-23 10:15:00,1468.7,X9OR4,4,-0.6931,-0.7931
BANKBARODA,2025-10-16 13:15:00,29.741496598639664,29.357840572126396,25.211038759923554,2025-10-16 13:45:00,267.65,2025-10-16 14:15:00,266.95,X9OR4,1,-0.2615,-0.3615
