rule,trades,trades_per_yr,win_rate,avg_win_pct,avg_loss_pct,profit_factor,expectancy_pct,annual_ret_pct,total_ret_pct,sharpe_ann,sortino_ann,max_dd_pct,calmar,avg_hold,oos_years
R4_sharpe1.5,55,37.0,30.91,2.1841,-1.0172,0.961,-0.0277,-1.03,-1.52,-0.24,-0.72,17.34,-0.06,9.7,1.48
R5_sticky,57,39.0,31.58,2.0634,-0.9992,0.953,-0.0321,-1.24,-1.83,-0.29,-0.84,17.65,-0.07,9.4,1.48
R3_sharpe1.0,66,45.0,30.3,1.9341,-0.9418,0.893,-0.0703,-3.14,-4.64,-0.67,-1.91,20.86,-0.15,9.6,1.48
R2_top20,152,103.0,27.63,1.5944,-0.7733,0.787,-0.119,-12.24,-18.09,-1.4,-3.65,41.29,-0.3,9.8,1.48
R1_top15,127,86.0,28.35,1.5887,-0.798,0.788,-0.1214,-10.43,-15.42,-1.41,-3.58,32.23,-0.32,9.8,1.48
