side,stoch_k,stoch_sk,stoch_sd,stoch_os,exit_id,trades,win_rate,profit_factor,sharpe_ann,max_dd_pct,total_ret_pct,mean_ret_pct,avg_hold
long,14,3,3,25.0,X9_22_2.0,346,29.19,1.118,0.67,26.12,14.69,0.0424,7.4
short,14,3,3,25.0,X9_22_2.0,289,30.1,0.804,-1.41,43.18,-22.8,-0.0789,7.0
long,14,3,3,25.0,X9_15_2.0,346,30.64,1.033,0.19,33.64,4.92,0.0142,8.8
short,14,3,3,25.0,X9_15_2.0,289,29.76,0.835,-1.12,40.97,-21.04,-0.0728,8.6
long,14,3,3,25.0,X9_OR_X4,346,30.64,1.329,1.29,16.36,49.22,0.1423,13.1
short,14,3,3,25.0,X9_OR_X4,289,26.3,0.911,-0.47,39.62,-13.13,-0.0454,12.1
long,14,3,3,25.0,X9_OR_X10,346,29.19,1.178,0.86,22.52,25.09,0.0725,10.5
short,14,3,3,25.0,X9_OR_X10,289,26.3,0.838,-1.01,36.41,-21.94,-0.0759,9.8
long,14,3,3,25.0,X4,346,32.08,1.368,1.22,22.72,59.55,0.1721,16.8
short,14,3,3,25.0,X4,289,26.3,0.854,-0.72,43.57,-23.11,-0.08,15.2
long,14,3,3,25.0,X10,346,29.19,1.128,0.6,28.51,19.31,0.0558,12.1
short,14,3,3,25.0,X10,289,25.61,0.787,-1.32,39.26,-30.11,-0.1042,10.9
