symbol,ema_cross_dt,ema_cross_close,stoch_touch_dt,stoch_touch_min,candles_a_to_b,setup_dt,setup_open,setup_high,setup_low,setup_close,setup_ema20,setup_ema50,setup_ema_spread_pct,setup_k,setup_d,candles_b_to_c,trigger_price,validity_candles,filled,fill_dt,fill_price,candles_to_fill,no_fill_reason
RELIANCE,2026-03-06T10:45:00,1416.1,2026-03-11T12:15:00,13.180521790440766,39,2026-03-11 12:15:00,1397.9,1402.2,1397.7,1401.5,1405.1372030955558,1404.072533254963,0.0758272678495243,13.891441858753083,13.180521790440766,0,1401.55,10,1,2026-03-11T12:45:00,1401.55,1,
HINDUNILVR,2026-02-23T13:15:00,2344.2,2026-02-27T12:15:00,18.958746767695047,34,2026-02-27 12:15:00,2347.0,2358.9,2343.3,2355.7,2358.927485229129,2353.313528464636,0.23855541119316512,23.278008298755193,18.958746767695047,0,2355.75,10,1,2026-02-27T12:45:00,2355.75,1,
KOTAKBANK,2026-02-23T10:45:00,428.6,2026-02-25T13:15:00,7.194980944980974,17,2026-02-25 13:15:00,422.9,423.55,422.5,423.1,425.41167146729765,424.8806788885803,0.12497451757664084,9.256993006993104,7.194980944980974,0,423.15,10,1,2026-02-25T13:45:00,423.15,1,
SBIN,2026-02-03T13:45:00,1065.0,2026-02-20T11:45:00,24.08494677403533,140,2026-02-23 14:45:00,1224.8,1228.9,1224.4,1227.5,1220.7281638432007,1213.572211412116,0.5896602084154479,72.30161570942647,71.19346960860337,18,1227.55,10,1,2026-02-25T09:15:00,1228.1,1,
ITC,2026-02-17T10:15:00,325.2,2026-02-20T11:45:00,26.491604650939127,39,2026-02-20 14:15:00,326.35,327.15,326.2,326.95,327.2866575080512,326.24398419874944,0.3195992446765031,38.5246494737294,37.326078013720036,5,327.0,10,1,2026-02-20T14:45:00,327.1,1,
SBIN,2026-02-03T13:45:00,1065.0,2026-02-20T10:15:00,18.539898789667667,137,2026-02-20 10:15:00,1206.4,1211.0,1206.4,1210.0,1211.120197204607,1204.9115035976265,0.5152821255704262,21.451304374523744,18.539898789667667,0,1210.05,10,1,2026-02-20T10:45:00,1210.3,1,
ITC,2026-02-17T10:15:00,325.2,2026-02-20T09:45:00,8.918737306662186,35,2026-02-20 09:45:00,326.75,327.0,325.3,326.0,327.97657937256787,325.97917260080754,0.6127406103353539,9.38881896667522,8.918737306662186,0,326.05,10,1,2026-02-20T10:15:00,326.05,1,
ICICIBANK,2026-02-03T10:15:00,1398.6,2026-02-17T10:15:00,14.021026131971803,108,2026-02-17 10:15:00,1400.0,1403.1,1397.9,1398.1,1412.5318303794843,1411.2130019770857,0.09345353256743935,14.187675070027987,14.021026131971803,0,1398.15,10,1,2026-02-17T10:45:00,1398.6,1,
ICICIBANK,2026-02-03T10:15:00,1398.6,2026-02-13T13:15:00,10.110658772571382,102,2026-02-13 13:15:00,1417.5,1418.2,1414.6,1415.4,1418.603443861075,1412.6732959310825,0.4197819798160731,14.094370536250697,10.110658772571382,0,1415.45,10,1,2026-02-13T13:45:00,1415.45,1,
KOTAKBANK,2026-02-06T11:45:00,422.7,2026-02-13T11:15:00,8.78520136958335,59,2026-02-13 11:15:00,423.8,424.05,422.9,423.8,426.439635683431,426.1088338030762,0.07763318995345261,9.037575182677024,8.78520136958335,0,423.85,10,1,2026-02-13T11:45:00,423.85,1,
BHARTIARTL,2026-02-03T10:15:00,2005.6,2026-02-10T14:45:00,8.284773555168599,69,2026-02-10 14:45:00,2011.0,2015.2,2009.8,2012.2,2025.6171874972279,2021.8742761653343,0.1851208740333897,8.326237215706227,8.284773555168599,0,2012.25,10,1,2026-02-11T09:15:00,2012.9,1,
RELIANCE,2026-02-03T09:45:00,1443.9,2026-02-10T14:15:00,15.230728350624787,69,2026-02-10 14:15:00,1455.3,1456.9,1454.6,1455.8,1458.427661092306,1451.3234880324078,0.48949618182845084,16.223843284011245,15.230728350624787,0,1455.85,10,1,2026-02-10T14:45:00,1455.85,1,
BHARTIARTL,2026-02-03T10:15:00,2005.6,2026-02-10T13:15:00,7.894671759003969,66,2026-02-10 13:15:00,2025.5,2027.9,2015.0,2017.4,2030.6133508400385,2023.2200937331193,0.3654203084389924,7.951238671149663,7.894671759003969,0,2017.45,10,1,2026-02-10T13:45:00,2017.5,1,
HDFCBANK,2026-02-03T09:45:00,947.6,2026-02-06T13:15:00,11.372016603577556,43,2026-02-06 13:15:00,939.95,942.7,939.8,940.9,944.9281942771188,944.5020151619763,0.04512209696762206,12.798636264024285,11.372016603577556,0,940.95,10,1,2026-02-06T13:45:00,940.95,1,
HDFCBANK,2026-02-03T09:45:00,947.6,2026-02-05T14:15:00,21.8214936247725,33,2026-02-05 14:15:00,950.1,951.15,949.7,949.95,950.254108765268,945.613876066688,0.4907111471207685,22.076502732240765,21.8214936247725,0,950.0,10,1,2026-02-05T14:45:00,950.0,1,
